0	Index      	 *	Score 	Summary	Detail	
1	33444 11213	 * 	341.68	ACR|DCR|2TLV|2VULN|1DMG|1AEBURN	18RCR|2AME|3AEBURN|4aTLV|56VULN|7BELT|9DMG
2	33242 11236	 * 	339.89	ACR|DCR|3VULN|2TLV|1CDMG	18RCR|2AME|36aVULN|45TLV|7BELT|9CDMG
3	32242 11236	   	339.79	ACR|DCR|3VULN|2TLV|1CDMG	18RCR|2ERES|36aVULN|45TLV|7BELT|9CDMG
4	33242 41236	   	335.26	ACR|DCR|2TLV|2VULN|1AEPOI|1CDMG	18RCR|2AME|3aVULN|45TLV|6AEPOI|7BELT|9CDMG
5	33242 11213	 * 	335.26	ACR|DCR|3TLV|2VULN|1DMG	18RCR|2AME|36VULN|45aTLV|7BELT|9DMG
6	32242 41236	   	335.16	ACR|DCR|2TLV|2VULN|1AEPOI|1CDMG	18RCR|2ERES|3aVULN|45TLV|6AEPOI|7BELT|9CDMG
7	33141 51523	 * 	333.90	ACR|DCR|2VULN|1TLV|2ASPD|2DUR|1CDMG	19RCR|2AME|3aDUR|4TLV|5SNITOX|6aVULN|7CDMG|8aASPD|aBPWR
8	33242 11215	   	331.27	ACR|DCR|2TLV|2VULN|1DMG	18RCR|2AME|36VULN|45TLV|7BELT|9DMG|aDUR
9	32242 11215	   	331.17	ACR|DCR|2TLV|2VULN|1DMG	18RCR|2ERES|36VULN|45TLV|7BELT|9DMG|aDUR
10	33242 11214	   	328.55	ACR|DCR|2TLV|2VULN|1DMG	18RCR|2AME|36VULN|45TLV|7BELT|9DMG|aFRZARM
11	32242 11214	   	328.45	ACR|DCR|2TLV|2VULN|1DMG	18RCR|2ERES|36VULN|45TLV|7BELT|9DMG|aFRZARM
12	33242 11226	   	326.24	ACR|DCR|3VULN|2TLV	18RCR|2AME|36aVULN|45TLV|7BELT|9BEXP
13	32242 11226	   	326.14	ACR|DCR|3VULN|2TLV	18RCR|2ERES|36aVULN|45TLV|7BELT|9BEXP
14	33242 41213	   	325.47	ACR|DCR|3TLV|1VULN|1DMG|1AEPOI	18RCR|2AME|3VULN|45aTLV|6AEPOI|7BELT|9DMG
15	33241 11523	   	322.24	ACR|DCR|2VULN|1TLV|2ASPD|1CDMG	19RCR|2AME|3aVULN|4TLV|5FRZICY|6aFEWX|7CDMG|8aASPD|aBPWR
16	33242 11211	   	321.61	ACR|DCR|2TLV|2VULN|1DMG	18RCR|2AME|36VULN|45TLV|7BELT|9DMG|aCGEN
17	33242 11212	   	321.61	ACR|DCR|2TLV|2VULN|1DMG	18RCR|2AME|36VULN|45TLV|7BELT|9DMG|aAAC
18	33242 11216	   	321.61	ACR|DCR|2TLV|2VULN|1DMG	18RCR|2AME|36VULN|45TLV|7BELT|9DMG|aLIT
19	33242 41226	   	321.61	ACR|DCR|2TLV|2VULN|1AEPOI	18RCR|2AME|3aVULN|45TLV|6AEPOI|7BELT|9BEXP
20	33644 11213	   	321.61	ACR|DCR|2TLV|2VULN|1DMG	18RCR|23AME|4aTLV|56VULN|7BELT|9DMG
21	32242 11211	   	321.51	ACR|DCR|2TLV|2VULN|1DMG	18RCR|2ERES|36VULN|45TLV|7BELT|9DMG|aCGEN
22	32242 11212	   	321.51	ACR|DCR|2TLV|2VULN|1DMG	18RCR|2ERES|36VULN|45TLV|7BELT|9DMG|aAAC
23	32242 11213	   	321.51	ACR|DCR|2TLV|2VULN|1DMG	18RCR|2ERES|36VULN|45TLV|7BELT|9DMG|aAME
24	32242 11216	   	321.51	ACR|DCR|2TLV|2VULN|1DMG	18RCR|2ERES|36VULN|45TLV|7BELT|9DMG|aLIT
25	32242 41226	   	321.51	ACR|DCR|2TLV|2VULN|1AEPOI	18RCR|2ERES|3aVULN|45TLV|6AEPOI|7BELT|9BEXP
26	33242 11234	   	321.51	ACR|DCR|2TLV|2VULN|2CDMG	18RCR|2AME|36VULN|45TLV|7BELT|9aCDMG
27	33243 11213	   	321.51	ACR|DCR|2TLV|2VULN|1DMG	18RCR|2AME|36VULN|4aTLV|5AEFRZ|7BELT|9DMG
28	33242 41215	   	321.48	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI	18RCR|2AME|3VULN|45TLV|6AEPOI|7BELT|9DMG|aDUR
29	32242 11234	   	321.41	ACR|DCR|2TLV|2VULN|2CDMG	18RCR|2ERES|36VULN|45TLV|7BELT|9aCDMG
30	32242 41215	   	321.38	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI	18RCR|2ERES|3VULN|45TLV|6AEPOI|7BELT|9DMG|aDUR
31	33214 36843	 * 	320.99	ACR|DCR|4VULN|1TLV	18RCR|2AME|3569VULN|4MBVNT|7RCVC|aTLV
32	33242 41214	   	318.76	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI	18RCR|2AME|3VULN|45TLV|6AEPOI|7BELT|9DMG|aFRZARM
33	32242 41214	   	318.66	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI	18RCR|2ERES|3VULN|45TLV|6AEPOI|7BELT|9DMG|aFRZARM
34	33444 11211	   	315.47	ACR|DCR|2VULN|1TLV|1DMG|1AEBURN	18RCR|2AME|3AEBURN|4TLV|56VULN|7BELT|9DMG|aCGEN
35	33444 11212	   	315.47	ACR|DCR|2VULN|1TLV|1AEBURN|1DMG	18RCR|2AME|3AEBURN|4TLV|56VULN|7BELT|9DMG|aAAC
36	31154 11213	   	315.47	ACR|DCR|2VULN|1TLV|1DMG|1AEPOI	18RCR|2AEPOI|34LHND|56VULN|7BELT|9DMG|aTLV
37	33454 11213	   	315.47	ACR|DCR|2VULN|1TLV|1DMG|1AEBURN	18RCR|2AME|3AEBURN|4MLV|56VULN|7BELT|9DMG|aTLV
38	32444 11211	   	315.37	ACR|DCR|2VULN|1TLV|1AEBURN|1DMG	18RCR|2ERES|3AEBURN|4TLV|56VULN|7BELT|9DMG|aCGEN
39	32444 11212	   	315.37	ACR|DCR|2VULN|1TLV|1AEBURN|1DMG	18RCR|2ERES|3AEBURN|4TLV|56VULN|7BELT|9DMG|aAAC
40	32444 11213	   	315.37	ACR|DCR|2VULN|1TLV|1DMG|1AEBURN	18RCR|2ERES|3AEBURN|4TLV|56VULN|7BELT|9DMG|aAME
41	32454 11213	   	315.37	ACR|DCR|2VULN|1TLV|1DMG|1AEBURN	18RCR|2ERES|3AEBURN|4MLV|56VULN|7BELT|9DMG|aTLV
42	33266 11213	   	315.37	ACR|DCR|2VULN|1TLV|1DMG|1AEPOI	18RCR|2AME|36VULN|4AEPOI|5ERES|7BELT|9DMG|aTLV
43	33242 11233	   	315.20	ACR|DCR|2TLV|2VULN|1CDMG	18RCR|2AME|36VULN|45TLV|7BELT|9CDMG|aRCVC
44	33242 11235	   	315.20	ACR|DCR|2TLV|2VULN|1CDMG	18RCR|2AME|36VULN|45TLV|7BELT|9CDMG|aBEXP
45	33242 11243	   	315.20	ACR|DCR|3TLV|2VULN	18RCR|2AME|36VULN|45aTLV|7BELT|9RMIN
46	33242 11253	   	315.20	ACR|DCR|3TLV|2VULN	18RCR|2AME|36VULN|45aTLV|7BELT|9AAC
47	32242 11233	   	315.10	ACR|DCR|2TLV|2VULN|1CDMG	18RCR|2ERES|36VULN|45TLV|7BELT|9CDMG|aCGEN
48	32242 11235	   	315.10	ACR|DCR|2TLV|2VULN|1CDMG	18RCR|2ERES|36VULN|45TLV|7BELT|9CDMG|aBEXP
49	33242 11231	   	315.10	ACR|DCR|2TLV|2VULN|1CDMG	18RCR|2AME|36VULN|45TLV|7BELT|9CDMG|aMDPS
50	33242 11232	   	315.10	ACR|DCR|2TLV|2VULN|1CDMG	18RCR|2AME|36VULN|45TLV|7BELT|9CDMG|aERES
51	33242 61236	   	315.10	ACR|DCR|2TLV|2VULN|1CDMG	18RCR|2AME|3aVULN|45TLV|6AEWIND|7BELT|9CDMG
52	32242 11231	   	315.00	ACR|DCR|2TLV|2VULN|1CDMG	18RCR|2ERES|36VULN|45TLV|7BELT|9CDMG|aMDPS
