0	Index      	 *	Score 	Summary	Detail	
1	61511 44227	 * 	293.31	DCR|2VULN|2MLV|2DMG|1TLV|1AAC|1SELL	1aVULN|2TLV|3MBVNT|4SELL|5AAC|6RCR|7MDPS|8aDMG|9aMLV|aBPWR
2	61522 42353	 * 	290.73	DCR|DCR|2VULN|2TLV	19VULN|24TLV|3MBVNT|5RPLT|6CGEN|7FEWX|8aRCR
3	61651 23332	 * 	285.07	DCR|2VULN|2MLV|2DMG|1TLV	17VULN|2TLV|37MLV|4DUST|5FEWX|67DMG|7BPWR|8DUR|9ZMB|aRCR
4	65321 23332	   	285.07	DCR|2VULN|2MLV|2DMG|1TLV	17VULN|2DUST|37MLV|4TLV|5FEWX|67DMG|7BPWR|8DUR|9ZMB|aRCR
5	11265 11423	 * 	282.79	DCR|DCR|1VULN|1TLV|1MLV	12MULHEA|2BPWR|3MLV|4DUST|5AART|6FEWX|7aRCR|8VULN|9TLV
6	61522 22383	   	278.80	DCR|DCR|2TLV|1VULN|1ASPD	1VULN|24TLV|3MBVNT|5RPLT|6ASPD|7FEWX|8MDPS|9aRCR
7	61643 23232	   	276.76	DCR|2VULN|2MLV|2DMG|1TLV	17VULN|2TLV|37MLV|4MDPS|5RCVC|67DMG|7BPWR|8FEWX|9ZMB|aRCR
8	61643 23332	   	276.76	DCR|2VULN|2MLV|2DMG|1TLV	17VULN|2TLV|37MLV|4MDPS|5RCVC|67DMG|7BPWR|8LWND|9ZMB|aRCR
9	61622 33342	 * 	276.02	DCR|3VULN|2MLV|1TLV|1CDMG	179VULN|2TLV|39MLV|4CDMG|5DUST|69AEWIND|8BBNT|9BPWR|aRCR
10	31534 25127	   	275.42	DCR|2VULN|2MLV|1TLV|1DMG|1ASPD	1aLHND|2TLV|3MBVNT|4aVULN|5ASPD|6DMG|7RPLT|8RCR|9aMLV|aBPWR
11	65135 33311	 * 	272.41	DCR|3VULN|2DMG|2ASPD|1AAC	189VULN|2DUST|38DMG|4AAC|5CGEN|6RAT|78ASPD|8BPWR|aRCR
12	61523 64214	   	270.86	DCR|DCR|2TLV|1VULN	1VULN|24TLV|3MBVNT|5FEWX|6FRZARM|79RCR|8LSRICY|aDUR
13	51531 14621	   	270.33	DCR|DCR|1VULN|1TLV|1CDMG	1BEXP|2TLV|3MBVNT|4VULN|5AART|6RCVC|79RCR|8CDMG|aTBNT
14	51531 14622	   	270.33	DCR|DCR|1VULN|1TLV|1CDMG	1BEXP|2TLV|3MBVNT|4VULN|5AART|6RCVC|79RCR|8CDMG|aLIT
15	51531 14624	   	270.33	DCR|DCR|1VULN|1TLV|1CDMG	1BEXP|2TLV|3MBVNT|4VULN|5AART|6RCVC|79RCR|8CDMG|aVENICY
16	51531 14623	   	270.23	DCR|DCR|1VULN|1TLV|1CDMG	1BEXP|2TLV|3MBVNT|4VULN|5AART|6RCVC|79RCR|8CDMG|aLEGI
17	61523 64213	   	269.49	DCR|DCR|2TLV|1VULN	1VULN|24TLV|3MBVNT|5FEWX|6FRZARM|79RCR|8LSRICY|aRAT
18	35136 51331	 * 	268.44	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2DUST|3DMG|4VULN|5CGEN|68RCR|7ERES|9TLV|aZMB
19	35136 51332	   	268.44	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2DUST|3DMG|4VULN|5CGEN|68RCR|7ERES|9TLV|aFEWX
20	35136 51333	   	268.34	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2aDUST|3DMG|4VULN|5CGEN|68RCR|7ERES|9TLV
21	61411 23122	 * 	267.85	DCR|2MLV|1VULN|1TLV|1DMG|2CDMG|1AAC	1VULN|2TLV|3aCDMG|4BBNT|57MLV|6DMG|8AAC|9RCR
22	65124 23232	   	267.43	DCR|2VULN|2DMG|1TLV|1MLV|2DUR	17VULN|2DUST|37DMG|4TLV|5MLV|67DUR|7BPWR|8FEWX|9ZMB|aRCR
23	65124 23332	   	267.43	DCR|2VULN|2DMG|1TLV|1MLV|2DUR	17VULN|2DUST|37DMG|4TLV|5MLV|67DUR|7BPWR|8LWND|9ZMB|aRCR
24	22221 11662	   	266.42	DCR|DCR|2VULN|1CDMG	16CGEN|2MSLFST|37VULN|4AART|5TBNT|89RCR|aCDMG
25	61582 34111	   	265.91	DCR|2VULN|2MLV|1TLV|1DMG	19VULN|2TLV|3MBVNT|4CGEN|57MLV|6RAT|8DMG|aRCR
26	61542 38211	   	265.81	DCR|2VULN|2MLV|1TLV|1DMG	19VULN|2TLV|3MBVNT|4ERES|58MLV|6RAT|7DMG|aRCR
27	35236 51331	   	265.27	DCR|DCR|1VULN|1TLV|1AAC	1LHND|2DUST|3CGEN|4AAC|5VULN|68RCR|7ERES|9TLV|aZMB
28	35236 51332	   	265.27	DCR|DCR|1VULN|1TLV|1AAC	1LHND|2DUST|3CGEN|4AAC|5VULN|68RCR|7ERES|9TLV|aFEWX
29	35236 51333	   	265.17	DCR|DCR|1VULN|1TLV|1AAC	1LHND|2aDUST|3CGEN|4AAC|5VULN|68RCR|7ERES|9TLV
30	31513 72323	   	264.85	DCR|DCR|1VULN|1TLV|1SELL	1LHND|2TLV|3MBVNT|4SELL|5FEWX|6AART|79RCR|8DUR|aVULN
31	61431 22135	 * 	264.66	DCR|3VULN|2AAC|1TLV|1CDMG	179VULN|2TLV|3CDMG|4FEWX|5aAAC|6RAT|8RCR
32	21234 62134	   	263.82	DCR|DCR|1VULN|1TLV	1CGEN|2RMIN|3VULN|4LIT|5RAT|6LWND|79RCR|8DUR|aTLV
33	61134 62131	   	263.82	DCR|DCR|1VULN|1TLV	1VULN|2TLV|3CGEN|4LIT|5RAT|6LWND|79RCR|8DUR|aTBNT
34	61134 62132	   	263.82	DCR|DCR|1VULN|1TLV	1VULN|2TLV|3CGEN|4LIT|5RAT|6LWND|79RCR|8DUR|aBELT
