0	Index      	 *	Score 	Summary	Detail	
1	26534 33311	 * 	295.68	DCR|DCR|1VULN|1TLV|1MLV|1CDMG|2SELL	1VENFST|24SELL|3TLV|5MLV|69RCR|7CDMG|8DUR|aVULN
2	26534 33312	 * 	289.39	DCR|DCR|2MLV|1TLV|1CDMG|2SELL	1VENFST|24SELL|3TLV|5aMLV|69RCR|7CDMG|8DUR
3	22513 22683	 * 	282.32	DCR|DCR|1VULN|1TLV|1MLV	1VENFST|2BEXP|3MBVNT|4VULN|5CGEN|6DUR|7TLV|89RCR|aMLV
4	22514 22683	   	282.32	DCR|DCR|1VULN|1TLV|1MLV	1VENFST|2BEXP|3MBVNT|4VULN|5RMIN|6DUR|7TLV|89RCR|aMLV
5	11355 22331	   	277.12	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3LWND|4RAT|5DUR|6VULN|7aRCR|8ASPD|9TLV
6	11525 22331	   	277.12	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3RAT|4LWND|5DUR|6VULN|7aRCR|8ASPD|9TLV
7	11531 12331	   	277.12	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3RAT|4DUR|5VULN|6FEWX|7aRCR|8ASPD|9TLV
8	11155 22331	   	277.02	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3BEXP|4RAT|5DUR|6VULN|7aRCR|8ASPD|9TLV
9	11531 42331	   	277.02	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3RAT|4DUR|5VULN|6DUST|7aRCR|8ASPD|9TLV
10	11536 22331	   	277.02	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3RAT|4DUR|5BEXP|6VULN|7aRCR|8ASPD|9TLV
11	52243 22331	   	277.02	DCR|DCR|1VULN|1TLV|1ASPD	1AETHUN|2DUR|3LWND|4MDPS|5RAT|6VULN|7aRCR|8ASPD|9TLV
12	52245 32331	   	277.02	DCR|DCR|1VULN|1TLV|1ASPD	1AETHUN|2DUR|3LWND|4MDPS|5VULN|6RAT|7aRCR|8ASPD|9TLV
13	43454 74232	 * 	275.46	DCR|DCR|2VULN|1MLV	1aLIT|2MBVNT|3BELT|4aZMB|5MLV|69RCR|7RAT|8aVULN|aBPWR
14	22512 22683	   	274.01	DCR|DCR|1VULN|1TLV|1MLV	1VENFST|2BEXP|3MBVNT|4VULN|5LWND|6RMIN|7TLV|89RCR|aMLV
15	22533 22683	   	274.01	DCR|DCR|1VULN|1TLV|1MLV	1VENFST|2BEXP|3MBVNT|4LWND|5VULN|6RMIN|7TLV|89RCR|aMLV
16	11226 47133	   	269.53	DCR|DCR|2VULN|1ASPD|1CDMG	1LHND|2MDPS|38VULN|4ASPD|5MBVNT|6aRCR|7ZMB|9CDMG
17	61126 47133	   	269.43	DCR|DCR|2VULN|1ASPD|1CDMG	18VULN|2MDPS|3BEXP|4ASPD|5MBVNT|6aRCR|7ZMB|9CDMG
18	11351 12331	   	268.81	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3LWND|4RAT|5VULN|6FEWX|7aRCR|8ASPD|9TLV
19	11521 12331	   	268.81	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2MDPS|3RAT|4LWND|5VULN|6FEWX|7aRCR|8ASPD|9TLV
