0	Index      	 *	Score 	Summary	Detail	
1	43123 23425	 * 	311.82	DCR|DCR|3VULN|1DMG|1AAC	148VULN|2FEWX|3DMG|5LEGI|6RAT|7aRCR|9AAC
2	42124 23325	   	295.07	DCR|DCR|2VULN|1DMG|1AAC|2RAT	14VULN|2LHND|3DMG|5FEWX|68RAT|7aRCR|9AAC
3	44223 23325	   	295.07	DCR|DCR|2VULN|1DMG|1AAC|2RAT	13VULN|28RAT|4FEWX|5DMG|6LWND|7aRCR|9AAC
4	44223 33325	   	295.07	DCR|DCR|2VULN|1DMG|1AAC|2RAT	13VULN|28RAT|4FEWX|5DMG|6LHND|7aRCR|9AAC
5	43123 23325	   	294.97	DCR|DCR|2VULN|1DMG|1AAC|2RAT	14VULN|2FEWX|3DMG|5LEGI|68RAT|7aRCR|9AAC
6	42213 23425	   	291.86	DCR|DCR|3VULN|1AAC	138VULN|2LHND|4LWND|5RAT|6ZMB|7aRCR|9AAC
7	43121 15226	 * 	291.77	DCR|3VULN|2DMG|2ASPD|1MLV|1AAC	14aVULN|2aFEWX|38DMG|5MLV|6AAC|7aASPD|9RCR|aBPWR
8	42243 53234	 * 	291.26	DCR|DCR|2VULN|1MLV|1CDMG	13VULN|2LHND|4MBVNT|5RAT|6CGEN|7aRCR|8CDMG|9MLV
9	43253 23325	   	291.16	DCR|DCR|2VULN|1AAC|1ASPD|2RAT	13VULN|2FEWX|4ASPD|5LEGI|68RAT|7aRCR|9AAC
10	43623 23325	   	291.16	DCR|DCR|2VULN|1AAC|1ASPD|2RAT	14VULN|2FEWX|3ASPD|5LEGI|68RAT|7aRCR|9AAC
11	43121 25226	 * 	290.53	DCR|3VULN|3DMG|2ASPD|1MLV	14aVULN|2FEWX|38aDMG|5MLV|6ZMB|7aASPD|9RCR|aBPWR
12	24223 23425	   	288.46	DCR|DCR|2VULN|1DMG|1AAC	14FEWX|2RAT|38VULN|5DMG|6LWND|7aRCR|9AAC
13	24223 33425	   	288.46	DCR|DCR|2VULN|1DMG|1AAC	14FEWX|2RAT|38VULN|5DMG|6LHND|7aRCR|9AAC
14	42131 23425	   	288.46	DCR|DCR|2VULN|1DMG|1AAC	18VULN|25LHND|3DMG|4LWND|6RAT|7aRCR|9AAC
15	43132 23425	   	288.36	DCR|DCR|2VULN|1DMG|1AAC	18VULN|2FEWX|3DMG|4LWND|5AEFBLL|6RAT|7aRCR|9AAC
16	42112 23425	   	288.26	DCR|DCR|2VULN|1DMG|1AAC	18VULN|2LHND|3DMG|4BEXP|5AEFBLL|6RAT|7aRCR|9AAC
17	43112 23425	   	288.26	DCR|DCR|2VULN|1DMG|1AAC	18VULN|2FEWX|3DMG|4BEXP|5AEFBLL|6RAT|7aRCR|9AAC
18	43123 23525	   	288.26	DCR|DCR|2VULN|1DMG|1AAC	14VULN|2FEWX|3DMG|5LEGI|6RAT|7aRCR|8AEFRZ|9AAC
19	31251 15226	   	284.23	DCR|2VULN|3DMG|1MLV|1AAC|1ASPD|2DUR	1DMSP|2aVULN|3aDUR|4ASPD|5MLV|6AAC|78aDMG|9RCR|aBPWR
20	43123 23441	 * 	283.53	DCR|4VULN|2DMG|1TLV|2RAT	1489VULN|2FEWX|39DMG|5LEGI|69RAT|7RCR|9BPWR|aTLV
