0	Index      	 *	Score 	Summary	Detail	
1	62262 35223	 * 	299.29	DCR|2VULN|3DMG|2TLV|1MLV|1AAC	1AETHUN|28TLV|3AAC|48VULN|5BBNT|678DMG|8BPWR|9MLV|aRCR
2	15311 15533	 * 	297.26	DCR|DCR|2TLV|1VULN|1MLV	18TLV|2RMIN|3RCVC|4MLV|5VULN|6LWND|7aRCR|9AART
3	15311 35533	   	297.26	DCR|DCR|2TLV|1VULN|1MLV	18TLV|2RMIN|3RCVC|4MLV|5VULN|6LHND|7aRCR|9AART
4	15311 25533	   	297.16	DCR|DCR|2TLV|1VULN|1MLV	18TLV|2RMIN|3RCVC|4MLV|5VULN|6LEGI|7aRCR|9AART
5	62262 33236	 * 	296.55	DCR|3VULN|3DMG|2TLV|1AAC	1AETHUN|28TLV|3AAC|478VULN|5BBNT|689DMG|8BPWR|aRCR
6	54132 31243	 * 	295.12	DCR|DCR|2VULN|1MLV|1ASPD	1AART|25VULN|3BEXP|4MLV|6CGEN|7MULARM|8aRCR|9ASPD
7	15611 32224	   	288.86	DCR|DCR|2TLV|1VULN|1MLV	13TLV|2RMIN|3BPWR|4MLV|5VULN|6LHND|7CGEN|8BASARM|9aRCR
8	15611 31224	   	288.76	DCR|DCR|2TLV|1VULN|1MLV	13TLV|2RMIN|3BPWR|4MLV|5VULN|6LHND|7ERES|8BASARM|9aRCR
9	33361 41126	 * 	286.91	DCR|3VULN|1TLV|2ASPD|2CDMG|1AAC	1AAC|29CDMG|369VULN|4TLV|5DMSP|7RAT|89ASPD|9BPWR|aRCR
10	54315 31223	 * 	286.58	DCR|DCR|2VULN|1DMG|1CDMG	1AART|24VULN|3RMIN|5CDMG|69RCR|7LHND|8TBNT|aDMG
11	54315 32223	   	286.48	DCR|DCR|2VULN|1DMG|1CDMG	1AART|24VULN|3RMIN|5CDMG|69RCR|7DUST|8TBNT|aDMG
12	61136 13215	 * 	284.80	DCR|3VULN|3MLV|1TLV	1AETHUN|28BEXP|3BBNT|458MLV|678VULN|8BPWR|9RCR|aTLV
13	62312 32542	   	282.99	DCR|DCR|1VULN|1TLV|1MLV	1AETHUN|2TLV|3DUR|4MLV|5VULN|6TBNT|79RCR|8LIT|aLHND
14	62312 32543	   	282.99	DCR|DCR|1VULN|1TLV|1MLV	1AETHUN|2TLV|3DUR|4MLV|5VULN|6TBNT|79RCR|8LIT|aRMIN
15	62312 32541	   	282.89	DCR|DCR|1VULN|1TLV|1MLV	1AETHUN|2TLV|3DUR|4MLV|5VULN|6TBNT|79RCR|8LIT|aERES
16	13213 44224	 * 	276.56	DCR|DCR|2VULN|1TLV	1TLV|2BLAICY|3CGEN|47VULN|5FEWX|68LHND|9aRCR
17	15311 32224	   	274.68	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2RMIN|3RCVC|4MLV|5VULN|6LHND|7CGEN|8BASARM|9aRCR
18	15341 33224	   	274.68	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2RMIN|3RCVC|4CGEN|5VULN|6LHND|7MLV|8BASARM|9aRCR
19	15311 31224	   	274.58	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2RMIN|3RCVC|4MLV|5VULN|6LHND|7ERES|8BASARM|9aRCR
20	62262 35233	   	272.99	DCR|2VULN|3DMG|2TLV|1AAC	1AETHUN|28TLV|3AAC|48VULN|5BBNT|678DMG|8BPWR|9ERES|aRCR
21	21163 23115	   	272.97	DCR|DCR|2VULN|2DUR|2RAT	15AEFRZ|2TBNT|39VULN|4RPLT|6aRCR|79RAT|89DUR|9BPWR
22	26163 23115	   	272.97	DCR|DCR|2VULN|2DUR|2RAT	15AEFRZ|2BBNT|39VULN|4RPLT|6aRCR|79RAT|89DUR|9BPWR
23	33122 62326	 * 	269.82	DCR|3VULN|2AAC|2ASPD|2CDMG	17AAC|29CDMG|39ASPD|4RAT|5ERES|689VULN|9BPWR|aRCR
24	33162 62326	   	269.82	DCR|3VULN|2AAC|2ASPD|2CDMG	17AAC|29CDMG|39ASPD|4ERES|5RAT|689VULN|9BPWR|aRCR
25	11312 26326	 * 	269.55	DCR|2VULN|2TLV|2CDMG|1AAC|1ASPD|2RAT	19TLV|2AEWIND|39RAT|4ASPD|5AAC|68VULN|79CDMG|9BPWR|aRCR
26	16312 26326	   	269.55	DCR|2VULN|2TLV|2CDMG|1AAC|1ASPD|2RAT	19TLV|2AEFRZ|39RAT|4ASPD|5AAC|68VULN|79CDMG|9BPWR|aRCR
