0	Index      	 *	Score 	Summary	Detail	
1	11314 31112	 * 	296.19	DCR|DCR|3VULN|2CDMG	18LSRHEA|278VULN|3DUR|4ERES|58CDMG|6TBNT|8BPWR|9aRCR
2	63423 31532	 * 	290.73	DCR|DCR|2VULN|2TLV	16FEWX|29TLV|3AEPOI|48VULN|5CGEN|7aRCR
3	11111 63235	 * 	286.82	DCR|DCR|2VULN|1MLV|1ASPD	1LSRHEA|23VULN|4LIT|5TBNT|68RCR|7MBVNT|9MLV|aASPD
4	36351 12214	 * 	285.84	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1TBNT|2AEBURN|3ZMB|4VULN|5MLV|6aRCR|7ASPD|8DMG|9RAT
5	11125 53612	   	281.48	DCR|DCR|3VULN|1CDMG	1LSRHEA|236VULN|4FEWX|5ERES|7CDMG|8BBNT|9aRCR
6	11111 63285	 * 	280.68	DCR|DCR|2VULN|1DMG|1ASPD	1LSRHEA|23VULN|4LIT|5TBNT|68RCR|7MBVNT|9DMG|aASPD
7	11111 63237	   	278.87	DCR|DCR|2VULN|1MLV	1LSRHEA|23VULN|4LIT|5TBNT|68RCR|7MBVNT|9MLV|aDUR
8	25243 63112	   	277.37	DCR|DCR|1VULN|1TLV|1CDMG	1AART|2BBNT|3BASICY|4CDMG|5VULN|6TLV|7BELT|8RAT|9aRCR
9	36511 12214	   	276.09	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1TBNT|2AEBURN|3AAC|4DUR|5MLV|6aRCR|7ASPD|8DMG|9RAT
10	11111 63287	   	272.73	DCR|DCR|2VULN|1DMG	1LSRHEA|23VULN|4LIT|5TBNT|68RCR|7MBVNT|9DMG|aDUR
11	11111 63231	   	270.57	DCR|DCR|2VULN|1MLV	1LSRHEA|23VULN|4LIT|5TBNT|68RCR|7MBVNT|9MLV|aFEWX
12	11111 63233	   	270.57	DCR|DCR|2VULN|1MLV	1LSRHEA|23VULN|4LIT|5TBNT|68RCR|7MBVNT|9MLV|aLHND
13	11111 63238	   	270.57	DCR|DCR|2VULN|1MLV	1LSRHEA|23VULN|4LIT|5TBNT|68RCR|7MBVNT|9MLV|aRPLT
14	11111 63232	   	270.47	DCR|DCR|2VULN|1MLV	1LSRHEA|23VULN|4LIT|5TBNT|68RCR|7MBVNT|9MLV|aBEXP
15	11111 63234	   	270.47	DCR|DCR|2VULN|1MLV	1LSRHEA|23VULN|4LIT|5TBNT|68RCR|7MBVNT|9MLV|aDUST
16	11111 63236	   	270.47	DCR|DCR|2VULN|1MLV	1LSRHEA|23VULN|4LIT|5TBNT|68RCR|7MBVNT|9MLV|aAEFRZ
17	11111 63241	   	270.47	DCR|DCR|2VULN|1MLV	1LSRHEA|23VULN|4LIT|5TBNT|68RCR|7MBVNT|9AETHUN|aMLV
18	11111 63271	   	270.47	DCR|DCR|2VULN|1MLV	1LSRHEA|23VULN|4LIT|5TBNT|68RCR|7MBVNT|9BEXP|aMLV
19	22222 31561	 * 	267.90	DCR|DCR|1TLV|1MLV|1DMG	1AART|2AEWIND|3MLV|4DUST|5ZMB|69RCR|7LEGI|8TLV|aDMG
20	22222 35561	   	267.90	DCR|DCR|1TLV|1MLV|1DMG	1AART|2AEWIND|3MLV|4DUST|5ZMB|69RCR|7BEXP|8TLV|aDMG
21	43334 14223	 * 	267.87	DCR|DCR|2DMG|1TLV|1AAC	1BEXP|2TLV|3DUST|48DMG|5MDPS|6aRCR|7RMIN|9AAC
22	31551 12214	   	267.78	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1TBNT|2LWND|3AAC|4AEPOI|5MLV|6aRCR|7ASPD|8DMG|9RAT
23	36521 12214	   	267.78	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1TBNT|2AEBURN|3AAC|4LHND|5MLV|6aRCR|7ASPD|8DMG|9RAT
24	36531 12214	   	267.78	DCR|DCR|1MLV|1DMG|1AAC|1ASPD	1TBNT|2AEBURN|3AAC|4LWND|5MLV|6aRCR|7ASPD|8DMG|9RAT
25	26113 55232	 * 	267.72	DCR|2VULN|2DMG|1TLV|1MLV	1AART|2RPLT|35VULN|45DMG|5BPWR|6TLV|7RAT|8MLV|9DLOT|aRCR
26	26633 32124	 * 	267.38	DCR|2VULN|2MLV|1TLV|2CDMG	1AART|2RPLT|3aMLV|4TLV|5aVULN|6AEFBLL|7CGEN|8RCR|9aCDMG|aBPWR
27	26633 31124	   	267.28	DCR|2VULN|2MLV|1TLV|2CDMG	1AART|2RPLT|3aMLV|4TLV|5aVULN|6AEFBLL|7ERES|8RCR|9aCDMG|aBPWR
28	26113 53221	 * 	266.58	DCR|2VULN|3DMG|1TLV|1ASPD	1AART|2RPLT|35VULN|458DMG|5BPWR|6TLV|7ASPD|9RCR|aDMSP
29	26113 53222	   	266.58	DCR|2VULN|3DMG|1TLV|1ASPD	1AART|2RPLT|35VULN|458DMG|5BPWR|6TLV|7ASPD|9RCR|aCGEN
30	26113 53223	   	266.58	DCR|2VULN|3DMG|1TLV|1ASPD	1AART|2RPLT|35VULN|458DMG|5BPWR|6TLV|7ASPD|9RCR|aBBNT
31	26113 53225	   	266.58	DCR|2VULN|3DMG|1TLV|1ASPD	1AART|2RPLT|35VULN|458DMG|5BPWR|6TLV|7ASPD|9RCR|aLHND
32	26113 53224	   	266.48	DCR|2VULN|3DMG|1TLV|1ASPD	1AART|2RPLT|35VULN|458DMG|5BPWR|6TLV|7ASPD|9RCR|aERES
33	11313 53612	   	266.32	DCR|DCR|2VULN|1CDMG	1LSRHEA|26VULN|3DUR|4ERES|5RCVC|7CDMG|8BBNT|9aRCR
34	11335 53612	   	266.32	DCR|DCR|2VULN|1CDMG	1LSRHEA|26VULN|3DUR|4DMSP|5ERES|7CDMG|8BBNT|9aRCR
35	11564 33312	   	266.32	DCR|DCR|2VULN|1CDMG	1LSRHEA|27VULN|3MDPS|4CGEN|5CDMG|6LWND|8DUR|9aRCR
