0	Index      	 *	Score 	Summary	Detail	
1	64225 43124	 * 	302.78	DCR|DCR|2DMG|1VULN|1TLV|1AAC|1SELL	1AAC|2BBNT|3MBVNT|4VULN|5TLV|69DMG|7aRCR|8SELL
2	56212 25213	 * 	301.99	DCR|3VULN|3MLV|1TLV|1AAC	14aMLV|28aVULN|3LHND|5AAC|6TLV|7RCR|9aZMB|aBPWR
3	56112 25213	   	301.89	DCR|3VULN|3MLV|1TLV|1AAC	14aMLV|28aVULN|3BEXP|5AAC|6TLV|7RCR|9aZMB|aBPWR
4	64631 12132	 * 	286.06	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1AAC|2BBNT|3LHND|4VULN|5TBNT|6aRCR|7RAT|8CDMG|9TLV
5	56112 25332	   	284.17	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	14MLV|2aVULN|3BEXP|5AAC|6TLV|7RCR|8DUR|9DMG
6	56212 23325	 * 	279.31	DCR|2VULN|2MLV|2AAC|1TLV	14MLV|27VULN|3LHND|5aAAC|6TLV|8DUR|9RCR
7	56112 23125	   	279.21	DCR|2VULN|2MLV|2AAC|1TLV	14MLV|27VULN|3BEXP|5aAAC|6TLV|8DUR|9RCR
8	24221 15362	 * 	277.29	DCR|2MLV|2DMG|1VULN|1TLV|2DUR|1CDMG	1TBNT|2BBNT|3aDMG|4VULN|5aDUR|6RCR|7CDMG|8TLV|9aMLV|aBPWR
9	23226 42336	 * 	276.57	DCR|2VULN|3DMG|2MLV|1ASPD	1TBNT|2CGEN|358DMG|45VULN|5BPWR|69MLV|7ASPD|aRCR
10	51125 22632	   	272.97	DCR|3VULN|3MLV|1DMG	178MLV|2DMSP|3TBNT|4BELT|578ERES|678VULN|78BPWR|9DMG|aRCR
11	51126 32632	   	272.97	DCR|3VULN|3MLV|1DMG	178MLV|2DMSP|3TBNT|4BELT|578VULN|678ERES|78BPWR|9DMG|aRCR
12	51325 22632	   	272.97	DCR|3VULN|3MLV|1DMG	178MLV|2DMSP|3BBNT|4BELT|578ERES|678VULN|78BPWR|9DMG|aRCR
13	51326 32632	   	272.97	DCR|3VULN|3MLV|1DMG	178MLV|2DMSP|3BBNT|4BELT|578VULN|678ERES|78BPWR|9DMG|aRCR
14	53125 22632	   	272.87	DCR|3VULN|3MLV|1DMG	178MLV|2AEFBLL|3TBNT|4BELT|578ERES|678VULN|78BPWR|9DMG|aRCR
15	53126 32632	   	272.87	DCR|3VULN|3MLV|1DMG	178MLV|2AEFBLL|3TBNT|4BELT|578VULN|678ERES|78BPWR|9DMG|aRCR
16	53325 22632	   	272.87	DCR|3VULN|3MLV|1DMG	178MLV|2AEFBLL|3BBNT|4BELT|578ERES|678VULN|78BPWR|9DMG|aRCR
17	53326 32632	   	272.87	DCR|3VULN|3MLV|1DMG	178MLV|2AEFBLL|3BBNT|4BELT|578VULN|678ERES|78BPWR|9DMG|aRCR
