0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22523 32424	8	 * 	300.40	橙4易伤2等级3攻速1伤害1时间	1467易伤247攻速3平台47序列升级57等级8核9时间a伤害
2	22523 32421	10	 * 	298.67	橙5易伤2等级3攻速1时间	14679易伤247攻速3平台47序列升级57等级8核a时间
3	22523 32424	9	   	298.67	橙5易伤2等级3攻速1时间	14679易伤247攻速3平台47序列升级57等级8核a时间
4	22523 32426	8	   	298.67	橙5易伤2等级3攻速1时间	1467a易伤247攻速3平台47序列升级57等级8核9时间
5	22431 31145	2	 * 	298.26	橙5易伤2伤害2时间2攻速	1378a易伤23攻速3a序列升级4a时间5额外掉落6a伤害9核
6	24113 56331	9	 * 	298.21	橙4易伤2等级3时间1暴击	1679易伤2最后敌人3平台47等级567时间67序列升级8暴击a核
7	21131 31145	2	 * 	296.30	橙5易伤2等级2伤害	1378a易伤2挖尘4a等级5额外掉落6a伤害9核a序列升级
8	22523 61224	10	 * 	294.92	橙4易伤2等级2时间3攻速	149a易伤247攻速3平台49序列升级59等级6核89时间
9	22523 61226	9	   	294.92	橙4易伤2等级2时间3攻速	149a易伤247攻速3平台49序列升级59等级6核89时间
10	22523 32422	8	   	294.92	橙4易伤2等级2时间3攻速	1467易伤247攻速3平台47序列升级57等级8核9a时间
11	22523 61224	9	 * 	293.93	橙3易伤2等级2时间3攻速1伤害	149易伤247攻速3平台49序列升级59等级6核89时间a伤害
12	22523 61343	6	 * 	292.87	橙4易伤2等级2暴击2攻速1时间	1479易伤24攻速3平台49序列升级59等级6核89暴击a时间
13	22523 32426	10	   	292.09	橙5易伤2等级3攻速	14679易伤247攻速3平台47序列升级57等级8核a全技能
14	21431 61162	1	 * 	291.30	橙4易伤2等级2时间1伤害	189a易伤2a低血量敌人3伤害47等级5a时间6核a序列升级
15	22523 32423	9	   	290.73	橙5易伤2等级3攻速	14679易伤247攻速3平台47序列升级57等级8核a雷电
16	22131 31145	3	   	290.32	橙5易伤2伤害2时间	1378a易伤2攻速4a时间5额外掉落6a伤害9核a序列升级
17	22134 53362	3	   	287.29	橙4易伤2等级2时间2攻速	136a易伤2a攻速45时间7挖尘8核9a等级a序列升级
18	22141 31625	10	 * 	287.29	橙4易伤3等级2时间2攻速	139a易伤2a攻速456等级7a时间8核a序列升级
19	22523 61222	9	 * 	287.09	橙3易伤2等级3时间3攻速	149易伤247攻速3平台49序列升级59等级6核89a时间
20	21431 62162	1	 * 	285.51	橙4易伤3时间1等级1伤害	189a易伤2a低血量敌人3伤害4等级57a时间6核a序列升级
21	23144 34161	10	 * 	284.36	橙4易伤3等级3时间	1379易伤2掉矿479等级5加一679时间79序列升级8双倍矿a核
22	22523 32414	9	   	284.15	橙4易伤2等级3攻速1伤害	1467易伤247攻速3平台47序列升级57等级8核9基地爆炸a伤害
23	22523 61342	6	 * 	284.05	橙4易伤2等级3攻速2暴击	1479易伤24a攻速3平台49序列升级59等级6核89暴击
24	22523 32414	8	   	284.05	橙4易伤2等级3攻速1伤害	1467易伤247攻速3平台47序列升级57等级8核9挖青a伤害
25	22431 62162	1	 * 	283.48	橙3易伤2等级3时间1伤害	18a易伤2a敌人爆炸3伤害49等级57a时间6核a序列升级
26	24113 56321	9	 * 	283.48	橙3易伤2等级3时间2暴击	167易伤2最后敌人3平台47等级567时间67序列升级89暴击a核
27	23144 71223	10	   	283.28	橙3易伤2等级3时间1伤害	138易伤2掉矿48等级5加一6核789时间8序列升级a伤害
28	21431 62162	2	   	283.28	橙3易伤2等级3时间1伤害	18a易伤2a挖尘3伤害49等级57a时间6核a序列升级
29	21531 62162	3	   	283.28	橙3易伤2等级3时间1伤害	18a易伤2a挖尘3伤害49等级57a时间6核a序列升级
30	23144 34333	10	   	283.28	橙3易伤2等级3时间1伤害	137易伤2掉矿47等级5加一678时间7序列升级9伤害a核
31	22523 32433	9	 * 	282.52	橙5易伤3等级3攻速	1467a易伤247攻速3平台47a序列升级57a等级8核9a矿等
32	22523 32443	9	   	282.52	橙5易伤3等级3攻速	1467a易伤247攻速3平台47a序列升级57a等级8核9a金币生成
33	22523 32463	8	   	282.52	橙5易伤3等级3攻速	1467a易伤247攻速3平台47a序列升级57a等级8核9a金币生成
34	22523 32414	10	   	282.42	橙5易伤2等级3攻速	1467a易伤247攻速3平台47序列升级57等级8核9基地爆炸
35	22523 32416	9	   	282.42	橙5易伤2等级3攻速	1467a易伤247攻速3平台47序列升级57等级8核9基地爆炸
36	22523 32422	9	   	282.42	橙5易伤2等级3攻速	14679易伤247攻速3平台47序列升级57等级8核a敌人爆炸
37	22523 32423	10	   	282.42	橙5易伤2等级3攻速	14679易伤247攻速3平台47序列升级57等级8核a矿等
38	22523 32424	10	   	282.42	橙5易伤2等级3攻速	14679易伤247攻速3平台47序列升级57等级8核a双倍矿
39	22523 32426	9	   	282.42	橙5易伤2等级3攻速	14679易伤247攻速3平台47序列升级57等级8核a基地爆炸
40	22523 32436	9	   	282.42	橙5易伤2等级3攻速	1467a易伤247攻速3平台47序列升级57等级8核9矿等
41	36313 31255	10	 * 	282.42	橙3易伤3伤害3等级	1平台28a等级34金币生成58a伤害6核78a易伤8a序列升级9全技能
42	36323 31255	10	   	282.42	橙3易伤3伤害3等级	1平台28a等级3金币生成4双倍矿58a伤害6核78a易伤8a序列升级9全技能
43	22523 32416	8	   	282.32	橙5易伤2等级3攻速	1467a易伤247攻速3平台47序列升级57等级8核9挖青
44	22523 32421	9	   	282.32	橙5易伤2等级3攻速	14679易伤247攻速3平台47序列升级57等级8核a挖尘
45	22523 32422	10	   	282.32	橙5易伤2等级3攻速	14679易伤247攻速3平台47序列升级57等级8核a挖尘
