0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22315 66312	9	 * 	309.27	橙4易伤2等级2时间1伤害	1457易伤27时间3全技能67等级7序列升级8雷电9核a伤害
2	22315 66311	9	 * 	302.43	橙4易伤2等级3时间	1457易伤27a时间3全技能67等级7序列升级8雷电9核
3	22315 66313	10	   	302.43	橙4易伤2等级3时间	1457易伤27a时间3全技能67等级7序列升级8雷电9核
4	22315 66311	10	   	289.21	橙4易伤2等级2时间	1457易伤27时间3全技能67等级7序列升级8雷电9核a敌人爆炸
5	22315 66312	10	   	289.21	橙4易伤2等级2时间	1457易伤27时间3全技能67等级7序列升级8雷电9核a随机矿
6	22315 66313	9	   	289.21	橙4易伤2等级2时间	1457易伤27时间3全技能67等级7序列升级8雷电9核a低血量敌人
7	22613 44233	4	   	284.56	橙4易伤2等级3时间	137a易伤257时间47a金币生成6挖青7a序列升级8核9a等级
8	22623 44233	3	   	284.56	橙4易伤2等级3时间	137a易伤257时间47a金币生成6挖青7a序列升级8核9a等级
9	24732 21213	3	 * 	282.10	橙4易伤3伤害3雷电1暴击	139a易伤2加一49a雷电5敌人爆炸6核7暴击89a伤害9a序列升级
10	24782 21213	4	   	282.10	橙4易伤3伤害3雷电1暴击	139a易伤2加一49a雷电5敌人爆炸6核7暴击89a伤害9a序列升级
11	22315 66111	7	   	280.90	橙4易伤2等级2时间	1457易伤27时间3全技能67等级7序列升级8最后敌人9核a敌人爆炸
12	22315 66113	7	   	280.90	橙4易伤2等级2时间	1457易伤27时间3全技能67等级7序列升级8最后敌人9核a双倍矿
13	22315 66112	7	   	280.80	橙4易伤2等级2时间	1457易伤27时间3全技能67等级7序列升级8最后敌人9核a掉矿
14	24314 41335	9	   	280.80	橙4易伤2等级2时间	149a易伤2加一3全技能5敌人爆炸6核79时间89等级9序列升级
15	24311 41334	10	   	280.70	橙4易伤2等级2时间	149a易伤2加一3全技能5挖尘6核79时间89等级9序列升级
16	24311 41335	9	   	280.70	橙4易伤2等级2时间	149a易伤2加一3全技能5挖尘6核79时间89等级9序列升级
17	24314 41337	9	   	279.81	橙3易伤2等级2时间1伤害	149易伤2加一3全技能5敌人爆炸6核79时间89等级9序列升级a伤害
18	24314 41338	10	   	279.81	橙3易伤2等级2时间1伤害	149易伤2加一3全技能5敌人爆炸6核79时间89等级9序列升级a伤害
19	24311 41337	9	   	279.71	橙3易伤2等级2时间1伤害	149易伤2加一3全技能5挖尘6核79时间89等级9序列升级a伤害
