0	Index      	 *	Score 	Summary	Detail	
1	51421 36216	 * 	326.34	橙橙3易伤2等级	1加一27等级3技能点47a易伤5额外掉落67低血量敌人7序列升级89核
2	51421 36217	   	311.31	橙橙2等级2易伤	1加一27等级3技能点47易伤5额外掉落67低血量敌人7序列升级89核a时间
3	44121 23215	   	308.96	橙橙2易伤1等级1伤害1攻速	1攻速2挖青3伤害4a易伤5额外掉落6等级7金币生成89核
4	24121 23215	   	302.25	橙橙2易伤1等级1伤害	1策反2挖青3伤害4a易伤5额外掉落6等级7金币生成89核
5	51421 36215	   	301.65	橙橙2等级2易伤	1加一27等级3技能点47易伤5额外掉落67低血量敌人7序列升级89核a敌人爆炸
6	51421 36211	   	301.55	橙橙2等级2易伤	1加一27等级3技能点47易伤5额外掉落67低血量敌人7序列升级89核a挖尘
7	51421 36212	   	301.55	橙橙2等级2易伤	1加一27等级3技能点47易伤5额外掉落67低血量敌人7序列升级89核a激光对绿
8	51421 36213	   	301.55	橙橙2等级2易伤1挖怪	1加一27等级3技能点47易伤5额外掉落67低血量敌人7序列升级89核a挖怪
9	51421 36214	   	301.55	橙橙2等级2易伤	1加一27等级3技能点47易伤5额外掉落67低血量敌人7序列升级89核a多重对甲
10	51421 36218	   	301.55	橙橙2等级2易伤	1加一27等级3技能点47易伤5额外掉落67低血量敌人7序列升级89核a激光对愈
11	51421 56211	   	301.55	橙橙2等级2易伤	1加一27等级3技能点47易伤5额外掉落67最后敌人7序列升级89核a挖尘
12	51421 56212	   	301.55	橙橙2等级2易伤	1加一27等级3技能点47易伤5额外掉落67最后敌人7序列升级89核a激光对绿
13	51421 56213	   	301.55	橙橙2等级2易伤1挖怪	1加一27等级3技能点47易伤5额外掉落67最后敌人7序列升级89核a挖怪
14	51421 56214	   	301.55	橙橙2等级2易伤	1加一27等级3技能点47易伤5额外掉落67最后敌人7序列升级89核a多重对甲
15	51621 36211	   	301.55	橙橙2等级2易伤	1加一27等级3金币生成47易伤5额外掉落67低血量敌人7序列升级89核a挖尘
16	51621 36212	   	301.55	橙橙2等级2易伤	1加一27等级3金币生成47易伤5额外掉落67低血量敌人7序列升级89核a激光对绿
17	51621 36213	   	301.55	橙橙2等级2易伤1挖怪	1加一27等级3金币生成47易伤5额外掉落67低血量敌人7序列升级89核a挖怪
18	51621 36214	   	301.55	橙橙2等级2易伤	1加一27等级3金币生成47易伤5额外掉落67低血量敌人7序列升级89核a多重对甲
19	51421 24216	   	301.45	橙橙2等级2易伤	1加一26等级3技能点4a易伤5额外掉落7最后敌人89核
20	52321 24216	   	301.45	橙橙2等级2易伤	1加一2随机矿36等级4a易伤5额外掉落7最后敌人89核
21	52321 75212	   	301.45	橙橙2等级2易伤	1加一2随机矿3a等级4a易伤5额外掉落6雷电减费7立即金币89核a序列升级
22	51621 23216	   	301.35	橙橙2等级2易伤	1加一26等级3金币生成4a易伤5额外掉落7挖尘89核
23	52321 27216	   	301.35	橙橙2等级2易伤	1加一2随机矿36等级4a易伤5额外掉落7挖尘89核
24	51128 16414	   	301.32	橙3易伤2等级1毒气减费1伤害	1加一27等级3伤害458易伤6核9毒气减费a随机技能
25	51128 16424	   	301.32	橙3易伤2等级1烈焰减费1伤害	1加一27等级3伤害458易伤6核9烈焰减费a随机技能
26	51128 13271	 * 	301.03	橙2等级2易伤2伤害2毒气减费1暴击	1加一29等级39伤害45易伤6核7金币生成89毒气减费9序列升级a暴击
27	51128 13273	 * 	301.03	橙3等级2易伤2伤害2毒气减费	1加一29a等级39伤害45易伤6核7金币生成89毒气减费9序列升级
28	51128 18121	   	300.16	橙3易伤2等级1伤害2时间	1加一29等级3伤害459易伤6核79时间8随机矿9序列升级a随机技能
29	51421 38216	   	299.94	橙橙3易伤1等级	1加一2等级3技能点47a易伤5额外掉落6低血量敌人89核
30	54538 12441	 * 	298.50	紫橙2等级1易伤1毒气减费	1加一2策反3挖尘48核5易伤69等级7技能点a毒气减费
31	54538 13441	   	298.50	紫橙2等级1易伤1毒气减费	1加一2策反3挖尘48核5易伤69等级7随机矿a毒气减费
32	56113 15124	 * 	296.72	橙2等级2易伤3伤害1暴击	1加一239伤害4基地爆炸59等级6核79易伤8随机矿9序列升级a暴击
33	56143 15124	   	296.72	橙2等级2易伤3伤害1暴击	1加一239伤害4敌人爆炸59等级6核79易伤8随机矿9序列升级a暴击
