0	Index      	 *	Score 	Summary	Detail	
1	15161 51233	 * 	271.15	ACR|DCR|4VULN|2DUR	12DUR|37RCR|468aVULN|56CGEN|6BPWR|9DUST
2	23621 26351	 * 	269.90	DCR|DCR|2VULN|2ASPD	1TLV|2RCVC|36VULN|45ASPD|7CGEN|8MSLTOX|9aRCR
3	15161 51313	   	269.37	ACR|DCR|3VULN|1MLV|2DUR|1ZMB	12DUR|37RCR|46aVULN|56CGEN|6BPWR|8MLV|9ZMB
4	23126 23431	 * 	265.84	DCR|DCR|3VULN	1TLV|2RCVC|3ERES|456VULN|7aRCR|8AAC|9FLTFST
5	15161 51212	   	265.64	ACR|DCR|3VULN|2DUR|1CDMG	12DUR|37RCR|468VULN|56CGEN|6BPWR|9MSLFST|aCDMG
6	23266 23351	   	257.55	DCR|DCR|2VULN|1ASPD	16TLV|2RCVC|3ASPD|47CGEN|56VULN|6BPWR|8MSLTOX|9aRCR
7	23333 44151	   	257.55	DCR|DCR|2VULN|1ASPD	1TLV|2RCVC|3DMSP|4LSRICY|56VULN|7RMIN|8ASPD|9aRCR
8	23612 26351	   	257.35	DCR|DCR|2VULN|1ASPD	1TLV|2RCVC|36VULN|4AELOIC|5ASPD|7CGEN|8MSLTOX|9aRCR
9	46235 14232	   	255.74	ACR|DCR|2VULN|1MLV|1ASPD|1AART	1LHND|2MBVNT|3LWND|4ASPD|5aRCR|67VULN|8AART|9MLV
10	23323 14151	 * 	255.19	DCR|DCR|1VULN|1DMG|1MLV	1TLV|28RCVC|3DMSP|4DMG|5MLV|6VULN|7BLAICY|9aRCR
11	23323 15651	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	17TLV|2RCVC|3DMSP|4DMG|5MLV|6VULN|8BLAICY|9aRCR
12	15161 51331	 * 	252.49	ACR|DCR|2VULN|3DUR|1MLV	129DUR|37RCR|46VULN|56CGEN|6BPWR|8MLV|aBBNT
13	15161 51333	   	252.49	ACR|DCR|2VULN|3DUR|1MLV	129DUR|37RCR|46VULN|56CGEN|6BPWR|8MLV|aTBNT
14	15161 51332	   	252.39	ACR|DCR|2VULN|3DUR|1MLV	129DUR|37RCR|46VULN|56CGEN|6BPWR|8MLV|aERES
15	46441 42338	   	252.00	DCR|DCR|2VULN	1LHND|2MBVNT|3ERES|4DUR|59VULN|6LWND|7BEXP|8aRCR
16	15161 51213	   	251.99	ACR|DCR|3VULN|2DUR	12DUR|37RCR|468VULN|56CGEN|6BPWR|9MSLFST|aBBNT
17	15161 51231	   	251.99	ACR|DCR|3VULN|2DUR	12DUR|37RCR|468VULN|56CGEN|6BPWR|9DUST|aBBNT
18	15161 51211	   	251.89	ACR|DCR|3VULN|2DUR	12DUR|37RCR|468VULN|56CGEN|6BPWR|9MSLFST|aMBVNT
19	15161 51221	   	251.89	ACR|DCR|3VULN|2DUR|1MSE	12DUR|37RCR|468VULN|56CGEN|6BPWR|9MSE|aBBNT
20	15161 51222	   	251.89	ACR|DCR|3VULN|2DUR|1MSE	12DUR|37RCR|468VULN|56CGEN|6BPWR|9MSE|aAIRARM
21	15161 51223	   	251.89	ACR|DCR|4VULN|2DUR|1MSE	12DUR|37RCR|468aVULN|56CGEN|6BPWR|9MSE
22	15161 51232	   	251.89	ACR|DCR|3VULN|2DUR	12DUR|37RCR|468VULN|56CGEN|6BPWR|9DUST|aAIRARM
23	15161 51111	 * 	249.81	ACR|DCR|2VULN|2CDMG|2DUR	12DUR|37RCR|46VULN|56CGEN|6BPWR|8LEGI|9aCDMG
