0	Index      	 *	Score 	Summary	Detail	
1	52151 31261	 * 	279.46	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	1ZMB|25VULN|3FEWX|4TBNT|6MLV|7aRCR|8SPLJET|9ASPD
2	12362 65231	 * 	272.09	DCR|DCR|3VULN	14aVULN|2BBNT|346LWND|4BPWR|5DUST|7LIT|89RCR
3	13651 43171	   	271.79	DCR|DCR|3VULN	168VULN|2LWND|3ERES|4MBVNT|5BBNT|7aRCR|9SNIFST
4	12351 31211	   	265.96	DCR|DCR|2VULN|1MLV	15VULN|2BBNT|3LWND|4AAC|6MLV|7aRCR|8SPLJET|9NUKE
5	35643 14412	   	265.71	DCR|DCR|2VULN|1MLV|1SELL	1CGEN|2BBNT|3MBVNT|4SELL|5MLV|69RCR|7MULHEA|8aVULN
6	52151 31211	   	265.71	DCR|DCR|2VULN|1MLV|1ZMB	1ZMB|25VULN|3FEWX|4TBNT|6MLV|7aRCR|8SPLJET|9NUKE
7	52451 31211	   	265.61	DCR|DCR|2VULN|1MLV|1ZMB	1ZMB|25VULN|3DUST|4TBNT|6MLV|7aRCR|8SPLJET|9NUKE
8	13253 34653	   	265.51	DCR|DCR|1VULN|1MLV|1AART|1RPLT	1VULN|2LWND|3MLV|4MBVNT|5DUR|6aRCR|7RPLT|8AART|9AIRHEA
9	14231 31261	   	265.04	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1SELL	1VULN|2LHND|3MLV|4SELL|5BBNT|6CDMG|7aRCR|8SPLJET|9ASPD
10	25631 31261	   	265.04	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1SELL	1SELL|2VULN|3TBNT|4BEXP|5CDMG|6MLV|7aRCR|8SPLJET|9ASPD
11	16231 31261	   	264.94	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1SELL	1VULN|2LEGI|3MLV|4SELL|5BBNT|6CDMG|7aRCR|8SPLJET|9ASPD
12	12243 33236	 * 	261.60	DCR|4VULN|2DMG|2CDMG	1459VULN|2BBNT|34BASHEA|49BPWR|69CDMG|7DMSP|89DMG|aRCR
13	25651 31211	   	259.59	DCR|DCR|1VULN|1MLV|1CDMG|1SELL	1SELL|2VULN|3TBNT|4DUR|5CDMG|6MLV|7aRCR|8SPLJET|9NUKE
14	26622 16311	 * 	258.68	DCR|4VULN|3ASPD|1MLV|2SELL	15SELL|2AAC|3679VULN|467ASPD|67BPWR|8RCR|aMLV
15	12133 12553	   	258.19	DCR|DCR|2VULN|1AART	1aVULN|2BBNT|3LIT|4BEXP|5AAC|6ERES|78RCR|9AART
