0	Index      	 *	Score 	Summary	Detail	
1	11234 12335	 * 	284.64	DCR|DCR|2VULN|1MLV|1CDMG|1AART	1SNITOX|24VULN|3MLV|5AART|6CDMG|7LIT|8aRCR|9RMIN
2	11214 12335	 * 	274.05	DCR|DCR|2MLV|1VULN|1CDMG|1AART	1SNITOX|2VULN|34MLV|5AART|6CDMG|7LIT|8aRCR|9RMIN
3	43613 23125	 * 	273.52	DCR|DCR|2VULN|1DMG|1RPLT	16VULN|2RPLT|3LIT|4CGEN|5DMG|7RCVC|8DLOT|9aRCR
4	43633 23125	   	273.42	DCR|DCR|2VULN|1DMG|1RPLT	16VULN|2RPLT|3LIT|4AME|5DMG|7RCVC|8DLOT|9aRCR
5	51251 53122	 * 	270.36	DCR|4VULN|3MLV|2ASPD	17aMLV|2LWND|3457VULN|67ASPD|7BPWR|8CGEN|9RCR
6	52253 62212	   	269.53	DCR|DCR|2VULN|1MLV	1MLV|2FEWX|34VULN|5MDPS|6DUR|7ERES|8aRCR|9LIT
7	41261 25212	   	269.43	DCR|DCR|2VULN|1MLV	13VULN|2ERES|4MLV|5DUR|6DUST|7MDPS|8aRCR|9LIT
8	32151 25151	   	269.27	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1AART|2BELT|3DMG|4DUR|5MGNSTR|68RCR|7CDMG|9FEWX|aVULN
9	32151 25131	   	269.17	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1AART|2BELT|3DMG|4DUR|5MGNSTR|68RCR|7CDMG|9LEGI|aVULN
10	35232 33215	 * 	268.93	DCR|DCR|2DMG|2ASPD|2CDMG|1AART|1ZMB|1SELL	1AART|2SELL|3BBNT|48ASPD|58DMG|6aRCR|78CDMG|8BPWR|9ZMB
11	36233 42335	   	267.01	DCR|DCR|2VULN|1CDMG|1AART	1AART|2LSRREG|3CDMG|4ERES|57VULN|6LIT|8aRCR|9RMIN
12	32153 13324	 * 	266.67	ACR|DCR|2VULN|1DMG|1ASPD|1AART	1AART|2BELT|3DMG|4DUR|57RCR|6ASPD|8LWND|9aVULN
13	32221 53224	   	266.67	ACR|DCR|2VULN|1DMG|1ASPD|1AART	1AART|2BELT|3LHND|4DUR|57RCR|6ASPD|8DMG|9aVULN
14	32331 53224	   	266.67	ACR|DCR|2VULN|1DMG|1ASPD|1AART	1AART|2BELT|3DUR|4BEXP|57RCR|6ASPD|8DMG|9aVULN
15	32153 13424	   	266.57	ACR|DCR|2VULN|1DMG|1ASPD|1AART	1AART|2BELT|3DMG|4DUR|57RCR|6ASPD|8DUST|9aVULN
16	42622 36212	 * 	265.84	DCR|DCR|3VULN	157VULN|2FEWX|3MDPS|4BEXP|6DUST|8aRCR|9LIT
17	26235 32331	   	265.65	DCR|DCR|2VULN|1CDMG	1DUR|2NUKE|39VULN|4CDMG|5MGNSTR|6BBNT|7LWND|8aRCR
18	26235 35331	   	265.65	DCR|DCR|2VULN|1CDMG	1DUR|2NUKE|39VULN|4CDMG|5MGNSTR|6BBNT|7FEWX|8aRCR
19	45131 52311	 * 	265.65	DCR|DCR|1VULN|2ASPD|1CDMG	1VULN|29ASPD|3CDMG|4TBNT|5DUR|6VENICY|7LWND|8aRCR
20	54313 32116	 * 	264.80	DCR|DCR|3MLV|1VULN	128MLV|2BPWR|3VULN|4RCVC|5AME|6aRCR|7CGEN|9LIT
21	32221 53524	   	264.14	ACR|DCR|2VULN|1MLV|1ASPD|1AART	1AART|2BELT|3LHND|4DUR|57RCR|6ASPD|8MLV|9aVULN
22	24152 34233	 * 	264.12	DCR|4VULN|3MLV|3DUR	16aDUR|2DMSP|3DUST|489aVULN|56aMLV|6aBPWR|7RCR
23	25152 34233	   	264.12	DCR|4VULN|3MLV|3DUR	16aDUR|2RCVC|3DUST|489aVULN|56aMLV|6aBPWR|7RCR
24	11115 24233	   	261.66	DCR|DCR|2VULN|1AART	1SNITOX|24VULN|3BBNT|5SNIFST|6DUR|7aRCR|8FEWX|9AART
25	11115 24433	   	261.66	DCR|DCR|2VULN|1AART	1SNITOX|24VULN|3BBNT|5SNIFST|6DUR|7aRCR|8LWND|9AART
26	51253 12212	   	261.23	DCR|DCR|2VULN|1MLV	1MLV|2LWND|34VULN|5MDPS|6LHND|7ERES|8aRCR|9LIT
