0	Index      	 *	Score 	Summary	Detail	
1	13333 62284	 * 	291.20	DCR|DCR|2DMG|1VULN|2MLV|1ZMB	19MLV|29LWND|3RCVC|4ZMB|5VULN|6aRCR|7MBVNT|89DMG|9BPWR
2	62354 22244	 * 	279.76	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1SELL	1RCVC|2CDMG|3SELL|4DMG|5VULN|6MLV|7aRCR|8MBVNT|9DUR
3	13333 62264	 * 	275.39	DCR|DCR|2DMG|1VULN|1MLV|1ZMB	1MLV|2LWND|3RCVC|4ZMB|5VULN|6aRCR|7MBVNT|89DMG
4	62312 55244	 * 	273.34	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1SELL	1RCVC|2CDMG|3SELL|4ASPD|5MLV|6aRCR|7VULN|8MBVNT|9DUR
5	62314 22244	 * 	273.34	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1SELL	1RCVC|2CDMG|3SELL|4ASPD|5VULN|6MLV|7aRCR|8MBVNT|9DUR
6	62354 22234	 * 	271.45	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1SELL	1RCVC|2CDMG|3SELL|4DMG|5VULN|6MLV|7aRCR|8MBVNT|9BEXP
7	21411 18331	 * 	265.96	DCR|DCR|2VULN|1MLV	1VENTOX|28CGEN|3RCVC|4MLV|5MBVNT|6aVULN|79RCR
8	31411 18331	   	265.96	DCR|DCR|2VULN|1MLV	1CANARM|28CGEN|3RCVC|4MLV|5MBVNT|6aVULN|79RCR
9	11446 11133	   	265.71	DCR|DCR|2VULN|1MLV|1SELL	1MLV|2BEXP|3SELL|4SPLARM|5aVULN|6DUST|7AAC|89RCR
10	12446 21133	   	265.71	DCR|DCR|2VULN|1MLV|1SELL	1MLV|2DUST|3SELL|4SPLARM|5aVULN|6LWND|7AAC|89RCR
11	62312 55234	   	265.04	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1SELL	1RCVC|2CDMG|3SELL|4ASPD|5MLV|6aRCR|7VULN|8MBVNT|9BEXP
12	62314 22234	   	265.04	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1SELL	1RCVC|2CDMG|3SELL|4ASPD|5VULN|6MLV|7aRCR|8MBVNT|9BEXP
13	21611 53433	   	262.18	DCR|DCR|2VULN|1CDMG	1VENTOX|2CGEN|3AAC|4CDMG|5BEXP|69RCR|7aVULN|8LHND
14	31611 53433	   	262.18	DCR|DCR|2VULN|1CDMG	1CANARM|2CGEN|3AAC|4CDMG|5BEXP|69RCR|7aVULN|8LHND
15	62354 12244	 * 	262.13	DCR|DCR|1VULN|1DMG|1CDMG|1SELL	1RCVC|2CDMG|3SELL|4DMG|5VULN|6ERES|7aRCR|8MBVNT|9DUR
16	23611 53433	   	262.08	DCR|DCR|2VULN|1CDMG	1VENTOX|2ERES|3AAC|4CDMG|5BEXP|69RCR|7aVULN|8LHND
17	33611 53433	   	262.08	DCR|DCR|2VULN|1CDMG	1CANARM|2ERES|3AAC|4CDMG|5BEXP|69RCR|7aVULN|8LHND
18	66133 61133	   	262.08	DCR|DCR|2VULN|1CDMG	1RCVC|2CANTOX|3CDMG|4CGEN|5aVULN|6MDPS|7AAC|89RCR
19	66133 63133	   	261.83	DCR|DCR|2VULN|1CDMG|1ZMB	1RCVC|2CANTOX|3CDMG|4CGEN|5aVULN|6MDPS|7ZMB|89RCR
