0	Index      	 *	Score 	Summary	Detail	
1	46334 23322	 * 	290.50	DCR|DCR|1VULN|2MLV|2RPLT|1CDMG	1CDMG|23RPLT|4TBNT|57MLV|68RCR|9DUR|aVULN
2	31322 35131	 * 	285.77	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1FEWX|2TLV|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aAART
3	35322 35131	   	285.77	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1FEWX|2CGEN|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aAART
4	34322 35131	   	285.67	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1FEWX|2AME|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aAART
5	63322 35131	   	285.67	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1TLV|2DUST|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUR|aAART
6	26342 35131	   	285.57	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1ERES|2VULN|3RPLT|4DUST|5DMG|6MLV|79RCR|8DUR|aAART
7	51513 24631	 * 	282.79	DCR|DCR|2VULN|2ASPD|1SELL	1DMSP|27VULN|3SELL|4MBVNT|57ASPD|6TBNT|7BPWR|89RCR|aDUR
8	51513 44631	 * 	282.79	DCR|DCR|2VULN|2ASPD|1SELL	1DMSP|27VULN|3SELL|4MBVNT|57ASPD|6BBNT|7BPWR|89RCR|aDUR
9	31322 35136	   	282.66	DCR|DCR|1VULN|1DMG|1MLV|2DUR|1RPLT	1FEWX|2TLV|3RPLT|4VULN|5DMG|6MLV|79RCR|8aDUR
10	63322 35136	   	282.56	DCR|DCR|1VULN|1DMG|1MLV|2DUR|1RPLT	1TLV|2DUST|3RPLT|4VULN|5DMG|6MLV|79RCR|8aDUR
11	26312 25131	   	279.16	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1RPLT	1ERES|2VULN|3RPLT|4ASPD|5MLV|6DUST|79RCR|8DUR|aAART
12	35322 35631	   	277.37	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1FEWX|2CGEN|3RPLT|4VULN|5DMG|6MLV|79RCR|8DUST|aAART
13	63322 35331	   	277.37	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1TLV|2DUST|3RPLT|4VULN|5DMG|6MLV|79RCR|8BEXP|aAART
14	26342 35331	   	277.27	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1ERES|2VULN|3RPLT|4DUST|5DMG|6MLV|79RCR|8BEXP|aAART
15	51223 34424	 * 	276.90	DCR|DCR|2VULN|1DMG	1DMSP|26VULN|3LWND|4DMG|5MBVNT|7DUR|8aRCR|9RCVC
