0	Index      	 *	Score 	Summary	Detail	
1	52132 22163	 * 	290.68	DCR|DCR|2VULN|2DUR|1ASPD|1CDMG	159ERES|2CDMG|39DUR|4FEWX|6aRCR|7ASPD|89VULN|9BPWR
2	51612 21163	 * 	285.83	DCR|DCR|2VULN|2DMG|1SELL	139ERES|29VULN|4RCVC|5SELL|6aRCR|79DMG|8MDPS|9BPWR
3	31236 41511	 * 	282.29	DCR|DCR|1VULN|1DMG|2CDMG|1ASPD|1SELL	1FLTARM|25CDMG|3DUR|4VULN|6ASPD|7aRCR|8SELL|9DMG
4	21236 41511	 * 	282.19	DCR|DCR|1VULN|1DMG|2CDMG|1ASPD|1SELL	1BLAICY|25CDMG|3DUR|4VULN|6ASPD|7aRCR|8SELL|9DMG
5	31232 61511	 * 	275.98	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1SELL	1FLTARM|2CDMG|3DUR|4VULN|5ASPD|6RCVC|7aRCR|8SELL|9DMG
6	31235 61511	 * 	275.98	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1SELL	1FLTARM|2CDMG|3DUR|4VULN|5DMG|6RCVC|7aRCR|8SELL|9ASPD
7	32326 16113	   	275.92	DCR|DCR|2VULN|1MLV|1AART	17FLTARM|2MDPS|3LHND|47VULN|57BEXP|69RCR|7BPWR|8AART|aMLV
8	32526 16113	   	275.92	DCR|DCR|2VULN|1MLV|1AART	17FLTARM|2MDPS|3LWND|47VULN|57BEXP|69RCR|7BPWR|8AART|aMLV
9	21232 61511	 * 	275.88	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1SELL	1BLAICY|2CDMG|3DUR|4VULN|5ASPD|6RCVC|7aRCR|8SELL|9DMG
10	21235 61511	 * 	275.88	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1SELL	1BLAICY|2CDMG|3DUR|4VULN|5DMG|6RCVC|7aRCR|8SELL|9ASPD
11	31232 41511	 * 	275.88	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1SELL	1FLTARM|2CDMG|3DUR|4VULN|5ASPD|6AELOIC|7aRCR|8SELL|9DMG
12	31235 41511	 * 	275.88	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1SELL	1FLTARM|2CDMG|3DUR|4VULN|5DMG|6AELOIC|7aRCR|8SELL|9ASPD
13	52332 22163	   	275.83	DCR|DCR|2VULN|1ASPD|1CDMG	159ERES|2CDMG|39BEXP|4FEWX|6aRCR|7ASPD|89VULN|9BPWR
14	12265 12363	   	275.83	DCR|DCR|2VULN|1CDMG|1ASPD	1CGEN|2CDMG|3BBNT|48VULN|5ERES|6ASPD|7aRCR|9TBNT
15	21232 41511	 * 	275.78	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1SELL	1BLAICY|2CDMG|3DUR|4VULN|5ASPD|6AELOIC|7aRCR|8SELL|9DMG
16	21235 41511	 * 	275.78	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1SELL	1BLAICY|2CDMG|3DUR|4VULN|5DMG|6AELOIC|7aRCR|8SELL|9ASPD
17	22326 16113	   	275.72	DCR|DCR|2VULN|1MLV|1AART	17BLAICY|2MDPS|3LHND|47VULN|57BEXP|69RCR|7BPWR|8AART|aMLV
18	22526 16113	   	275.72	DCR|DCR|2VULN|1MLV|1AART	17BLAICY|2MDPS|3LWND|47VULN|57BEXP|69RCR|7BPWR|8AART|aMLV
19	32326 15113	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1FLTARM|2MDPS|3LHND|47VULN|5BEXP|69RCR|8AART|aMLV
20	32526 15113	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1FLTARM|2MDPS|3LWND|47VULN|5BEXP|69RCR|8AART|aMLV
21	22326 15113	   	275.62	DCR|DCR|2VULN|1MLV|1AART	1BLAICY|2MDPS|3LHND|47VULN|5BEXP|69RCR|8AART|aMLV
22	22526 15113	   	275.62	DCR|DCR|2VULN|1MLV|1AART	1BLAICY|2MDPS|3LWND|47VULN|5BEXP|69RCR|8AART|aMLV
23	51132 23332	   	275.62	DCR|DCR|2VULN|1MLV|1RPLT	1ERES|28VULN|3LHND|4LWND|5RPLT|69RCR|7AME|aMLV
