0	Index      	 *	Score 	Summary	Detail	
1	21132 46352	 * 	305.37	DCR|DCR|1VULN|2MLV|1DMG|1CDMG	1FEWX|2DMG|3DUR|4VULN|5CDMG|67MLV|8RPLT|9aRCR
2	36433 11351	 * 	300.21	DCR|DCR|2VULN|2CDMG|1ASPD	15CDMG|2ASPD|3DUR|45VULN|5BPWR|6BBNT|7BASICY|8AART|9aRCR
3	21233 11351	   	292.00	DCR|DCR|2VULN|1DMG|1CDMG	15FEWX|2DMG|3CDMG|45VULN|5BPWR|6BBNT|7BASICY|8AART|9aRCR
4	21233 52352	   	292.00	DCR|DCR|2VULN|1DMG|1CDMG	15FEWX|2DMG|3CDMG|45VULN|5BPWR|6DUST|7CGEN|8RPLT|9aRCR
5	54342 41714	 * 	291.95	DCR|DCR|3VULN|1DMG	1DMSP|2MBVNT|3ERES|458VULN|6DMG|7aRCR|9LWND
6	33142 33252	   	289.76	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1CDMG|2CGEN|3TLV|4RPLT|5VULN|6MLV|7DUR|8DMG|9aRCR
7	21136 22352	   	286.51	DCR|DCR|2VULN|1DMG|1SELL	15FEWX|2DMG|3DUR|45VULN|5BPWR|6SELL|7CGEN|8RPLT|9aRCR
8	36532 11351	   	285.49	DCR|DCR|2VULN|1ASPD|1CDMG	1CDMG|2ASPD|34VULN|5LHND|6BBNT|7BASICY|8AART|9aRCR
9	33536 13352	   	285.49	DCR|DCR|2VULN|1ASPD|1CDMG	1CDMG|2CGEN|34VULN|5ASPD|6DUST|7LHND|8RPLT|9aRCR
10	32322 11446	 * 	285.11	ACR|DCR|2VULN|3CDMG|1DMG	127CDMG|37FLTFST|48RCR|57VULN|6RPLT|7BPWR|9DMG|aAART
11	32322 11456	   	282.58	ACR|DCR|2VULN|3CDMG|1MLV	127CDMG|37FLTFST|48RCR|57VULN|6RPLT|7BPWR|9MLV|aAART
12	22222 34352	   	281.46	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1FEWX|2TLV|3DMG|4CGEN|5VULN|6MLV|7CDMG|8RPLT|9aRCR
13	33142 31252	   	281.46	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1CDMG|2CGEN|3TLV|4RPLT|5VULN|6MLV|7BEXP|8DMG|9aRCR
14	33142 35252	   	281.46	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1CDMG|2CGEN|3TLV|4RPLT|5VULN|6MLV|7FEWX|8DMG|9aRCR
15	21232 45352	   	281.26	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1FEWX|2DMG|3CDMG|4VULN|57DUST|6MLV|8RPLT|9aRCR
16	21132 22352	   	278.78	DCR|DCR|1VULN|1DMG|2DUR|1CDMG	1FEWX|2DMG|36DUR|4VULN|5CDMG|7CGEN|8RPLT|9aRCR
17	21234 22352	   	278.78	DCR|DCR|1VULN|1DMG|2DUR|1CDMG	1FEWX|2DMG|3CDMG|4VULN|56DUR|7CGEN|8RPLT|9aRCR
18	21512 22352	   	278.78	DCR|DCR|1VULN|1DMG|2DUR|1CDMG	1FEWX|2DMG|3VULN|46DUR|5CDMG|7CGEN|8RPLT|9aRCR
19	21132 32352	   	278.54	DCR|DCR|1VULN|1DMG|2CDMG	1FEWX|2DMG|3DUR|4VULN|56CDMG|7CGEN|8RPLT|9aRCR
20	21234 32352	   	278.54	DCR|DCR|1VULN|1DMG|2CDMG	1FEWX|2DMG|36CDMG|4VULN|5DUR|7CGEN|8RPLT|9aRCR
21	21512 32352	   	278.54	DCR|DCR|1VULN|1DMG|2CDMG	1FEWX|2DMG|3VULN|4DUR|56CDMG|7CGEN|8RPLT|9aRCR
22	22512 16252	   	277.43	DCR|DCR|1VULN|1DMG|2RPLT|1CDMG	1FEWX|2TLV|3VULN|4DUR|5CDMG|67RPLT|8DMG|9aRCR
23	33433 16252	   	277.43	DCR|DCR|1VULN|1DMG|2RPLT|1CDMG	1CDMG|2CGEN|3DUR|4VULN|5LWND|67RPLT|8DMG|9aRCR
24	32322 11441	   	275.45	ACR|DCR|2VULN|3CDMG|1DMG	127CDMG|37FLTFST|48RCR|57VULN|6RPLT|7BPWR|9DMG|aBEXP
25	32322 11442	   	275.45	ACR|DCR|2VULN|3CDMG|1DMG	127CDMG|37FLTFST|48RCR|57VULN|6RPLT|7BPWR|9DMG|aRCVC
26	32322 11444	   	275.45	ACR|DCR|2VULN|3CDMG|1DMG	127CDMG|37FLTFST|48RCR|57VULN|6RPLT|7BPWR|9DMG|aFEWX
27	32322 11445	   	275.45	ACR|DCR|2VULN|3CDMG|1DMG	127CDMG|37FLTFST|48RCR|57VULN|6RPLT|7BPWR|9DMG|aLWND
28	32622 11441	   	275.45	ACR|DCR|2VULN|3CDMG|1DMG	127CDMG|37SNITOX|48RCR|57VULN|6RPLT|7BPWR|9DMG|aBEXP
29	32622 11442	   	275.45	ACR|DCR|2VULN|3CDMG|1DMG	127CDMG|37SNITOX|48RCR|57VULN|6RPLT|7BPWR|9DMG|aRCVC
