0	Index      	 *	Score 	Summary	Detail	
1	35463 13324	 * 	272.07	DCR|DCR|2VULN|1DMG	1SPLARM|2DUR|3BEXP|4DMG|5LIT|6MBVNT|78RCR|9aVULN
2	21311 33366	 * 	266.04	DCR|DCR|3VULN	1DMSP|248VULN|3AAC|5LHND|6BBNT|7FLTARM|9aRCR
3	21312 13366	   	266.04	DCR|DCR|3VULN	1DMSP|248VULN|3AAC|5TBNT|6LHND|7FLTARM|9aRCR
4	21311 32366	   	265.94	DCR|DCR|3VULN	1DMSP|248VULN|3AAC|5LHND|6BBNT|7CANSTR|9aRCR
5	21312 12366	   	265.94	DCR|DCR|3VULN	1DMSP|248VULN|3AAC|5TBNT|6LHND|7CANSTR|9aRCR
6	35463 13334	 * 	263.45	DCR|DCR|2DMG|1VULN	1SPLARM|2DUR|3BEXP|49DMG|5LIT|6MBVNT|78RCR|aVULN
7	35463 13343	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1SPLARM|2DUR|3BEXP|4DMG|5LIT|6MBVNT|78RCR|9MLV|aVULN
8	33221 51256	   	261.23	DCR|DCR|2VULN|1MLV	1SPLARM|2MLV|3ERES|45AAC|6aRCR|7BEXP|89VULN
9	35463 13323	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1SPLARM|2DUR|3BEXP|4DMG|5LIT|6MBVNT|78RCR|9VULN|aASPD
10	32114 63226	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1SPLARM|2ASPD|3DMG|4DUR|5LIT|6ERES|7BEXP|8VULN|9aRCR
11	31211 22451	   	257.35	DCR|DCR|2VULN|1CDMG	1SPLARM|2MDPS|3CGEN|4LHND|5FEWX|6CDMG|79RCR|8aVULN
12	41211 22451	   	257.35	DCR|DCR|2VULN|1CDMG	1LSRREG|2MDPS|3CGEN|4LHND|5FEWX|6CDMG|79RCR|8aVULN
13	31151 22451	   	257.25	DCR|DCR|2VULN|1CDMG	1SPLARM|2MDPS|3DUST|4CGEN|5FEWX|6CDMG|79RCR|8aVULN
14	31141 22451	   	257.15	DCR|DCR|2VULN|1CDMG	1SPLARM|2MDPS|3DUST|4AME|5FEWX|6CDMG|79RCR|8aVULN
