0	Index      	 *	Score 	Summary	Detail	
1	23133 54261	 * 	275.82	DCR|DCR|2VULN|1MLV|1AART	1FEWX|2BELT|3AART|4TLV|5MLV|68RCR|7BBNT|9aVULN
2	41133 54211	   	269.70	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1BELT|2DUR|3AART|4TLV|5MLV|68RCR|7BBNT|9CDMG|aVULN
3	41111 36511	   	269.50	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1BELT|2DUR|3AART|4VULN|5MLV|6MBVNT|79RCR|8MDPS|aCDMG
4	23111 36515	 * 	263.15	DCR|DCR|1VULN|2MLV|1AART	1FEWX|2BELT|3AART|4VULN|5aMLV|6MBVNT|79RCR|8MDPS
5	23133 54211	   	261.39	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1FEWX|2BELT|3AART|4TLV|5MLV|68RCR|7BBNT|9CDMG|aVULN
6	23111 36511	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1FEWX|2BELT|3AART|4VULN|5MLV|6MBVNT|79RCR|8MDPS|aCDMG
7	43533 43331	 * 	256.48	DCR|2VULN|3DMG|2MLV|1RPLT	1BELT|2RPLT|39VULN|4DUST|59aDMG|69MLV|7DMSP|8RCR|9BPWR
8	41133 54231	   	256.05	DCR|DCR|1VULN|1MLV|1AART	1BELT|2DUR|3AART|4TLV|5MLV|68RCR|7BBNT|9LWND|aVULN
9	41111 36512	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1BELT|2DUR|3AART|4VULN|5MLV|6MBVNT|79RCR|8MDPS|aLIT
10	41111 36513	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1BELT|2DUR|3AART|4VULN|5MLV|6MBVNT|79RCR|8MDPS|aBBNT
11	41111 36514	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1BELT|2DUR|3AART|4VULN|5MLV|6MBVNT|79RCR|8MDPS|aLHND
12	41131 36511	   	251.97	DCR|DCR|1VULN|1CDMG|1AART	1BELT|2DUR|3AART|4TLV|5VULN|6MBVNT|79RCR|8MDPS|aCDMG
13	43533 43333	   	250.49	DCR|2VULN|2DMG|2MLV|1AART|1RPLT	1BELT|2RPLT|39VULN|4DUST|59DMG|69MLV|7DMSP|8RCR|9BPWR|aAART
14	43533 43332	   	249.14	DCR|2VULN|2DMG|2MLV|1RPLT	1BELT|2RPLT|39VULN|4DUST|59DMG|69MLV|7DMSP|8RCR|9BPWR|aDUR
15	33366 16122	   	248.38	DCR|DCR|2VULN|1ZMB	1ZMB|2LSRICY|3LIT|46VULN|5LWND|7aRCR|8BBNT|9TBNT
16	23133 54231	   	247.74	DCR|DCR|1VULN|1MLV|1AART	1FEWX|2BELT|3AART|4TLV|5MLV|68RCR|7BBNT|9LWND|aVULN
17	12342 51341	   	247.64	DCR|DCR|1VULN|1MLV|1AART	1LEGI|28LWND|3BBNT|4AART|5VULN|6CGEN|79RCR|aMLV
18	23133 54262	   	247.64	DCR|DCR|1VULN|1MLV|1AART	1FEWX|2BELT|3AART|4TLV|5MLV|68RCR|7BBNT|9VULN|aAME
19	23133 54263	   	247.64	DCR|DCR|1VULN|1MLV|1AART	1FEWX|2BELT|3AART|4TLV|5MLV|68RCR|7BBNT|9VULN|aMBVNT
20	23111 36512	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1FEWX|2BELT|3AART|4VULN|5MLV|6MBVNT|79RCR|8MDPS|aLIT
21	23111 36513	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1FEWX|2BELT|3AART|4VULN|5MLV|6MBVNT|79RCR|8MDPS|aBBNT
22	23111 36514	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1FEWX|2BELT|3AART|4VULN|5MLV|6MBVNT|79RCR|8MDPS|aLHND
23	23111 36516	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1aFEWX|2BELT|3AART|4VULN|5MLV|6MBVNT|79RCR|8MDPS
24	23111 36517	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1FEWX|2BELT|3AART|4VULN|5MLV|6MBVNT|79RCR|8MDPS|aRCVC
25	23111 36518	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1FEWX|2BELT|3AART|4VULN|5MLV|6MBVNT|79RCR|8MDPS|aBEXP
26	23131 36515	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1FEWX|2BELT|3AART|4TLV|5VULN|6MBVNT|79RCR|8MDPS|aMLV
27	43125 13231	 * 	246.51	ACR|3VULN|3DMG|2DUR|1ASPD|1RPLT	1BELT|2RPLT|39DUR|4ASPD|5RCR|689VULN|79aDMG|9BPWR
28	25214 23158	   	246.29	DCR|DCR|1VULN|1MLV	1FEWX|2MLV|3MBVNT|4DUR|5VULN|6aRCR|7BBNT|8TBNT|9RMIN
