0	Index      	 *	Score 	Summary	Detail	
1	66213 21341	 * 	314.70	橙3易伤2等级3伤害	17等级2双倍秒伤3最后敌人47a易伤579伤害6核7序列升级8寒冰对甲
2	66213 21163	   	307.76	橙3易伤2等级3伤害	17等级2双倍秒伤3最后敌人47a易伤579伤害6核7序列升级8雷电
3	66213 21241	   	307.66	橙3易伤2等级3伤害	17等级2双倍秒伤3最后敌人47a易伤579伤害6核7序列升级8导弹对毒
4	66213 21343	   	296.94	橙2等级2易伤3伤害	17等级2双倍秒伤3最后敌人47易伤579伤害6核7序列升级8寒冰对甲a喷火对甲
5	66213 21324	   	294.41	橙2等级2易伤2伤害1毒气减费	17等级2双倍秒伤3最后敌人47易伤57伤害6核7序列升级8寒冰对甲9敌人爆炸a毒气减费
6	66213 21132	   	292.10	橙3易伤2等级2伤害	17等级2双倍秒伤3最后敌人479易伤57伤害6核7序列升级8雷电a技能点
7	66213 21133	   	292.10	橙3易伤2等级2伤害	17等级2双倍秒伤3最后敌人479易伤57伤害6核7序列升级8雷电a金币生成
8	66213 21134	   	292.10	橙3易伤2等级2伤害	17等级2双倍秒伤3最后敌人479易伤57伤害6核7序列升级8a雷电
9	66213 21135	   	292.10	橙3易伤2等级2伤害	17等级2双倍秒伤3最后敌人479易伤57伤害6核7序列升级8雷电a立即金币
10	66213 21122	   	292.00	橙3易伤2等级2伤害	17等级2双倍秒伤3最后敌人47a易伤57伤害6核7序列升级8雷电9挖尘
11	66213 21131	   	292.00	橙3易伤2等级2伤害	17等级2双倍秒伤3最后敌人479易伤57伤害6核7序列升级8雷电a加农对毒
12	66213 21136	   	292.00	橙3易伤2等级2伤害1卖塔	17等级2双倍秒伤3最后敌人479易伤57伤害6核7序列升级8雷电a卖塔
13	66213 21622	   	292.00	橙3易伤2等级2伤害	17等级2双倍秒伤3最后敌人47a易伤57伤害6核7序列升级8掉矿9平台
14	66213 21353	   	290.95	橙2等级2易伤2伤害	17等级2双倍秒伤3最后敌人47易伤57伤害6核7序列升级8寒冰对甲9随机技能a时间
15	66213 21162	   	290.00	橙2等级2易伤3伤害	17等级2双倍秒伤3最后敌人47易伤579伤害6核7序列升级8雷电a随机技能
16	66213 21342	   	290.00	橙2等级2易伤3伤害	17等级2双倍秒伤3最后敌人47易伤579伤害6核7序列升级8寒冰对甲a雷电
17	66213 21243	   	289.90	橙2等级2易伤3伤害	17等级2双倍秒伤3最后敌人47易伤579伤害6核7序列升级8导弹对毒a喷火对甲
18	61224 11313	 * 	288.67	橙橙1等级1易伤1毒气减费1攻速	1等级2攻速3技能4双倍秒伤5狙击对黄6毒气减费78核9时间a易伤
19	61226 11313	   	288.67	橙橙1等级1易伤1毒气减费1攻速	1等级2攻速3技能4双倍秒伤5散射对甲6毒气减费78核9时间a易伤
20	64322 61232	   	288.23	橙2等级2易伤1伤害1暴击1攻速1全技能	17等级27低血量敌人3全技能4伤害5最后敌人67易伤7序列升级8暴击9核a攻速
21	66213 21313	   	288.00	橙2等级2易伤2伤害1攻速	17等级2双倍秒伤3最后敌人47易伤57伤害6核7序列升级8寒冰对甲9立即金币a攻速
22	66213 21322	 * 	288.00	橙3等级2易伤2伤害	17a等级2双倍秒伤3最后敌人47易伤57伤害6核7序列升级8寒冰对甲9敌人爆炸
23	66213 21362	   	288.00	橙3等级2易伤2伤害	17a等级2双倍秒伤3最后敌人47易伤57伤害6核7序列升级8寒冰对甲9基地爆炸
24	66213 21333	   	287.90	橙2等级2易伤2伤害1攻速	17等级2双倍秒伤3最后敌人47易伤57伤害6核7序列升级8寒冰对甲9暴雪减费a攻速
25	66213 21224	   	287.37	橙2等级2易伤2伤害1毒气减费	17等级2双倍秒伤3最后敌人47易伤57伤害6核7序列升级8导弹对毒9敌人爆炸a毒气减费
