0	Index      	 *	Score 	Summary	Detail	
1	12153 23635	 * 	308.48	ACR|DCR|3VULN|2MLV|1DMG	1aLHND|2RAT|38aVULN|49RCR|5DMG|6AEBURN|7aMLV|aBPWR
2	12151 23635	   	298.04	ACR|DCR|2VULN|2MLV|3RAT|1DMG	1aLHND|25aRAT|38VULN|49RCR|6DMG|7aMLV|aBPWR
3	62352 26123	 * 	296.24	DCR|DCR|3MLV|1VULN	1RAT|2BBNT|347MLV|5LIT|6FEWX|89RCR|aVULN
4	62352 16123	   	296.14	DCR|DCR|3MLV|1VULN	1RAT|2BBNT|347MLV|5LIT|6BEXP|89RCR|aVULN
5	23243 54121	 * 	296.10	DCR|3VULN|3ASPD|1TLV|1MLV|1CDMG	1CDMG|259VULN|3BBNT|458ASPD|5BPWR|6TLV|7MLV|aRCR
6	12156 23631	   	292.50	ACR|DCR|3VULN|1MLV|1DMG	1LHND|2RAT|358VULN|49RCR|6DMG|7MLV|aAART
7	12133 23635	   	291.73	ACR|DCR|2VULN|2MLV|1DMG|2RAT	14aLHND|2aRAT|38VULN|59RCR|6DMG|7aMLV|aBPWR
8	12156 23335	   	291.73	ACR|DCR|2VULN|2MLV|1DMG|2RAT	1aLHND|2aRAT|35VULN|49RCR|6DMG|7aMLV|8RCVC|aBPWR
9	23151 15126	 * 	290.50	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1CDMG|2VULN|3DMG|4MDPS|5DUR|6FEWX|7aRCR|8RCVC|9TLV
10	11223 42311	 * 	285.05	DCR|3VULN|2MLV|2TLV	16LHND|29aVULN|38TLV|4AART|56MLV|6BPWR|7RCR
11	12153 23335	   	285.01	ACR|DCR|2VULN|2MLV|1DMG	1aLHND|2RAT|3aVULN|49RCR|5DMG|6AEBURN|7aMLV|8RCVC|aBPWR
12	11252 14265	 * 	284.66	DCR|DCR|2VULN|1TLV	1LHND|28VULN|3TLV|4MDPS|5DUR|6MBVNT|7aRCR|9LSRHEA
13	11223 12432	   	284.27	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	1LHND|26VULN|3TLV|4AART|59MLV|7RCR|8DMG|aAAC
14	43123 42263	   	284.27	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	16VULN|2ERES|3LWND|4AART|56MLV|6BPWR|7RCR|8AAC|9TLV|aDMG
15	12156 23135	   	284.19	ACR|DCR|3VULN|1MLV|1DMG	1aLHND|2RAT|35aVULN|49RCR|6DMG|7MLV|8aAEWIND|aBPWR
16	12156 23632	   	284.19	ACR|DCR|3VULN|1MLV|1DMG	1LHND|2RAT|358VULN|49RCR|6DMG|7MLV|aRPLT
17	12156 23633	   	284.19	ACR|DCR|3VULN|1MLV|1DMG	1LHND|2RAT|358VULN|49RCR|6DMG|7MLV|aFEWX
18	63432 12124	   	283.89	DCR|DCR|1VULN|1TLV|1DMG	1RAT|2TLV|3BBNT|4LIT|5VULN|6DUR|7FEWX|89RCR|aDMG
19	63531 31224	   	283.89	DCR|DCR|1VULN|1TLV|1DMG	1RAT|2TLV|3VULN|4LIT|5LWND|69RCR|7TBNT|8DUR|aDMG
20	63532 31224	   	283.79	DCR|DCR|1VULN|1TLV|1DMG	1RAT|2TLV|3VULN|4LIT|5DUST|69RCR|7TBNT|8DUR|aDMG
21	63432 11124	   	283.79	DCR|DCR|1VULN|1TLV|1DMG	1RAT|2TLV|3BBNT|4LIT|5VULN|6DUR|7DUST|89RCR|aDMG
22	11223 12433	   	283.63	DCR|2VULN|2MLV|1TLV|1DMG|1ASPD	1LHND|26VULN|3TLV|4AART|59MLV|7RCR|8DMG|aASPD
23	63432 32123	   	283.59	DCR|DCR|2VULN|1TLV	1RAT|2TLV|3BBNT|4LIT|5aVULN|6LWND|7FEWX|89RCR
