0	Index      	 *	Score 	Summary	Detail	
1	45131 32325	 * 	303.53	DCR|DCR|2TLV|2AAC|1MLV	1aTLV|23AAC|4MLV|5DUR|6NUKE|7RAT|89RCR
2	12146 13251	 * 	299.78	DCR|DCR|3MLV|1VULN	1MDPS|235MLV|3BPWR|4VULN|6aRCR|7LIT|8DUR|9BBNT
3	12146 13261	   	299.78	DCR|DCR|3MLV|1VULN	1MDPS|235MLV|3BPWR|4VULN|6aRCR|7LIT|8DUR|9TBNT
4	12146 13351	   	291.47	DCR|DCR|3MLV|1VULN	1MDPS|235MLV|3BPWR|4VULN|6aRCR|7LIT|8FEWX|9BBNT
5	12146 13361	   	291.47	DCR|DCR|3MLV|1VULN	1MDPS|235MLV|3BPWR|4VULN|6aRCR|7LIT|8FEWX|9TBNT
6	12233 22658	 * 	289.81	DCR|3VULN|2MLV|2DMG|1AAC	1MDPS|28MLV|3RAT|48aVULN|5MBVNT|6RCR|78DMG|8BPWR|9AAC
7	11333 23622	 * 	289.35	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2RAT|3MLV|4VULN|5MBVNT|69RCR|7LHND|8TLV|aDUR
8	12233 23622	   	289.35	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2MLV|3RAT|4VULN|5MBVNT|69RCR|7LHND|8TLV|aDUR
9	45131 32323	   	289.35	DCR|DCR|2AAC|1TLV|1MLV	1TLV|23AAC|4MLV|5DUR|6NUKE|7RAT|89RCR|aZMB
10	45131 32326	   	289.35	DCR|DCR|2AAC|1TLV|1MLV	1TLV|23AAC|4MLV|5DUR|6NUKE|7RAT|89RCR|aRCVC
11	11333 26622	   	289.25	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2RAT|3MLV|4VULN|5MBVNT|69RCR|7DUST|8TLV|aDUR
12	12233 26622	   	289.25	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2MLV|3RAT|4VULN|5MBVNT|69RCR|7DUST|8TLV|aDUR
13	45131 32321	   	289.25	DCR|DCR|2AAC|1TLV|1MLV	1TLV|23AAC|4MLV|5DUR|6NUKE|7RAT|89RCR|aFRZFST
14	45131 32322	   	289.25	DCR|DCR|2AAC|1TLV|1MLV	1TLV|23AAC|4MLV|5DUR|6NUKE|7RAT|89RCR|aDUST
15	45131 32324	   	289.25	DCR|DCR|2AAC|1TLV|1MLV	1TLV|23AAC|4MLV|5DUR|6NUKE|7RAT|89RCR|aERES
