0	Index      	 *	Score 	Summary	Detail	
1	52324 11421	 * 	331.52	ACR|DCR|3VULN|2DMG|1TLV|2ASPD|1SELL	17aVULN|2RPLT|37DMG|48RCR|5SELL|67ASPD|7BPWR|9TLV
2	51162 13132	 * 	327.73	DCR|4VULN|3MLV|2TLV	137aVULN|237MLV|37BPWR|4AME|5DUR|67TLV|8BEXP|9RCR
3	51162 13232	   	327.73	DCR|4VULN|3MLV|2TLV	137aVULN|237MLV|37BPWR|4AME|5DUR|67TLV|8DUST|9RCR
4	52324 11423	 * 	321.71	ACR|DCR|2VULN|2DMG|1TLV|2ASPD|1CDMG|1SELL	17VULN|2RPLT|37DMG|48RCR|5SELL|67ASPD|7BPWR|9TLV|aCDMG
5	52324 11422	 * 	307.96	ACR|DCR|2VULN|2DMG|1TLV|2ASPD|1SELL	17VULN|2RPLT|37DMG|48RCR|5SELL|67ASPD|7BPWR|9TLV|aDUST
6	51162 13131	   	307.58	DCR|3VULN|3MLV|2TLV	137VULN|237MLV|37BPWR|4AME|5DUR|67TLV|8BEXP|9RCR|aZMB
7	51162 13134	   	307.58	DCR|3VULN|3MLV|2TLV	137VULN|237MLV|37BPWR|4AME|5DUR|67TLV|8BEXP|9RCR|aFEWX
8	51162 13135	   	307.58	DCR|3VULN|3MLV|2TLV	137VULN|237MLV|37BPWR|4AME|5DUR|67TLV|8BEXP|9RCR|aRPLT
9	51162 13231	   	307.58	DCR|3VULN|3MLV|2TLV	137VULN|237MLV|37BPWR|4AME|5DUR|67TLV|8DUST|9RCR|aZMB
10	51162 13234	   	307.58	DCR|3VULN|3MLV|2TLV	137VULN|237MLV|37BPWR|4AME|5DUR|67TLV|8DUST|9RCR|aFEWX
11	51162 13235	   	307.58	DCR|3VULN|3MLV|2TLV	137VULN|237MLV|37BPWR|4AME|5DUR|67TLV|8DUST|9RCR|aRPLT
12	51162 13133	   	307.48	DCR|3VULN|3MLV|2TLV	137VULN|237MLV|37BPWR|4AME|5DUR|67TLV|8BEXP|9RCR|aLSRHEA
13	51162 13136	   	307.48	DCR|3VULN|3MLV|2TLV	137VULN|237MLV|37BPWR|4AME|5DUR|67TLV|8BEXP|9RCR|aAEWIND
14	51162 13233	   	307.48	DCR|3VULN|3MLV|2TLV	137VULN|237MLV|37BPWR|4AME|5DUR|67TLV|8DUST|9RCR|aLSRHEA
15	51162 13236	   	307.48	DCR|3VULN|3MLV|2TLV	137VULN|237MLV|37BPWR|4AME|5DUR|67TLV|8DUST|9RCR|aAEWIND
16	53335 35333	 * 	305.56	DCR|DCR|2DMG|1VULN|2ASPD|1CDMG	1VULN|25DMG|3RAT|4aASPD|68RCR|7FEWX|9CDMG
17	53335 35321	 * 	305.40	DCR|DCR|2VULN|2DMG|1ASPD	1aVULN|25DMG|3RAT|4ASPD|68RCR|79FEWX
