0	Index      	 *	Score 	Summary	Detail	
1	32231 22423	 * 	284.20	ACR|DCR|2VULN|1TLV|2ASPD|1CDMG	1aLHND|2RMIN|37RCR|4MDPS|5aASPD|6TLV|8CDMG|9aVULN|aBPWR
2	34231 22324	 * 	280.12	ACR|DCR|2DMG|1VULN|1TLV|2ASPD	1aLHND|2CGEN|37RCR|4MDPS|5aASPD|6TLV|8VULN|9aDMG|aBPWR
3	35231 22324	   	280.02	ACR|DCR|2DMG|1VULN|1TLV|2ASPD	1aLHND|2ERES|37RCR|4MDPS|5aASPD|6TLV|8VULN|9aDMG|aBPWR
4	41513 33136	 * 	276.28	DCR|2VULN|2MLV|3ASPD|1AAC	19MLV|279ASPD|3FEWX|4AEPOI|59VULN|6AART|8RCR|9BPWR|aAAC
5	41313 33136	   	276.18	DCR|2VULN|2MLV|3ASPD|1AAC	19MLV|279ASPD|3BEXP|4AEPOI|59VULN|6AART|8RCR|9BPWR|aAAC
6	21222 61421	 * 	275.32	DCR|5VULN|2MLV	1TBNT|25689VULN|3RAT|48LIT|78MLV|8BPWR|aRCR
7	34231 21152	 * 	273.95	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD	1LHND|2CGEN|39RCR|4MDPS|5ASPD|6TLV|7DMG|8MLV|aVULN
8	41513 33131	   	273.03	DCR|2VULN|2MLV|3ASPD|1CDMG	19MLV|279ASPD|3FEWX|4AEPOI|59VULN|6AART|8RCR|9BPWR|aCDMG
9	41313 33131	   	272.93	DCR|2VULN|2MLV|3ASPD|1CDMG	19MLV|279ASPD|3BEXP|4AEPOI|59VULN|6AART|8RCR|9BPWR|aCDMG
10	44512 11232	 * 	272.87	DCR|3VULN|3MLV|3DUR	128MLV|378VULN|468DUR|5RMIN|8BPWR|9LWND|aRCR
11	51345 21332	 * 	270.76	DCR|DCR|2TLV|1VULN	1MSLFST|2AETHUN|3MSLREG|49TLV|5VULN|6RPLT|7DUR|8aRCR
12	34231 22362	 * 	269.94	ACR|DCR|2VULN|2TLV|1ASPD	1LHND|2CGEN|37RCR|4MDPS|5ASPD|69TLV|8aVULN
13	41543 33133	 * 	269.72	DCR|3VULN|2MLV|2ASPD	19MLV|27ASPD|349FEWX|59aVULN|6AART|8RCR|9BPWR
14	12353 36143	 * 	269.21	DCR|3VULN|2TLV|1MLV|1AAC|1SELL	1SELL|2TBNT|367VULN|47TLV|5RCVC|7BPWR|8AAC|9RCR|aMLV
15	43631 51133	 * 	268.72	DCR|3MLV|2TLV|2ASPD|1AAC	169MLV|2CGEN|3AART|49ASPD|5LEGI|79TLV|8RCR|9BPWR|aAAC
16	42631 51133	   	268.62	DCR|3MLV|2TLV|2ASPD|1AAC	169MLV|2ERES|3AART|49ASPD|5LEGI|79TLV|8RCR|9BPWR|aAAC
17	32231 22364	 * 	268.07	ACR|DCR|2TLV|1VULN|1MLV|1ASPD	1LHND|2RMIN|37RCR|4MDPS|5ASPD|69TLV|8VULN|aMLV
18	34231 22364	   	268.07	ACR|DCR|2TLV|1VULN|1MLV|1ASPD	1LHND|2CGEN|37RCR|4MDPS|5ASPD|69TLV|8VULN|aMLV
19	35231 22364	   	267.97	ACR|DCR|2TLV|1VULN|1MLV|1ASPD	1LHND|2ERES|37RCR|4MDPS|5ASPD|69TLV|8VULN|aMLV
20	43323 36152	 * 	267.79	DCR|DCR|1VULN|1MLV|1AAC	1MLV|27CGEN|3AAC|4ERES|5VULN|6AART|8aRCR|9RPLT
21	43331 52152	   	267.79	DCR|DCR|1VULN|1MLV|1AAC	1MLV|2CGEN|3AAC|4VULN|5DMSP|6ERES|7AART|8aRCR|9RPLT
22	41513 33132	   	267.69	DCR|2VULN|2MLV|3ASPD	19MLV|279ASPD|3FEWX|4AEPOI|59VULN|6AART|8RCR|9BPWR|aDUR
23	43323 52152	   	267.69	DCR|DCR|1VULN|1MLV|1AAC	1MLV|2CGEN|3AAC|4ERES|5VULN|6AEFRZ|7AART|8aRCR|9RPLT
24	43333 52152	   	267.69	DCR|DCR|1VULN|1MLV|1AAC	1MLV|2CGEN|3AAC|4VULN|5AEPOI|6ERES|7AART|8aRCR|9RPLT
25	41313 33132	   	267.59	DCR|2VULN|2MLV|3ASPD	19MLV|279ASPD|3BEXP|4AEPOI|59VULN|6AART|8RCR|9BPWR|aDUR
26	32231 22443	   	267.54	ACR|DCR|1VULN|1TLV|1MLV|1ASPD|1CDMG	1LHND|2RMIN|37RCR|4MDPS|5ASPD|6TLV|8CDMG|9MLV|aVULN
27	34231 22443	   	267.54	ACR|DCR|1VULN|1TLV|1MLV|1ASPD|1CDMG	1LHND|2CGEN|37RCR|4MDPS|5ASPD|6TLV|8CDMG|9MLV|aVULN
28	35231 22443	   	267.44	ACR|DCR|1VULN|1TLV|1MLV|1ASPD|1CDMG	1LHND|2ERES|37RCR|4MDPS|5ASPD|6TLV|8CDMG|9MLV|aVULN
29	12351 15113	 * 	267.13	DCR|2VULN|2MLV|1TLV|1DMG|1SELL	1SELL|2TBNT|39VULN|4TLV|56MLV|7RCR|8DUR|aDMG
30	33231 52151	 * 	266.77	ACR|DCR|2VULN|1MLV|1AAC|1ASPD	1LHND|2AAC|39RCR|4MDPS|5ASPD|67VULN|8MLV|aCGEN
31	33231 52152	   	266.77	ACR|DCR|2VULN|1MLV|1AAC|1ASPD	1LHND|2AAC|39RCR|4MDPS|5ASPD|67VULN|8MLV|aFEWX
32	33231 52153	   	266.77	ACR|DCR|2VULN|1MLV|1AAC|1ASPD	1LHND|2AAC|39RCR|4MDPS|5ASPD|67VULN|8MLV|aZMB
33	33231 52154	   	266.77	ACR|DCR|2VULN|1MLV|1AAC|1ASPD	1LHND|2AAC|39RCR|4MDPS|5ASPD|67VULN|8MLV|aAME
34	33231 52156	   	266.77	ACR|DCR|2VULN|1MLV|1AAC|1ASPD	1LHND|2AAC|39RCR|4MDPS|5ASPD|67VULN|8MLV|aDMSP
35	32231 22321	   	265.34	ACR|DCR|2DMG|1VULN|1TLV|1ASPD	1LHND|2RMIN|37RCR|4MDPS|5ASPD|6TLV|8VULN|9aDMG
36	34231 22321	   	265.34	ACR|DCR|2DMG|1VULN|1TLV|1ASPD	1LHND|2CGEN|37RCR|4MDPS|5ASPD|6TLV|8VULN|9aDMG
37	35231 22321	   	265.24	ACR|DCR|2DMG|1VULN|1TLV|1ASPD	1LHND|2ERES|37RCR|4MDPS|5ASPD|6TLV|8VULN|9aDMG
38	33231 55152	 * 	264.03	ACR|DCR|3VULN|1AAC|1ASPD	1LHND|2AAC|39RCR|4MDPS|5ASPD|68aVULN|7CGEN
39	23122 24413	 * 	263.29	DCR|3MLV|3ASPD|2DMG|2DUR	1TBNT|28aMLV|3RPLT|4RCVC|58DMG|68aASPD|7RCR|8aBPWR|9aDUR
40	45431 33223	 * 	262.16	3VULN|3MLV|3DMG|2AAC|1ASPD	18aMLV|29AAC|38aVULN|4ASPD|5DMSP|6AEFBLL|78aDMG|8aBPWR
41	41452 31113	   	261.85	DCR|2VULN|2MLV|1AAC|1ASPD|2DUR	19MLV|2ASPD|37VULN|46DUR|5RAT|8AAC|aRCR
42	45431 33213	 * 	261.64	3VULN|3MLV|3DMG|2ASPD|1AAC	18aMLV|2AAC|38aVULN|49ASPD|5DMSP|6AEFBLL|78aDMG|8aBPWR
