0	Index      	 *	Score 	Summary	Detail	
1	43313 32366	 * 	313.45	DCR|3MLV|2VULN|1TLV|1DMG|1AAC|2DUR	17aMLV|2RPLT|3aDUR|4TLV|5DMG|6aVULN|8AAC|9RCR|aBPWR
2	43312 32366	   	309.64	DCR|3MLV|2VULN|1TLV|1AAC|1ASPD|2DUR	17aMLV|2RPLT|3aDUR|4TLV|5ASPD|6aVULN|8AAC|9RCR|aBPWR
3	43313 14521	 * 	309.28	DCR|DCR|2MLV|1TLV|1DMG|1AAC	16MLV|2RPLT|3DUR|4TLV|5DMG|78RCR|9AAC|aBBNT
4	43313 14523	   	309.28	DCR|DCR|2MLV|1TLV|1DMG|1AAC	16MLV|2RPLT|3DUR|4TLV|5DMG|78RCR|9AAC|aTBNT
5	43313 14522	   	309.18	DCR|DCR|2MLV|1TLV|1DMG|1AAC	16MLV|2RPLT|3DUR|4TLV|5DMG|78RCR|9AAC|aERES
6	43312 14521	   	305.47	DCR|DCR|2MLV|1TLV|1AAC|1ASPD	16MLV|2RPLT|3DUR|4TLV|5ASPD|78RCR|9AAC|aBBNT
7	43312 14523	   	305.47	DCR|DCR|2MLV|1TLV|1AAC|1ASPD	16MLV|2RPLT|3DUR|4TLV|5ASPD|78RCR|9AAC|aTBNT
8	43312 14522	   	305.37	DCR|DCR|2MLV|1TLV|1AAC|1ASPD	16MLV|2RPLT|3DUR|4TLV|5ASPD|78RCR|9AAC|aERES
9	42152 23131	 * 	304.94	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2DUR|3BEXP|4RPLT|5VULN|6TLV|7AART|8CDMG|9aRCR
10	43352 23131	   	304.94	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MLV|2RPLT|3DUR|4BEXP|5VULN|6TLV|7AART|8CDMG|9aRCR
11	43313 14236	   	296.56	DCR|3MLV|2VULN|1TLV|1DMG|2DUR	16aMLV|2RPLT|3aDUR|4TLV|5DMG|7RCR|8RMIN|9aVULN|aBPWR
12	43313 31366	   	296.03	DCR|2VULN|2MLV|1TLV|1DMG|3DUR|1AAC	1aMLV|2RPLT|37aDUR|4TLV|5DMG|6aVULN|8AAC|9RCR|aBPWR
13	43422 12362	 * 	295.68	DCR|3MLV|2VULN|2TLV|3DUR	169MLV|2RPLT|35VULN|489DUR|79TLV|9BPWR|aRCR
14	43312 14236	   	292.74	DCR|3MLV|2VULN|1TLV|1ASPD|2DUR	16aMLV|2RPLT|3aDUR|4TLV|5ASPD|7RCR|8RMIN|9aVULN|aBPWR
15	43313 14511	   	292.39	DCR|DCR|2MLV|1TLV|1DMG	16MLV|2RPLT|3DUR|4TLV|5DMG|78RCR|9RMIN|aBBNT
16	43313 14513	   	292.39	DCR|DCR|2MLV|1TLV|1DMG	16MLV|2RPLT|3DUR|4TLV|5DMG|78RCR|9RMIN|aTBNT
17	43313 14531	   	292.39	DCR|DCR|2MLV|1TLV|1DMG	16MLV|2RPLT|3DUR|4TLV|5DMG|78RCR|9ZMB|aBBNT
18	43313 14533	   	292.39	DCR|DCR|2MLV|1TLV|1DMG	16MLV|2RPLT|3DUR|4TLV|5DMG|78RCR|9ZMB|aTBNT
19	43313 14512	   	292.29	DCR|DCR|2MLV|1TLV|1DMG	16MLV|2RPLT|3DUR|4TLV|5DMG|78RCR|9RMIN|aERES
20	43313 14532	   	292.29	DCR|DCR|2MLV|1TLV|1DMG	16MLV|2RPLT|3DUR|4TLV|5DMG|78RCR|9ZMB|aERES
21	43312 31366	   	292.21	DCR|2VULN|2MLV|1TLV|3DUR|1AAC|1ASPD	1aMLV|2RPLT|37aDUR|4TLV|5ASPD|6aVULN|8AAC|9RCR|aBPWR
22	43312 14511	   	288.57	DCR|DCR|2MLV|1TLV|1ASPD	16MLV|2RPLT|3DUR|4TLV|5ASPD|78RCR|9RMIN|aBBNT
23	43312 14513	   	288.57	DCR|DCR|2MLV|1TLV|1ASPD	16MLV|2RPLT|3DUR|4TLV|5ASPD|78RCR|9RMIN|aTBNT
24	43312 14531	   	288.57	DCR|DCR|2MLV|1TLV|1ASPD	16MLV|2RPLT|3DUR|4TLV|5ASPD|78RCR|9ZMB|aBBNT
25	43312 14533	   	288.57	DCR|DCR|2MLV|1TLV|1ASPD	16MLV|2RPLT|3DUR|4TLV|5ASPD|78RCR|9ZMB|aTBNT
26	43312 14512	   	288.47	DCR|DCR|2MLV|1TLV|1ASPD	16MLV|2RPLT|3DUR|4TLV|5ASPD|78RCR|9RMIN|aERES
27	43312 14532	   	288.47	DCR|DCR|2MLV|1TLV|1ASPD	16MLV|2RPLT|3DUR|4TLV|5ASPD|78RCR|9ZMB|aERES
28	63342 11253	 * 	284.22	DCR|DCR|2VULN|1MLV|1CDMG	15VULN|2RPLT|3DUST|4MBVNT|6LIT|79RCR|8MLV|aCDMG
29	63212 11366	 * 	283.67	DCR|3VULN|2TLV|1MLV|1ASPD|2DUR	17aVULN|2RPLT|3ERES|4aTLV|5ASPD|6MLV|8aDUR|9RCR|aBPWR
