0	Index      	 *	Score 	Summary	Detail	
1	32163 33553	 * 	312.25	DCR|DCR|3VULN|1MLV|2DUR	12aVULN|34DUR|5RAT|6MLV|7AEFBLL|89RCR
2	34516 12333	 * 	309.10	DCR|3VULN|3MLV|1DMG|3DUR|1AAC	18aVULN|2DMG|3AAC|48aMLV|5AME|6CGEN|78aDUR|8aBPWR|9RCR
3	36137 23372	 * 	307.66	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD|1CDMG	18VULN|2MBVNT|38MLV|4ASPD|5DUR|68TLV|7AAC|8BPWR|9RCR|aCDMG
4	32143 33553	   	305.70	DCR|DCR|3VULN|1MLV	12aVULN|3DUR|4RCVC|5RAT|6MLV|7AEFBLL|89RCR
5	36174 23372	   	303.07	DCR|2VULN|2MLV|2TLV|1DMG|1AAC|1CDMG	18VULN|2MBVNT|38MLV|4DMG|5BEXP|68TLV|7AAC|8BPWR|9RCR|aCDMG
6	36134 23372	   	299.25	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD|1CDMG	18VULN|2MBVNT|38MLV|4ASPD|5BEXP|68TLV|7AAC|8BPWR|9RCR|aCDMG
7	36138 23372	   	299.25	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD|1CDMG	18VULN|2MBVNT|38MLV|4ASPD|5DUST|68TLV|7AAC|8BPWR|9RCR|aCDMG
8	36145 23372	   	299.25	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD|1CDMG	18VULN|2MBVNT|38MLV|4DUST|5ASPD|68TLV|7AAC|8BPWR|9RCR|aCDMG
9	36174 23373	   	297.72	DCR|2VULN|2MLV|2TLV|1DMG|1AAC	18VULN|2MBVNT|38MLV|4DMG|5BEXP|68TLV|7AAC|8BPWR|9RCR|aDUR
10	32512 31553	 * 	296.28	DCR|DCR|4VULN	124aVULN|3AEFBLL|5CGEN|6RAT|7DUR|89RCR
11	36137 23371	   	294.01	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	18VULN|2MBVNT|38MLV|4ASPD|5DUR|68TLV|7AAC|8BPWR|9RCR|aFRZARM
12	36137 23373	   	294.01	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	18VULN|2MBVNT|38MLV|4ASPD|5DUR|68TLV|7AAC|8BPWR|9RCR|aRCVC
13	36134 23373	   	293.91	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	18VULN|2MBVNT|38MLV|4ASPD|5BEXP|68TLV|7AAC|8BPWR|9RCR|aDUR
14	36138 23373	   	293.91	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	18VULN|2MBVNT|38MLV|4ASPD|5DUST|68TLV|7AAC|8BPWR|9RCR|aDUR
15	36145 23373	   	293.91	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	18VULN|2MBVNT|38MLV|4DUST|5ASPD|68TLV|7AAC|8BPWR|9RCR|aDUR
16	36137 23374	   	293.91	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	18VULN|2MBVNT|38MLV|4ASPD|5DUR|68TLV|7AAC|8BPWR|9RCR|aFRZFST
17	36717 12333	 * 	291.20	DCR|4VULN|3MLV|3DUR	138aVULN|2MBVNT|48aMLV|5AME|6CGEN|78aDUR|8aBPWR|9RCR
18	32163 33551	   	290.01	DCR|DCR|2VULN|1MLV|2DUR	12VULN|34DUR|5RAT|6MLV|7AEFBLL|89RCR|aBEXP
19	32163 33552	   	290.01	DCR|DCR|2VULN|1MLV|2DUR	12VULN|34DUR|5RAT|6MLV|7AEFBLL|89RCR|aDUST
20	33163 33636	   	289.52	DCR|2VULN|2MLV|2TLV|1DMG|1AAC	1aVULN|2FEWX|3aMLV|4DMG|5AEFBLL|6RCVC|7AAC|8RCR|9aTLV|aBPWR
21	36174 23371	   	289.42	DCR|2VULN|2MLV|2TLV|1DMG|1AAC	18VULN|2MBVNT|38MLV|4DMG|5BEXP|68TLV|7AAC|8BPWR|9RCR|aFRZARM
22	36174 23374	   	289.32	DCR|2VULN|2MLV|2TLV|1DMG|1AAC|1SELL	18VULN|2MBVNT|38MLV|4DMG|5BEXP|68TLV|7AAC|8BPWR|9RCR|aSELL
23	32641 31124	 * 	288.47	ACR|DCR|2VULN|1TLV|1MLV|1AAC	12VULN|39RCR|4MLV|5TLV|6AART|7MDPS|8BEXP|aAAC
24	36334 52821	 * 	287.94	DCR|3VULN|3ASPD|2DMG|1TLV	158VULN|2MBVNT|345ASPD|58BPWR|68DMG|78LIT|9TLV|aRCR
25	33133 33636	   	285.70	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	1aVULN|2FEWX|3aMLV|4ASPD|5AEFBLL|6RCVC|7AAC|8RCR|9aTLV|aBPWR
26	33133 63636	   	285.70	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	1aVULN|2FEWX|3aMLV|4ASPD|5AEFBLL|6DMSP|7AAC|8RCR|9aTLV|aBPWR
27	36134 23371	   	285.60	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	18VULN|2MBVNT|38MLV|4ASPD|5BEXP|68TLV|7AAC|8BPWR|9RCR|aFRZARM
28	36134 23376	   	285.60	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	18VULN|2MBVNT|38MLV|4ASPD|5BEXP|68TLV|7AAC|8BPWR|9RCR|aZMB
29	36134 23377	   	285.60	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	18VULN|2MBVNT|38MLV|4ASPD|5BEXP|68TLV|7AAC|8BPWR|9RCR|aRCVC
30	36138 23371	   	285.60	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	18VULN|2MBVNT|38MLV|4ASPD|5DUST|68TLV|7AAC|8BPWR|9RCR|aFRZARM
31	36145 23371	   	285.60	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD	18VULN|2MBVNT|38MLV|4DUST|5ASPD|68TLV|7AAC|8BPWR|9RCR|aFRZARM
32	36134 23374	   	285.50	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD|1SELL	18VULN|2MBVNT|38MLV|4ASPD|5BEXP|68TLV|7AAC|8BPWR|9RCR|aSELL
33	36134 23375	   	285.50	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD|1MSE	18VULN|2MBVNT|38MLV|4ASPD|5BEXP|68TLV|7AAC|8BPWR|9RCR|aMSE
34	36138 23374	   	285.50	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD|1SELL	18VULN|2MBVNT|38MLV|4ASPD|5DUST|68TLV|7AAC|8BPWR|9RCR|aSELL
35	36145 23374	   	285.50	DCR|2VULN|2MLV|2TLV|1AAC|1ASPD|1SELL	18VULN|2MBVNT|38MLV|4DUST|5ASPD|68TLV|7AAC|8BPWR|9RCR|aSELL
36	32641 31253	   	285.23	ACR|DCR|2VULN|1TLV|1MLV|1CDMG	12VULN|39RCR|4MLV|5TLV|6AART|7MDPS|8MBVNT|aCDMG
37	36334 52841	 * 	284.44	DCR|3VULN|3ASPD|2DMG|1MLV	158VULN|2MBVNT|345ASPD|58BPWR|68DMG|78LIT|9MLV|aRCR
38	32161 32553	   	283.77	DCR|DCR|3VULN|2DUR	12aVULN|34DUR|5RCVC|6RAT|7AME|89RCR
39	32531 21553	   	283.73	DCR|DCR|3VULN|2RAT	12aVULN|3AEFBLL|45RAT|6CGEN|7DUR|89RCR
40	32531 32553	   	283.73	DCR|DCR|3VULN|2RAT	12aVULN|3AEFBLL|45RAT|6DUR|7AME|89RCR
41	32143 33551	   	283.47	DCR|DCR|2VULN|1MLV	12VULN|3DUR|4RCVC|5RAT|6MLV|7AEFBLL|89RCR|aBEXP
42	32143 33552	   	283.47	DCR|DCR|2VULN|1MLV	12VULN|3DUR|4RCVC|5RAT|6MLV|7AEFBLL|89RCR|aDUST
