0	Index      	 *	Score 	Summary	Detail	
1	34131 13165	 * 	299.45	DCR|2LIT|3VULN|2DMG|1MLV	16DMG|2ERES|3aLIT|456VULN|6BPWR|7MLV|8MBVNT|9RCR
2	33261 26226	 * 	296.75	DCR|4VULN|2MLV|3DMG|1CDMG	12aDMG|3CDMG|4AART|579aVULN|6RCR|8aMLV|aBPWR
3	42311 13231	 * 	296.35	DCR|2LIT|3VULN|2FLTARM	1LHND|23aVULN|4FEWX|5CGEN|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
4	42411 13231	   	296.35	DCR|2LIT|3VULN|2FLTARM	1LHND|24aVULN|3FEWX|5CGEN|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
5	42552 13231	   	296.35	DCR|2LIT|3VULN|2FLTARM	1LHND|24aVULN|3CGEN|5FEWX|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
6	42152 13231	   	296.25	DCR|2LIT|3VULN|2FLTARM	1LHND|24aVULN|3ERES|5FEWX|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
7	42211 13231	   	296.25	DCR|2LIT|3VULN|2FLTARM	1LHND|24aVULN|3DUST|5CGEN|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
8	42312 13231	   	296.25	DCR|2LIT|3VULN|2FLTARM	1LHND|23aVULN|4FEWX|5ERES|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
9	42342 13231	   	296.25	DCR|2LIT|3VULN|2FLTARM	1LHND|23aVULN|4ERES|5FEWX|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
10	42412 13231	   	296.25	DCR|2LIT|3VULN|2FLTARM	1LHND|24aVULN|3FEWX|5ERES|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
11	42151 14231	   	296.15	DCR|2LIT|3VULN|2FLTARM	1LHND|24aVULN|3ERES|5DUR|6aLIT|7DUST|8aFLTARM|9RCR|aBPWR
12	42212 13231	   	296.15	DCR|2LIT|3VULN|2FLTARM	1LHND|24aVULN|3DUST|5ERES|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
13	42341 14231	   	296.15	DCR|2LIT|3VULN|2FLTARM	1LHND|23aVULN|4ERES|5DUR|6aLIT|7DUST|8aFLTARM|9RCR|aBPWR
14	33261 26214	   	295.73	DCR|3VULN|1LIT|2DMG|1MLV|1CDMG	12DMG|3CDMG|4AART|57aVULN|6RCR|8MLV|9LIT
15	32152 34224	 * 	287.88	DCR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	1DMG|2ZMB|34LIT|5FEWX|6FLTARM|7CDMG|8RCR|9aVULN
16	45221 13231	 * 	285.66	DCR|2LIT|2FLTARM|2DMG|1VULN	1LHND|2RMIN|3aDMG|4VULN|5CGEN|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
17	45222 13231	   	285.56	DCR|2LIT|2FLTARM|2DMG|1VULN	1LHND|2RMIN|3aDMG|4VULN|5ERES|6aLIT|7DUR|8aFLTARM|9RCR|aBPWR
