0	Index      	 *	Score 	Summary	Detail	
1	24112 53221	 * 	311.13	DCR|2LIT|4VULN|2DMG|2ASPD	1569VULN|2AART|37ASPD|49LIT|89DMG|9BPWR|aRCR
2	11335 13212	 * 	305.95	DCR|2LIT|4VULN|2FLTARM	1aLHND|25FLTARM|358aVULN|4RMIN|5aBPWR|6aLIT|7RCVC|9RCR
3	61335 13212	   	305.75	DCR|2LIT|4VULN|2FLTARM	1aDUST|25FLTARM|358aVULN|4RMIN|5aBPWR|6aLIT|7RCVC|9RCR
4	61335 24212	   	305.65	DCR|2LIT|4VULN|2FLTARM	16aDUST|25FLTARM|358aVULN|4RMIN|5aBPWR|7aLIT|9RCR
5	11325 22212	 * 	303.82	DCR|5VULN|2LIT|1FLTARM	1aLHND|2FLTARM|3458aVULN|6RMIN|7aLIT|9RCR|aBPWR
6	11325 66212	   	303.82	DCR|5VULN|2LIT|1FLTARM	1aLHND|2FLTARM|3458aVULN|6aLIT|7RMIN|9RCR|aBPWR
7	11326 13212	   	293.62	DCR|2LIT|3VULN|2FLTARM	1aLHND|2aFLTARM|348VULN|5ZMB|6aLIT|7RCVC|9RCR|aBPWR
8	24412 53121	   	293.44	DCR|2LIT|4VULN|2ASPD|1DMG	1569VULN|28AART|3DMG|49LIT|79ASPD|9BPWR|aRCR
9	24432 33521	   	293.44	DCR|2LIT|4VULN|2ASPD|1DMG	1489VULN|25AART|3DMG|69LIT|79ASPD|9BPWR|aRCR
10	61326 13212	   	293.42	DCR|2LIT|3VULN|2FLTARM	1aDUST|2aFLTARM|348VULN|5ZMB|6aLIT|7RCVC|9RCR|aBPWR
11	61326 24212	   	293.32	DCR|2LIT|3VULN|2FLTARM	16aDUST|2aFLTARM|348VULN|5ZMB|7aLIT|9RCR|aBPWR
12	24132 33221	   	291.87	DCR|2LIT|3VULN|2DMG|2ASPD	149VULN|25AART|37ASPD|69LIT|89DMG|9BPWR|aRCR
13	11335 14232	   	290.39	DCR|2LIT|3VULN|2FLTARM	18aLHND|25FLTARM|35aVULN|4RMIN|5aBPWR|6aLIT|7RCR|9RCVC
14	11335 14252	   	290.39	DCR|2LIT|3VULN|2FLTARM	18aLHND|25FLTARM|35aVULN|4RMIN|5aBPWR|6aLIT|7RCR|9DMSP
15	11335 14432	   	290.39	DCR|2LIT|3VULN|2FLTARM	1aLHND|25FLTARM|35aVULN|48RMIN|5aBPWR|6aLIT|7RCR|9RCVC
16	24231 36114	 * 	290.35	DCR|2LIT|2MLV|3VULN	18aVULN|2AART|3aLHND|48LIT|58FEWX|6RCR|7MBVNT|8aBPWR|9aMLV
17	24631 36114	   	290.35	DCR|2LIT|2MLV|3VULN	18aVULN|2AART|3aLWND|48LIT|58FEWX|6RCR|7MBVNT|8aBPWR|9aMLV
18	21212 42436	 * 	290.26	DCR|3LIT|3VULN|2DMG	12aVULN|2aBPWR|3ERES|4RCVC|59aLIT|6RCR|7AART|8aDMG
19	23312 42436	   	290.26	DCR|3LIT|3VULN|2DMG	13aVULN|23ERES|3aBPWR|4RCVC|59aLIT|6RCR|7AART|8aDMG
20	24234 36114	   	290.05	DCR|2LIT|2MLV|3VULN	18aVULN|2AART|3aLHND|48LIT|58DUST|6RCR|7MBVNT|8aBPWR|9aMLV
21	61323 66212	   	286.73	DCR|2LIT|4VULN|1FLTARM	1aDUST|2FLTARM|348aVULN|5RCVC|6aLIT|7RMIN|9RCR|aBPWR
22	61322 66212	   	286.63	DCR|2LIT|4VULN|1FLTARM	15aDUST|2FLTARM|348aVULN|6aLIT|7RMIN|9RCR|aBPWR
23	61353 12251	 * 	282.96	DCR|3LIT|3VULN|1FLTARM	17DUST|2FLTARM|367VULN|478LIT|5MBVNT|7BPWR|9DMSP|aRCR
24	61353 22445	   	282.86	DCR|3LIT|3VULN|1FLTARM	17DUST|2FLTARM|379VULN|467LIT|5MBVNT|7BPWR|8ERES|aRCR
25	26321 16251	   	281.93	DCR|2LIT|2MLV|3VULN|1SELL	13aVULN|235TLV|3aBPWR|4RMIN|6aMLV|7SELL|8aLIT|9RCR
