0	Index      	 *	Score 	Summary	Detail	
1	33316 25423	 * 	302.18	DCR|2LIT|4VULN|2DMG|1CDMG	1DMSP|2379VULN|4CANTOX|57LIT|67DMG|7BPWR|8RCR|aCDMG
2	52233 14512	 * 	290.57	DCR|2LIT|2MLV|2VULN|1ASPD|1CDMG	1CGEN|28LIT|3ASPD|4ZMB|58MLV|6CDMG|78VULN|8BPWR|9BLAICY|aRCR
3	33316 25421	   	288.53	DCR|2LIT|4VULN|2DMG	1DMSP|2379VULN|4CANTOX|57LIT|67DMG|7BPWR|8RCR|aBEXP
4	33316 25422	   	288.43	DCR|2LIT|4VULN|2DMG	1DMSP|2379VULN|4CANTOX|57LIT|67DMG|7BPWR|8RCR|aDUST
5	23216 14512	 * 	288.20	DCR|2MLV|1LIT|2VULN|2ASPD|1DMG|1CDMG	1ERES|28ASPD|3CDMG|4DMG|58MLV|6LIT|78VULN|8BPWR|9BLAICY|aRCR
6	33413 52133	 * 	285.73	DCR|2MLV|3VULN|1LIT|1DMG	1DMSP|247VULN|3aMLV|5DMG|6RCR|8TLV|9LIT
7	33413 52633	   	285.73	DCR|2MLV|3VULN|1LIT|1DMG	1DMSP|247VULN|3aMLV|5DMG|6RCR|8CGEN|9LIT
8	33316 25412	   	282.91	DCR|2LIT|3VULN|2DMG|1ASPD	1DMSP|237VULN|4CANTOX|57LIT|67DMG|7BPWR|8RCR|9MBVNT|aASPD
9	33316 25432	   	282.91	DCR|2LIT|3VULN|2DMG|1ASPD	1DMSP|237VULN|4CANTOX|57LIT|67DMG|7BPWR|8RCR|9LEGI|aASPD
10	64322 52312	   	280.58	DCR|2MLV|3VULN|1LIT|1DMG	1RPLT|26aVULN|3aMLV|4AART|5DMG|7LIT|8RCR|9aLWND|aBPWR
11	64322 52332	   	280.58	DCR|2MLV|3VULN|1LIT|1DMG	1RPLT|26aVULN|3aMLV|4AART|5DMG|7LIT|8RCR|9aFEWX|aBPWR
12	61454 13264	 * 	280.27	DCR|2LIT|3VULN|1MLV|1DMG	1RPLT|2MBVNT|37CGEN|467VULN|57LIT|7BPWR|8MLV|9DMG|aRCR
13	32333 41633	 * 	278.91	DCR|2MLV|1LIT|2VULN|2DMG	1DMSP|2CGEN|3aMLV|45DMG|6RCR|78VULN|9LIT
14	64322 52321	 * 	278.48	DCR|3VULN|1LIT|2DMG|1MLV	1RPLT|26aVULN|3MLV|4AART|59DMG|7LIT|8RCR
15	33321 46125	 * 	277.77	DCR|4VULN|1LIT|2ASPD|1DMG	1DMSP|2348VULN|58ASPD|6RCR|7RCVC|8BPWR|9DMG|aLIT
16	33321 45633	 * 	277.25	DCR|4VULN|1LIT|1MLV|1ASPD	1DMSP|2348VULN|5ASPD|6RCR|7FEWX|9LIT|aMLV
17	53331 52133	   	277.25	DCR|4VULN|1LIT|1MLV|1ASPD	1CGEN|2ASPD|3457VULN|6RCR|8TLV|9LIT|aMLV
18	23331 52633	   	277.15	DCR|4VULN|1LIT|1MLV|1ASPD	1ERES|2ASPD|3458VULN|6RCR|7MLV|9LIT|aCGEN
19	23331 52634	   	277.15	DCR|4VULN|1LIT|1MLV|1ASPD	1ERES|2ASPD|3458VULN|6RCR|7MLV|9LIT|aFEWX
20	23331 52636	   	277.15	DCR|4VULN|1LIT|1MLV|1ASPD	1ERES|2ASPD|3458VULN|6RCR|7MLV|9LIT|aBEXP
21	23331 52262	   	277.15	DCR|4VULN|1LIT|1MLV|1ASPD	1ERES|2ASPD|345aVULN|6RCR|7MLV|8LHND|9LIT
22	23331 52362	   	277.15	DCR|4VULN|1LIT|1MLV|1ASPD	1ERES|2ASPD|345aVULN|6RCR|7MLV|8LWND|9LIT
23	23331 52562	   	277.15	DCR|4VULN|1LIT|1MLV|1ASPD	1ERES|2ASPD|345aVULN|6RCR|7MLV|8BEXP|9LIT
24	23331 53362	   	277.15	DCR|4VULN|1LIT|1MLV|1ASPD	1ERES|2ASPD|345aVULN|6RCR|7LWND|8MLV|9LIT
25	23331 54362	   	277.15	DCR|4VULN|1LIT|1MLV|1ASPD	1ERES|2ASPD|345aVULN|6RCR|7LHND|8MLV|9LIT
26	33321 43226	   	277.15	DCR|4VULN|1LIT|1MLV|1ASPD	1DMSP|2349VULN|5ASPD|6RCR|7SNITOX|8LIT|aMLV
27	33321 44633	   	277.15	DCR|4VULN|1LIT|1MLV|1ASPD	1DMSP|2348VULN|5ASPD|6RCR|7LEGI|9LIT|aMLV
28	33341 43226	   	277.15	DCR|4VULN|1LIT|1MLV|1ASPD	1DMSP|2349VULN|4BPWR|5ASPD|6RCR|7SNITOX|8LIT|aMLV
29	23331 52631	   	277.05	DCR|4VULN|1LIT|1MLV|1ASPD	1ERES|2ASPD|3458VULN|6RCR|7MLV|9LIT|aDUST
30	23331 52632	   	277.05	DCR|4VULN|1LIT|1MLV|1ASPD	1aERES|2ASPD|3458VULN|6RCR|7MLV|9LIT
31	23331 52635	   	277.05	DCR|4VULN|1LIT|1MLV|1ASPD	1ERES|2ASPD|3458VULN|6RCR|7MLV|9LIT|aDUR
32	33316 25411	   	276.20	DCR|2LIT|3VULN|2DMG	1DMSP|237VULN|4CANTOX|57LIT|67DMG|7BPWR|8RCR|9MBVNT|aZMB
33	33316 25431	   	276.20	DCR|2LIT|3VULN|2DMG	1DMSP|237VULN|4CANTOX|57LIT|67DMG|7BPWR|8RCR|9LEGI|aZMB
34	33412 43223	   	276.11	DCR|2MLV|3VULN|1LIT|1CDMG	1DMSP|249VULN|35MLV|6RCR|7FRZARM|8LIT|aCDMG
35	23335 62162	   	274.35	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1ERES|2ASPD|34aVULN|5NUKE|6DMG|7MLV|8RCR|9LIT
36	36212 12847	   	273.69	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	1DMSP|2aLWND|3CDMG|4aDMG|5MBVNT|6RCR|7MLV|8LIT|9aVULN|aBPWR
37	64324 12321	   	273.46	DCR|2MLV|1LIT|2VULN|2DMG	1RPLT|2aVULN|35MLV|4AART|69DMG|7LIT|8RCR
