0	Index      	 *	Score 	Summary	Detail	
1	32336 35522	 * 	267.86	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1ASPD|2BEXP|3RPLT|49VULN|5DMG|6CDMG|7RCR|8LIT|aMLV
2	16117 73233	 * 	267.36	DCR|2LIT|3VULN|3ASPD	1aERES|2MBVNT|356VULN|46aASPD|6aBPWR|7aLIT|8BELT|9RCR
3	21315 33522	 * 	264.40	DCR|3VULN|1LIT|1MLV|1DMG	1DUST|259VULN|3BEXP|4DMG|6RCR|7LHND|8LIT|aMLV
4	21315 34522	   	264.40	DCR|3VULN|1LIT|1MLV|1DMG	1DUST|259VULN|3BEXP|4DMG|6RCR|7LWND|8LIT|aMLV
5	33166 21431	   	262.41	DCR|2LIT|3VULN|1ASPD|1CDMG	1ASPD|2FEWX|39aVULN|4DLOT|58LIT|6RCR|7CDMG
6	11125 65323	 * 	261.70	DCR|2LIT|3VULN|1MLV	1aERES|28DUST|35aVULN|4LWND|6MLV|7aLIT|9RCR|aBPWR
7	16321 84125	 * 	259.39	DCR|2LIT|2MLV|2VULN|1ASPD	19ERES|2MBVNT|3RPLT|49LIT|5ASPD|67VULN|89MLV|9BPWR|aRCR
8	33166 21331	 * 	258.70	DCR|4VULN|1LIT|1ASPD|1CDMG	1ASPD|2FEWX|389aVULN|4DLOT|5LIT|6RCR|7CDMG
9	16112 62125	 * 	258.29	DCR|2MLV|3VULN|1LIT|1ASPD	19ERES|2MBVNT|369VULN|4ASPD|5RPLT|7LIT|89MLV|9BPWR|aRCR
10	32155 33522	   	258.08	DCR|3VULN|1LIT|1MLV|1ASPD	1ASPD|2BEXP|359VULN|4FEWX|6RCR|7LHND|8LIT|aMLV
11	33336 52226	 * 	258.02	DCR|4VULN|1LIT|1DMG|1ASPD	1ASPD|2FEWX|3RPLT|4689VULN|5DMG|7LIT|aRCR
12	36431 12226	   	258.02	DCR|4VULN|1LIT|1DMG|1ASPD	1ASPD|2RPLT|3489VULN|5DMG|6LWND|7LIT|aRCR
13	36431 32226	   	258.02	DCR|4VULN|1LIT|1DMG|1ASPD	1ASPD|2RPLT|3489VULN|5DMG|6LHND|7LIT|aRCR
14	35165 33322	   	257.98	DCR|3VULN|1LIT|1MLV|1ASPD	1ASPD|2DUST|358VULN|4BEXP|6RCR|7LHND|9LIT|aMLV
15	16142 62445	   	257.10	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|2MBVNT|367VULN|4MLV|5RPLT|8LIT|9DMG|aRCR
16	16142 62147	 * 	256.20	DCR|4VULN|1LIT|1MLV	1ERES|2MBVNT|3678VULN|4MLV|5RPLT|9LIT|aRCR
17	16142 62427	   	256.20	DCR|4VULN|1LIT|1MLV	1ERES|2MBVNT|3679VULN|4MLV|5RPLT|8LIT|aRCR
18	32336 61324	   	256.01	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|2BEXP|3RPLT|4aVULN|5DMG|6RCR|7TLV|8MLV|9LIT
19	33336 61324	   	256.01	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|2FEWX|3RPLT|4aVULN|5DMG|6RCR|7TLV|8MLV|9LIT
20	21115 33524	 * 	255.17	DCR|2LIT|3VULN|1DMG	1DUST|259VULN|3FEWX|4DMG|6RCR|7LHND|8aLIT
21	21315 33524	   	255.17	DCR|2LIT|3VULN|1DMG	1DUST|259VULN|3BEXP|4DMG|6RCR|7LHND|8aLIT
22	16336 32125	   	255.10	DCR|2MLV|3VULN|1LIT	19ERES|2MBVNT|3RPLT|459VULN|6ZMB|7LIT|89MLV|9BPWR|aRCR
23	32111 62652	 * 	253.21	DCR|3VULN|1LIT|2ASPD|1DMG	14ASPD|26BEXP|36aVULN|5RMIN|6BPWR|7DMG|8LIT|9RCR
24	33111 62652	   	253.21	DCR|3VULN|1LIT|2ASPD|1DMG	14ASPD|26FEWX|36aVULN|5RMIN|6BPWR|7DMG|8LIT|9RCR
25	51162 11235	   	252.41	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LHND|29VULN|3FEWX|4LIT|5AART|6MLV|7CDMG|8RCR|aDMG
26	21115 33526	 * 	252.37	DCR|3VULN|1LIT|1DMG|1NUKE	1DUST|259VULN|3FEWX|4DMG|6RCR|7LHND|8LIT|aNUKE
