0	Index      	 *	Score 	Summary	Detail	
1	24442 23131	 * 	297.95	DCR|2LIT|3VULN|2DMG|1MLV	18CRUSTR|238VULN|47LIT|5MLV|68DMG|8BPWR|9CGEN|aRCR
2	14231 23441	 * 	294.65	DCR|2LIT|2MLV|3VULN|2ZMB	17LIT|267VULN|3CGEN|4BLASTR|57ZMB|7BPWR|89MLV|aRCR
3	24442 22133	 * 	290.64	DCR|3VULN|1LIT|3DMG|1MLV	18CRUSTR|238VULN|4LIT|5MLV|678DMG|8BPWR|9CANSTR|aRCR
4	14512 53113	 * 	286.21	DCR|2LIT|3VULN|1MLV|2ASPD	17LIT|278VULN|3RMIN|4DUST|5MLV|67ASPD|7BPWR|9ERES|aRCR
5	22243 23425	 * 	285.44	DCR|3LIT|2MLV|2VULN	17CRUSTR|2RMIN|35MLV|457LIT|57BPWR|67VULN|8CGEN|9RCR|aZMB
6	22243 23525	   	285.44	DCR|3LIT|2MLV|2VULN	17CRUSTR|2RMIN|35MLV|457LIT|57BPWR|67VULN|8TLV|9RCR|aZMB
7	22243 23135	   	285.29	DCR|3LIT|2MLV|2VULN	17CRUSTR|2RMIN|35MLV|457LIT|57BPWR|67VULN|8DUST|9RCR|aZMB
8	22245 62112	   	282.82	DCR|2LIT|2VULN|2DMG|1MLV	1CRUSTR|2RMIN|3MLV|49LIT|58VULN|6RCR|7aDMG
9	51243 61222	 * 	282.74	DCR|2LIT|2MLV|2VULN|2ASPD	19ASPD|2BLAICY|39MLV|4aLIT|5DUST|6RCR|79VULN|8RCVC|9BPWR
10	16231 61611	 * 	282.55	DCR|3LIT|3MLV|2VULN	169LIT|2aLSRHEA|3LWND|4aVULN|57aMLV|8RCR|aBPWR
11	14123 31434	   	282.44	DCR|3LIT|2MLV|2VULN	157LIT|27VULN|36BELT|47MLV|7BPWR|8ZMB|9BASHEA|aRCR
12	16211 13526	 * 	281.46	DCR|3LIT|2VULN|1MLV|2ASPD	179LIT|27LSRHEA|39LWND|4MBVNT|5MLV|67VULN|79BPWR|89ASPD|aRCR
