0	Index      	 *	Score 	Summary	Detail	
1	31261 32616	 * 	279.68	DCR|3LIT|2MLV|2VULN|3DUR	125DUR|3MBVNT|48aLIT|6aMLV|7RCR|9aVULN|aBPWR
2	64353 24224	 * 	279.24	ACR|2LIT|4VULN|2MLV	1aFEWX|2MBVNT|37LIT|4RCR|568aVULN|9aMLV|aBPWR
3	64353 24424	   	279.24	ACR|2LIT|4VULN|2MLV	1aFEWX|2MBVNT|37LIT|4RCR|569aVULN|8aMLV|aBPWR
4	12523 42133	 * 	278.82	DCR|3LIT|2VULN|1MLV|1DMG	1MLV|2DLOT|3aVULN|457LIT|6BEXP|8RCR|9DMG
5	12523 22133	   	278.72	DCR|3LIT|2VULN|1MLV|1DMG|1DUR	1MLV|2DLOT|3aVULN|457LIT|6DUR|8RCR|9DMG
6	11312 16263	 * 	273.85	DCR|2LIT|3VULN|1MLV|1ASPD	1MLV|29CGEN|3ERES|4LHND|589VULN|6ASPD|79LIT|9BPWR|aRCR
7	11622 65211	 * 	273.00	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	18MLV|2CGEN|3DMG|4CDMG|5LIT|6RCR|7aVULN|9FEWX
8	11622 65231	   	273.00	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	18MLV|2CGEN|3DMG|4CDMG|5LIT|6RCR|7aVULN|9BEXP
9	64353 21424	 * 	270.27	ACR|5VULN|2MLV|1LIT	1aFEWX|2MBVNT|3LIT|4RCR|5679aVULN|8aMLV|aBPWR
10	64353 21224	   	270.27	ACR|5VULN|2MLV|1LIT	1aFEWX|2MBVNT|3LIT|4RCR|5678aVULN|9aMLV|aBPWR
11	14264 31842	 * 	264.81	DCR|2LIT|3MLV|2VULN|1ASPD	159MLV|2ERES|3MBVNT|49LIT|6ASPD|7CGEN|89VULN|9BPWR|aRCR
12	11212 87633	 * 	264.30	DCR|3VULN|1LIT|1MLV|1DMG	1MLV|2CGEN|3MBVNT|4ERES|579VULN|6RCR|8DMG|aLIT
13	11242 87633	   	264.30	DCR|3VULN|1LIT|1MLV|1DMG	1MLV|2CGEN|3MBVNT|479VULN|5ERES|6RCR|8DMG|aLIT
14	22231 87633	   	264.30	DCR|3VULN|1LIT|1MLV|1DMG	1CGEN|2ERES|3MBVNT|479VULN|5MLV|6RCR|8DMG|aLIT
15	53461 12112	 * 	262.47	DCR|2LIT|2VULN|2DMG|3DUR|1ASPD	1RMIN|2aLIT|3ASPD|456DUR|7RCR|8aDMG|9aVULN|aBPWR
16	12523 12642	   	261.80	DCR|2LIT|3VULN|1MLV	1MLV|2DLOT|37aVULN|45LIT|6BELT|8RCVC|9RCR
17	31261 32316	 * 	259.01	DCR|2LIT|3MLV|2VULN|3DUR	125DUR|3MBVNT|4aLIT|68aMLV|7RCR|9aVULN|aBPWR
18	34361 32316	   	259.01	DCR|2LIT|3MLV|2VULN|3DUR	135DUR|2MBVNT|4aLIT|68aMLV|7RCR|9aVULN|aBPWR
19	12523 42153	   	258.76	DCR|3LIT|2VULN|1MLV	1MLV|2DLOT|3aVULN|457LIT|6BEXP|8RCR|9RMIN
20	12523 22153	   	258.66	DCR|3LIT|2VULN|1MLV|1DUR	1MLV|2DLOT|3aVULN|457LIT|6DUR|8RCR|9RMIN
21	12523 42115	   	258.66	DCR|3LIT|2VULN|1MLV	1MLV|2DLOT|3aVULN|457LIT|6BEXP|8RCR|9LSRICY
22	12523 22115	   	258.56	DCR|3LIT|2VULN|1MLV|1DUR	1MLV|2DLOT|3aVULN|457LIT|6DUR|8RCR|9LSRICY
23	52165 22333	   	257.71	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1RMIN|2BLAICY|3VULN|4ASPD|56LIT|7RCR|8MLV|9DMG|aZMB
