0	Index      	 *	Score 	Summary	Detail	
1	32223 73234	 * 	321.11	DCR|2LIT|2FLTARM|2VULN|3DMG|1SELL	1aFLTARM|2MBVNT|3SELL|469DMG|5aVULN|7RCR|8aLIT|aBPWR
2	32823 12478	 * 	316.92	ACR|3LIT|2FLTARM|2DMG|1MLV|1VULN	18FLTARM|2MBVNT|3RCR|456LIT|78DMG|8BPWR|9MLV|aVULN
3	32481 61612	 * 	316.67	DCR|3LIT|2VULN|1FLTARM|1MLV|1DMG	1FLTARM|2MBVNT|3BELT|46aLIT|56VULN|6BPWR|7MLV|8RCR|9DMG
4	32481 61633	 * 	315.11	DCR|2LIT|3VULN|1FLTARM|1MLV|1CDMG	1FLTARM|2MBVNT|3BELT|46LIT|56aVULN|6BPWR|7MLV|8RCR|9CDMG
5	32481 61611	   	313.03	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1FLTARM|2MBVNT|3BELT|46LIT|56VULN|6BPWR|7MLV|8RCR|9DMG|aCDMG
6	32481 15623	 * 	307.55	DCR|2LIT|4VULN|2FLTARM	19FLTARM|2MBVNT|3BELT|49LIT|579aVULN|6RPLT|8RCR|9BPWR
7	32823 62461	 * 	306.94	ACR|3LIT|3FLTARM|3DMG|1MLV	168FLTARM|2MBVNT|3RCR|456LIT|68BPWR|789DMG|aMLV
8	32481 61382	   	301.75	DCR|3LIT|2VULN|1FLTARM|1MLV	1FLTARM|2MBVNT|3BELT|46aLIT|56VULN|6BPWR|7MLV|8ZMB|9RCR
9	32481 61643	   	301.45	DCR|2LIT|3VULN|1FLTARM|1MLV	1FLTARM|2MBVNT|3BELT|46LIT|56aVULN|6BPWR|7MLV|8RCR|9FEWX
10	32481 17621	 * 	301.41	DCR|3LIT|2FLTARM|2VULN	19FLTARM|2MBVNT|3BELT|479LIT|59VULN|6RPLT|8RCR|9BPWR|aZMB
11	32481 61428	   	299.65	DCR|2LIT|3VULN|1FLTARM|1MLV	1FLTARM|2MBVNT|3BELT|46LIT|56aVULN|6BPWR|7MLV|8AART|9RCR
12	32822 24328	 * 	299.48	ACR|2LIT|3VULN|2FLTARM|1MLV	19FLTARM|2MBVNT|3RCR|49LIT|5RPLT|689VULN|7BELT|9BPWR|aMLV
