0	Index      	 *	Score 	Summary	Detail	
1	53411 22231	 * 	338.32	DCR|2LIT|2MLV|3VULN|2DMG|2DUR	17DMG|278VULN|34DUR|5aLIT|67MLV|7BPWR|9RCR
2	53122 32231	 * 	336.22	DCR|3LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3LHND|4MLV|57aLIT|7BPWR|9RCR
3	53222 32231	   	336.22	DCR|3LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3BEXP|4MLV|57aLIT|7BPWR|9RCR
4	53322 32231	   	336.12	DCR|3LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3DUST|4MLV|57aLIT|7BPWR|9RCR
5	53462 32231	   	336.12	DCR|3LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3DUR|4MLV|57aLIT|7BPWR|9RCR
6	53122 32234	   	335.17	DCR|2LIT|4VULN|2DMG|1MLV|1AART	17DMG|2678VULN|3LHND|4MLV|57LIT|7BPWR|9RCR|aAART
7	53222 32234	   	335.17	DCR|2LIT|4VULN|2DMG|1MLV|1AART	17DMG|2678VULN|3BEXP|4MLV|57LIT|7BPWR|9RCR|aAART
8	53322 32234	   	335.07	DCR|2LIT|4VULN|2DMG|1MLV|1AART	17DMG|2678VULN|3DUST|4MLV|57LIT|7BPWR|9RCR|aAART
9	53122 32235	 * 	334.57	DCR|2LIT|4VULN|3DMG|1MLV	17aDMG|2678VULN|3LHND|4MLV|57LIT|7BPWR|9RCR
10	53222 32235	   	334.57	DCR|2LIT|4VULN|3DMG|1MLV	17aDMG|2678VULN|3BEXP|4MLV|57LIT|7BPWR|9RCR
11	53322 32235	   	334.47	DCR|2LIT|4VULN|3DMG|1MLV	17aDMG|2678VULN|3DUST|4MLV|57LIT|7BPWR|9RCR
12	53411 22235	 * 	326.14	DCR|2MLV|3VULN|1LIT|3DMG|2DUR	17aDMG|278VULN|34DUR|5LIT|67MLV|7BPWR|9RCR
13	53222 32416	   	320.55	DCR|2LIT|3VULN|3DMG|1MLV	179DMG|267VULN|3BEXP|4MLV|57LIT|7BPWR|8ZMB|aRCR
14	53322 32416	   	320.45	DCR|2LIT|3VULN|3DMG|1MLV	179DMG|267VULN|3DUST|4MLV|57LIT|7BPWR|8ZMB|aRCR
15	53411 22234	   	320.21	DCR|2MLV|3VULN|1LIT|2DMG|2DUR|1AART	17DMG|278VULN|34DUR|5LIT|67MLV|7BPWR|9RCR|aAART
16	53222 32233	   	318.92	DCR|2LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3BEXP|4MLV|57LIT|7BPWR|9RCR|aLHND
17	53122 32232	   	318.82	DCR|2LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3LHND|4MLV|57LIT|7BPWR|9RCR|aERES
18	53122 32233	   	318.82	DCR|2LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3LHND|4MLV|57LIT|7BPWR|9RCR|aLEGI
19	53122 32236	   	318.82	DCR|2LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3LHND|4MLV|57LIT|7BPWR|9RCR|aVENICY
20	53222 32232	   	318.82	DCR|2LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3BEXP|4MLV|57LIT|7BPWR|9RCR|aERES
21	53222 32236	   	318.82	DCR|2LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3BEXP|4MLV|57LIT|7BPWR|9RCR|aVENICY
22	53322 32233	   	318.82	DCR|2LIT|4VULN|2DMG|1MLV	17DMG|2678VULN|3DUST|4MLV|57LIT|7BPWR|9RCR|aLHND
