0	Index      	 *	Score 	Summary	Detail	
1	11351 35513	 * 	311.37	DCR|3LIT|5VULN|3CDMG	1RCVC|29aCDMG|3679aVULN|4RPLT|59aLIT|8RCR|9aBPWR
2	22422 52315	 * 	302.42	DCR|3LIT|4VULN|2DMG	1569VULN|29DMG|3LHND|45BEXP|59BPWR|789LIT|aRCR
3	22432 52315	   	302.42	DCR|3LIT|4VULN|2DMG	1569VULN|29DMG|3LHND|45FEWX|59BPWR|789LIT|aRCR
4	41263 32234	 * 	302.41	DCR|2LIT|2MLV|2VULN|2DMG	15MLV|2FEWX|36VULN|49LIT|78DMG|aRCR
5	22122 52315	   	302.32	DCR|3LIT|4VULN|2DMG	1569VULN|29DMG|3DUR|45BEXP|59BPWR|789LIT|aRCR
6	22215 52315	   	302.32	DCR|3LIT|4VULN|2DMG	1369VULN|29DMG|4FEWX|5BEXP|789LIT|9BPWR|aRCR
7	12113 32455	 * 	302.28	DCR|3LIT|2MLV|2VULN|1DMG	1RCVC|28VULN|3LWND|48MLV|5CGEN|6DMG|789LIT|8BPWR|aRCR
8	12213 32455	   	302.28	DCR|3LIT|2MLV|2VULN|1DMG	1RCVC|28VULN|3LHND|48MLV|5CGEN|6DMG|789LIT|8BPWR|aRCR
9	42263 32234	   	302.26	DCR|2LIT|2MLV|2VULN|2DMG	15MLV|2LEGI|36VULN|49LIT|78DMG|aRCR
10	22226 52315	   	302.22	DCR|3LIT|4VULN|2DMG	1369VULN|29DMG|4BEXP|5DUR|789LIT|9BPWR|aRCR
11	22412 52315	   	302.22	DCR|3LIT|4VULN|2DMG|2DUR	1569VULN|29DMG|3LHND|45DUR|59BPWR|789LIT|aRCR
12	24111 32234	 * 	297.75	DCR|2LIT|3VULN|2DMG|1MLV	136VULN|2LWND|4MLV|59LIT|78DMG|aRCR
13	24111 32354	   	297.75	DCR|2LIT|3VULN|2DMG|1MLV	136VULN|2LWND|4MLV|58LIT|79DMG|aRCR
14	25111 32234	   	297.75	DCR|2LIT|3VULN|2DMG|1MLV	126VULN|2BPWR|3LWND|4MLV|59LIT|78DMG|aRCR
15	25111 32354	   	297.75	DCR|2LIT|3VULN|2DMG|1MLV	126VULN|2BPWR|3LWND|4MLV|58LIT|79DMG|aRCR
16	25211 32234	   	297.75	DCR|2LIT|3VULN|2DMG|1MLV	126VULN|2BPWR|3LHND|4MLV|59LIT|78DMG|aRCR
17	25211 32354	   	297.75	DCR|2LIT|3VULN|2DMG|1MLV	126VULN|2BPWR|3LHND|4MLV|58LIT|79DMG|aRCR
18	26111 32234	   	297.75	DCR|2LIT|3VULN|2DMG|1MLV	126VULN|3LWND|4MLV|59LIT|78DMG|aRCR
19	26111 32354	   	297.75	DCR|2LIT|3VULN|2DMG|1MLV	126VULN|3LWND|4MLV|58LIT|79DMG|aRCR
20	26211 32234	   	297.75	DCR|2LIT|3VULN|2DMG|1MLV	126VULN|3LHND|4MLV|59LIT|78DMG|aRCR
21	26211 32354	   	297.75	DCR|2LIT|3VULN|2DMG|1MLV	126VULN|3LHND|4MLV|58LIT|79DMG|aRCR
22	44211 32234	   	297.75	DCR|2LIT|3VULN|2DMG|1MLV	1MLV|236VULN|4FEWX|59LIT|78DMG|aRCR
23	21111 62234	   	297.65	DCR|2LIT|3VULN|2DMG|1MLV	136VULN|2DUST|4MLV|59LIT|78DMG|aRCR
24	21111 62354	   	297.65	DCR|2LIT|3VULN|2DMG|1MLV	136VULN|2DUST|4MLV|58LIT|79DMG|aRCR
25	11131 21665	   	293.03	DCR|2LIT|3VULN|2DMG|2CDMG	1RCVC|28CDMG|3aLIT|48DMG|589VULN|6RCR|7RMIN|8BPWR
26	24111 31334	 * 	292.92	DCR|2LIT|4VULN|1MLV|1ASPD	1368VULN|2LWND|4MLV|59LIT|7ASPD|aRCR
27	25111 31334	   	292.92	DCR|2LIT|4VULN|1MLV|1ASPD	1268VULN|2BPWR|3LWND|4MLV|59LIT|7ASPD|aRCR
28	25211 31334	   	292.92	DCR|2LIT|4VULN|1MLV|1ASPD	1268VULN|2BPWR|3LHND|4MLV|59LIT|7ASPD|aRCR
29	26111 31334	   	292.92	DCR|2LIT|4VULN|1MLV|1ASPD	1268VULN|3LWND|4MLV|59LIT|7ASPD|aRCR
30	26211 31334	   	292.92	DCR|2LIT|4VULN|1MLV|1ASPD	1268VULN|3LHND|4MLV|59LIT|7ASPD|aRCR
31	44211 31334	   	292.92	DCR|2LIT|4VULN|1MLV|1ASPD	1MLV|2368VULN|4FEWX|59LIT|7ASPD|aRCR
32	21111 61334	   	292.82	DCR|2LIT|4VULN|1MLV|1ASPD	1368VULN|2DUST|4MLV|59LIT|7ASPD|aRCR
33	41263 31334	 * 	292.75	DCR|2LIT|2MLV|3VULN|1ASPD	15MLV|2FEWX|368VULN|49LIT|7ASPD|aRCR
34	42263 31334	   	292.60	DCR|2LIT|2MLV|3VULN|1ASPD	15MLV|2LEGI|368VULN|49LIT|7ASPD|aRCR
35	22233 63334	   	292.28	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD|1SELL	13VULN|2DMG|4SELL|5CDMG|6RCR|78LIT|9ASPD|aMLV
36	22233 63255	 * 	289.00	DCR|1LIT|2VULN|3DMG|1MLV|1CDMG|1SELL	13VULN|289DMG|4SELL|5CDMG|6RCR|7LIT|aMLV
37	24111 35412	 * 	288.74	DCR|5VULN|1LIT|1MLV|1CDMG	1367aVULN|2LWND|4MLV|5LIT|8CDMG|9RCR
38	25111 35412	   	288.74	DCR|5VULN|1LIT|1MLV|1CDMG	1267aVULN|2BPWR|3LWND|4MLV|5LIT|8CDMG|9RCR
39	25211 35412	   	288.74	DCR|5VULN|1LIT|1MLV|1CDMG	1267aVULN|2BPWR|3LHND|4MLV|5LIT|8CDMG|9RCR
40	26111 35412	   	288.74	DCR|5VULN|1LIT|1MLV|1CDMG	1267aVULN|3LWND|4MLV|5LIT|8CDMG|9RCR
41	26211 35412	   	288.74	DCR|5VULN|1LIT|1MLV|1CDMG	1267aVULN|3LHND|4MLV|5LIT|8CDMG|9RCR
42	21111 65412	   	288.64	DCR|5VULN|1LIT|1MLV|1CDMG	1367aVULN|2DUST|4MLV|5LIT|8CDMG|9RCR
43	22262 11255	 * 	287.53	DCR|2LIT|3VULN|1FLTARM|1DMG	135VULN|2DMG|4SNITOX|67LIT|8BEXP|9RCR|aFLTARM
44	22262 11135	   	287.43	DCR|2LIT|3VULN|1FLTARM|1DMG	135VULN|2DMG|4SNITOX|67LIT|8DUST|9RCR|aFLTARM
45	25342 11135	   	287.43	DCR|2LIT|3VULN|1FLTARM|1DMG	125VULN|2BPWR|3TSLARM|4DMG|67LIT|8DUST|9RCR|aFLTARM
46	26342 11135	   	287.43	DCR|2LIT|3VULN|1FLTARM|1DMG	125VULN|3TSLARM|4DMG|67LIT|8DUST|9RCR|aFLTARM
47	22233 63234	   	287.00	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG|1ASPD|1SELL	13VULN|28DMG|4SELL|5CDMG|6RCR|7LIT|9ASPD|aMLV
48	46332 11151	 * 	285.55	DCR|3LIT|3MLV|2VULN	145MLV|2RPLT|349LIT|49BPWR|69VULN|7RCR|8RCVC|aFEWX
49	46332 11153	   	285.55	DCR|3LIT|3MLV|2VULN	145MLV|2aRPLT|349LIT|49BPWR|69VULN|7RCR|8RCVC
50	46332 11152	   	285.40	DCR|3LIT|3MLV|2VULN	145MLV|2RPLT|349LIT|49BPWR|69VULN|7RCR|8RCVC|aLSRHEA
51	46332 11212	   	285.40	DCR|3LIT|3MLV|2VULN	145MLV|2RPLT|34aLIT|4BPWR|69VULN|7RCR|8CGEN
52	55141 44183	 * 	284.79	DCR|2LIT|3VULN|2FLTARM	1BELT|2MBVNT|3DMSP|48LIT|578VULN|68FLTARM|8BPWR|9RCVC|aRCR
