0	Index      	 *	Score 	Summary	Detail	
1	32332 51124	 * 	308.39	DCR|3VULN|1LIT|2DMG|1MLV|2ASPD	17FEWX|279VULN|3MLV|48ASPD|57DMG|6RCR|7BPWR|aLIT
2	32151 33636	 * 	306.86	DCR|2MLV|3VULN|1LIT|2DMG	1FEWX|259VULN|35DMG|4RMIN|5BPWR|6aMLV|7LIT|8RCR
3	22141 36136	   	306.71	DCR|2MLV|3VULN|1LIT|2DMG	1LWND|259VULN|35DMG|4NUKE|5BPWR|6aMLV|7LIT|8RCR
4	32141 33136	   	306.71	DCR|2MLV|3VULN|1LIT|2DMG	1FEWX|259VULN|35DMG|4NUKE|5BPWR|6aMLV|7LIT|8RCR
5	62141 33136	   	306.56	DCR|2MLV|3VULN|1LIT|2DMG	1DUST|259VULN|35DMG|4NUKE|5BPWR|6aMLV|7LIT|8RCR
6	22151 31146	   	304.16	DCR|2MLV|3VULN|1LIT|2DMG	1LWND|257VULN|35DMG|4RMIN|5BPWR|6aMLV|8LIT|9RCR
7	32151 31146	   	304.16	DCR|2MLV|3VULN|1LIT|2DMG	1FEWX|257VULN|35DMG|4RMIN|5BPWR|6aMLV|8LIT|9RCR
8	22141 36133	 * 	297.65	DCR|4VULN|1LIT|2DMG|1MLV	1LWND|259aVULN|35DMG|4NUKE|5BPWR|6MLV|7LIT|8RCR
9	62141 33133	   	297.55	DCR|4VULN|1LIT|2DMG|1MLV	1DUST|259aVULN|35DMG|4NUKE|5BPWR|6MLV|7LIT|8RCR
10	62332 65133	 * 	297.32	DCR|2LIT|3VULN|1MLV|1DMG|1ASPD	1DUST|29aVULN|3MLV|4ASPD|5DMG|67LIT|8RCR
11	22151 31143	   	295.95	DCR|4VULN|1LIT|2DMG|1MLV	1LWND|257aVULN|35DMG|4RMIN|5BPWR|6MLV|8LIT|9RCR
12	62151 31143	   	295.85	DCR|4VULN|1LIT|2DMG|1MLV	1DUST|257aVULN|35DMG|4RMIN|5BPWR|6MLV|8LIT|9RCR
13	32332 51412	   	294.38	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG|1ASPD	17FEWX|27VULN|3MLV|4ASPD|57DMG|6RCR|7BPWR|8CDMG|9ZMB|aLIT
14	62332 33133	   	293.78	DCR|2MLV|3VULN|1LIT|1DMG|1ASPD	1DUST|29aVULN|36MLV|4ASPD|5DMG|7LIT|8RCR
15	62345 33133	   	293.78	DCR|2MLV|3VULN|1LIT|1DMG|1ASPD	1DUST|29aVULN|36MLV|4DMG|5ASPD|7LIT|8RCR
16	62132 33133	   	292.03	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1DUST|29aVULN|35DMG|4ASPD|6MLV|7LIT|8RCR
17	62332 13133	   	292.03	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1DUST|29aVULN|3MLV|4ASPD|56DMG|7LIT|8RCR
18	62345 13133	   	292.03	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	1DUST|29aVULN|3MLV|46DMG|5ASPD|7LIT|8RCR
19	32332 51421	 * 	291.43	DCR|3VULN|3DMG|1MLV|2DUR|1ASPD|1CDMG	17FEWX|27aVULN|3MLV|4ASPD|57aDMG|6RCR|7aBPWR|8CDMG|9aDUR
20	32332 56124	   	290.60	DCR|3VULN|1LIT|1MLV|2ASPD|1DMG	1FEWX|279VULN|3MLV|48ASPD|5DMG|6RCR|aLIT
21	32132 33136	   	287.11	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD	1FEWX|29VULN|35DMG|4ASPD|6aMLV|7LIT|8RCR
22	32141 33144	   	287.11	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD	1FEWX|25VULN|35DMG|4NUKE|5BPWR|6aMLV|7LIT|8RCR|9ASPD
23	32332 13136	   	287.11	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD	1FEWX|29VULN|3aMLV|4ASPD|56DMG|7LIT|8RCR
24	62132 33136	   	286.96	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD	1DUST|29VULN|35DMG|4ASPD|6aMLV|7LIT|8RCR
25	62332 13136	   	286.96	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD	1DUST|29VULN|3aMLV|4ASPD|56DMG|7LIT|8RCR
26	62132 33153	   	286.96	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD	1DUST|2aVULN|35DMG|4ASPD|69MLV|7LIT|8RCR
27	62332 13153	   	286.96	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD	1DUST|2aVULN|39MLV|4ASPD|56DMG|7LIT|8RCR
28	62131 33133	   	286.90	DCR|3VULN|1LIT|1MLV|2ASPD|1DMG	15DUST|29aVULN|3DMG|45ASPD|5BPWR|6MLV|7LIT|8RCR
29	62135 33133	   	286.90	DCR|3VULN|1LIT|1MLV|2ASPD|1DMG	1DUST|29aVULN|3DMG|45ASPD|6MLV|7LIT|8RCR
30	33312 65242	 * 	286.83	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1FEWX|2TLV|34LIT|5VULN|6MLV|7CDMG|8RCR|9DMG|aFLTARM
31	32141 33146	   	286.24	DCR|1LIT|2VULN|2DMG|1MLV|1AART|1ASPD	1FEWX|25VULN|35DMG|4NUKE|5BPWR|6MLV|7LIT|8RCR|9ASPD|aAART
32	32332 52124	   	286.05	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1FEWX|29VULN|3MLV|48ASPD|57DMG|6RCR|aLIT
33	32151 13532	   	285.54	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD|1CDMG	1FEWX|25VULN|35DMG|4RMIN|5BPWR|6CDMG|7RCR|8MLV|9ASPD|aLIT
34	62151 13532	   	285.44	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD|1CDMG	1DUST|25VULN|35DMG|4RMIN|5BPWR|6CDMG|7RCR|8MLV|9ASPD|aLIT
35	62132 33143	   	282.35	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1DUST|2aVULN|35DMG|49ASPD|6MLV|7LIT|8RCR
36	62332 13143	   	282.35	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1DUST|2aVULN|3MLV|49ASPD|56DMG|7LIT|8RCR
37	22151 16532	   	281.94	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD|1CDMG	1LWND|25VULN|35DMG|4RMIN|5BPWR|6CDMG|7ASPD|8MLV|9RCR|aLIT
38	62146 33133	   	280.03	DCR|2MLV|3VULN|1LIT|1DMG	1DUST|29aVULN|3DMG|4NUKE|56MLV|7LIT|8RCR
39	32123 13626	 * 	279.22	DCR|2LIT|2VULN|2DMG|1MLV	1FEWX|25VULN|36DMG|4LHND|79LIT|8RCR|aMLV
40	32141 63126	   	279.22	DCR|2LIT|2VULN|2DMG|1MLV	1FEWX|25VULN|35DMG|4NUKE|5BPWR|6RMIN|79LIT|8RCR|aMLV
41	32223 13626	   	279.22	DCR|2LIT|2VULN|2DMG|1MLV	1FEWX|25VULN|3LHND|46DMG|79LIT|8RCR|aMLV
