0	Index      	 *	Score 	Summary	Detail	
1	11633 24523	 * 	264.75	橙橙1易伤3时间1矿等1全技能	1赏金邻近2额外掉落369时间4矿等5易伤78核a全技能
2	11633 24512	   	255.09	橙橙1易伤3时间1矿等	1赏金邻近2额外掉落36a时间4矿等5易伤78核9最后敌人
3	11633 24521	   	255.09	橙橙1易伤3时间1矿等	1赏金邻近2额外掉落369时间4矿等5易伤78核a金币生成
4	11633 24532	   	255.09	橙橙1易伤3时间1矿等	1赏金邻近2额外掉落36a时间4矿等5易伤78核9低血量敌人
5	11633 24522	   	254.99	橙橙1易伤3时间1矿等1挖怪	1赏金邻近2额外掉落369时间4矿等5易伤78核a挖怪
6	55123 33333	 * 	254.75	紫橙2伤害1易伤2平台1攻速	13平台2a伤害49核5基础对愈6机枪对壮7攻速8易伤
7	63161 12333	   	254.45	橙橙1易伤1攻速3策反1全技能	123策反4立即金币5全技能69核7雷电8攻速a易伤
8	11514 41111	 * 	253.56	橙橙2易伤1平台	1赏金邻近2额外掉落36易伤4敌人爆炸5赏金塔7双倍矿8a核9平台
9	23336 22633	   	253.36	橙橙2易伤1平台	1最后敌人2低血量敌人3双倍秒伤4雷电5掉矿6a易伤79核8平台
10	55123 33332	   	250.81	紫橙1易伤1伤害2平台1攻速1暴击	13平台2伤害49核5基础对愈6机枪对壮7攻速8易伤a暴击
11	11633 24511	   	250.08	橙橙1易伤1矿等2时间	1赏金邻近2额外掉落36时间4矿等5易伤78核9最后敌人a等级
12	11633 24531	   	250.08	橙橙1易伤1矿等2时间	1赏金邻近2额外掉落36时间4矿等5易伤78核9低血量敌人a等级
13	11633 24513	   	249.98	橙橙1易伤1矿等2时间	1赏金邻近2额外掉落36时间4矿等5易伤78核9最后敌人a双倍秒伤
14	11633 24533	   	249.98	橙橙1易伤1矿等2时间	1赏金邻近2额外掉落36时间4矿等5易伤78核9低血量敌人a双倍秒伤
15	11533 34522	   	249.98	橙橙1易伤1矿等2时间	1赏金邻近2额外掉落3易伤4矿等5激光减费6基地爆炸78核9a时间
16	55123 16223	 * 	249.81	紫橙2易伤1伤害2平台	13平台2伤害4a核5基础对愈6立即金币78易伤9基地爆炸
17	11533 34512	   	243.43	橙橙1易伤1矿等	1赏金邻近2额外掉落3易伤4矿等5激光减费6基地爆炸78核9最后敌人a时间
18	11533 34521	   	243.43	橙橙1易伤1矿等	1赏金邻近2额外掉落3易伤4矿等5激光减费6基地爆炸78核9时间a等级
19	11533 34523	   	243.33	橙橙1易伤1矿等	1赏金邻近2额外掉落3易伤4矿等5激光减费6基地爆炸78核9时间a双倍秒伤
20	11554 21111	   	242.21	橙橙1易伤2时间1平台	1赏金邻近2额外掉落3易伤46时间5赏金塔7双倍矿8a核9平台
21	51423 32613	 * 	241.89	紫橙1易伤2攻速2全技能1平台	1平台2敌人爆炸3掉矿48核56攻速7a全技能9易伤
22	52212 62214	   	240.90	橙橙1易伤1暴击1平台	1平台2金币生成3暴击4赏金塔59基地爆炸6易伤7a核8散射对喷气
23	52212 62224	   	240.90	橙橙1易伤1暴击1平台	1平台2金币生成3暴击4赏金塔5基地爆炸6易伤7a核8散射对喷气9立即金币
24	52212 62234	   	240.90	橙橙1易伤1暴击1平台	1平台2金币生成3暴击4赏金塔5基地爆炸6易伤7a核8散射对喷气9双倍矿
25	14336 52434	   	239.45	橙橙1易伤1暴击	1赏金邻近2挖尘3敌人爆炸4暴击5时间6加一78核9立即金币a易伤
26	14433 52434	   	239.45	橙橙1易伤1暴击	1赏金邻近2挖尘3时间4暴击5敌人爆炸6加一78核9立即金币a易伤
27	15411 11132	 * 	238.30	橙2易伤2矿等2攻速1暴击1平台	1赏金邻近27攻速37易伤4雷电5等级67矿等7序列升级8平台9暴击a核
28	55122 22332	   	237.16	紫橙1易伤1伤害2平台1暴击	13平台2伤害49核5技能6加农对毒7加农对壮8易伤a暴击
29	55122 22333	   	237.16	紫橙1易伤1伤害2平台1攻速	13平台2伤害49核5技能6加农对毒7加农对壮8易伤a攻速
30	55123 33334	   	237.16	紫橙1易伤1伤害2平台1攻速	13平台2伤害49核5基础对愈6机枪对壮7攻速8易伤a额外掉落
31	55123 33335	   	237.16	紫橙1易伤1伤害2平台1攻速	13平台2伤害49核5基础对愈6机枪对壮7攻速8易伤a赏金邻近
32	55123 42332	   	237.16	紫橙1易伤1伤害2平台1暴击	13平台2伤害49核5基础对愈6技能7加农对壮8易伤a暴击
33	55123 42333	   	237.16	紫橙1易伤1伤害2平台1攻速	13平台2伤害49核5基础对愈6技能7加农对壮8易伤a攻速
34	55123 33331	   	237.06	紫橙1易伤1伤害2平台1攻速	13平台2伤害49核5基础对愈6机枪对壮7攻速8易伤a挖尘
35	11633 24123	 * 	235.75	橙2易伤2矿等3时间1伤害	1赏金邻近2额外掉落368时间48矿等58易伤7核8序列升级9伤害a核弹
36	22232 24441	   	235.56	橙橙1易伤1平台	1最后敌人2易伤3低血量敌人4双倍物品5时间6平台7敌人爆炸89核a基地爆炸
37	22232 24442	   	235.56	橙橙1易伤1平台	1最后敌人2易伤3低血量敌人4双倍物品5时间6平台7敌人爆炸89核a等级
38	22232 24443	   	235.56	橙橙1易伤1平台	1最后敌人2易伤3低血量敌人4双倍物品5时间6平台7敌人爆炸89核a赏金塔
39	12431 34523	   	235.17	橙橙1易伤1平台2卖塔	1赏金邻近2基地爆炸3时间4低血量敌人5易伤67卖塔8a核9平台
40	11533 34511	   	235.12	橙橙1易伤1矿等	1赏金邻近2额外掉落3易伤4矿等5激光减费6基地爆炸78核9最后敌人a等级
41	11533 34533	   	235.12	橙橙1易伤1矿等	1赏金邻近2额外掉落3易伤4矿等5激光减费6基地爆炸78核9等级a低血量敌人
42	11533 34513	   	235.02	橙橙1易伤1矿等1挖怪	1赏金邻近2额外掉落3易伤4矿等5激光减费6基地爆炸78核9最后敌人a挖怪
43	11533 34531	   	235.02	橙橙1易伤1矿等	1赏金邻近2额外掉落3易伤4矿等5激光减费6基地爆炸78核9等级a掉矿
44	11533 34532	   	235.02	橙橙1易伤1矿等	1赏金邻近2额外掉落3易伤4矿等5激光减费6基地爆炸78核9等级a挖尘
45	63161 12332	 * 	234.81	橙橙2攻速3策反1全技能	123策反4立即金币5全技能69核7雷电8a攻速
