0	Index      	 *	Score 	Summary	Detail	
1	12361 11414	 * 	306.88	DCR|DCR|3VULN|1TLV	138VULN|2FLTARM|4MDPS|5CGEN|6TLV|7aRCR|9RPLT
2	12365 12241	 * 	302.31	DCR|4VULN|2TLV|1AEPOI	138aVULN|2FLTARM|4MDPS|56TLV|7RCR|9AEPOI
3	12365 12253	   	302.31	DCR|4VULN|2TLV|1DMG	138aVULN|2FLTARM|4MDPS|56TLV|7RCR|9DMG
4	36121 33114	   	297.91	DCR|DCR|1TLV|1VULN|1AEPOI|2DUR|1ASPD	15DUR|2ASPD|3CGEN|4AEPOI|6TLV|7aRCR|8FEWX|9VULN
5	36121 33214	   	297.91	DCR|DCR|1TLV|1VULN|1AEPOI|2DUR|1ASPD	15DUR|2ASPD|3CGEN|4AEPOI|6TLV|7aRCR|8BEXP|9VULN
6	34321 33114	   	297.81	DCR|DCR|1TLV|1VULN|1AEPOI|2DUR|1ASPD	15DUR|2ERES|3ASPD|4AEPOI|6TLV|7aRCR|8FEWX|9VULN
7	34321 33214	   	297.81	DCR|DCR|1TLV|1VULN|1AEPOI|2DUR|1ASPD	15DUR|2ERES|3ASPD|4AEPOI|6TLV|7aRCR|8BEXP|9VULN
8	36121 33414	   	297.81	DCR|DCR|1TLV|1VULN|1AEPOI|2DUR|1ASPD	15DUR|2ASPD|3CGEN|4AEPOI|6TLV|7aRCR|8AETHUN|9VULN
9	34321 33414	   	297.71	DCR|DCR|1TLV|1VULN|1AEPOI|2DUR|1ASPD	15DUR|2ERES|3ASPD|4AEPOI|6TLV|7aRCR|8AETHUN|9VULN
10	12365 12262	   	292.26	DCR|3VULN|2TLV|1AEFBLL|1AART	138VULN|2FLTARM|4MDPS|56TLV|7RCR|9AART|aAEFBLL
11	12151 11414	   	291.95	DCR|DCR|2VULN|1TLV	18VULN|2FLTARM|3LHND|4DUR|5CGEN|6TLV|7aRCR|9RPLT
12	12211 11414	   	291.95	DCR|DCR|2VULN|1TLV	18VULN|2FLTARM|3DUR|4FEWX|5CGEN|6TLV|7aRCR|9RPLT
13	12263 11414	   	291.95	DCR|DCR|2VULN|1TLV	18VULN|2FLTARM|3DUR|4RMIN|5LHND|6TLV|7aRCR|9RPLT
14	12124 12414	   	291.85	DCR|DCR|2VULN|1TLV	14VULN|2FLTARM|3LHND|5TLV|6DUR|7aRCR|8ERES|9RPLT
15	12155 12241	   	291.02	DCR|3VULN|2TLV|1AEPOI	18aVULN|2FLTARM|3LHND|4DUR|56TLV|7RCR|9AEPOI
16	12155 12253	   	291.02	DCR|3VULN|2TLV|1DMG	18aVULN|2FLTARM|3LHND|4DUR|56TLV|7RCR|9DMG
17	12215 12241	   	291.02	DCR|3VULN|2TLV|1AEPOI	18aVULN|2FLTARM|3DUR|4FEWX|56TLV|7RCR|9AEPOI
18	12215 12253	   	291.02	DCR|3VULN|2TLV|1DMG	18aVULN|2FLTARM|3DUR|4FEWX|56TLV|7RCR|9DMG
19	36351 33114	 * 	290.30	DCR|DCR|1TLV|1VULN|2ASPD|2DUR	15DUR|23ASPD|4CGEN|6TLV|7aRCR|8FEWX|9VULN
20	36351 33214	   	290.30	DCR|DCR|1TLV|1VULN|2ASPD|2DUR	15DUR|23ASPD|4CGEN|6TLV|7aRCR|8BEXP|9VULN
21	13511 63342	   	289.23	DCR|4VULN|1TLV|1AEFBLL|1DMG	1567VULN|2LIT|3AEFBLL|4MBVNT|8TLV|9RCR|aDMG
22	36125 33114	   	288.77	DCR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1DUR|2ASPD|3CGEN|4AEPOI|5AEWIND|6TLV|7aRCR|8FEWX|9VULN
23	36125 33214	   	288.77	DCR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1DUR|2ASPD|3CGEN|4AEPOI|5AEWIND|6TLV|7aRCR|8BEXP|9VULN
24	34325 33114	   	288.67	DCR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1DUR|2ERES|3ASPD|4AEPOI|5AEWIND|6TLV|7aRCR|8FEWX|9VULN
