0	Index      	 *	Score 	Summary	Detail	
1	54162 12323	 * 	282.81	DCR|4VULN|1TLV|1DMG|1CDMG	1235VULN|4CANHEL|6CDMG|7DMG|8TLV|9CGEN|aRCR
2	54132 11363	 * 	282.71	DCR|4VULN|1TLV|1AEBURN|1CDMG|1NUKE	123aVULN|4AEBURN|5CDMG|6NUKE|7TLV|8VENFST|9RCR
3	54132 11361	 * 	281.73	DCR|3VULN|1TLV|1DMG|1AEBURN|1CDMG|1NUKE	123VULN|4AEBURN|5CDMG|6NUKE|7TLV|8VENFST|9RCR|aDMG
4	54111 21184	   	279.71	DCR|3VULN|1TLV|1DMG|1ASPD|1AART	123VULN|4ASPD|5MBVNT|6DMG|7RAT|8TLV|9RCR|aAART
5	54111 25142	   	275.31	DCR|3VULN|1TLV|1DMG|1ASPD|1CDMG	123VULN|4ASPD|5MBVNT|6DMG|7TLV|8MDPS|9RCR|aCDMG
6	63133 12333	 * 	274.07	ACR|DCR|2TLV|1AEFBLL|1DMG	1AAC|27RCR|3MLV|4AEFBLL|58CGEN|6DMG|9aTLV
7	63133 12633	   	274.07	ACR|DCR|2TLV|1AEFBLL|1DMG	1AAC|27RCR|38MLV|4AEFBLL|5CGEN|6DMG|9aTLV
8	63153 12333	 * 	274.07	ACR|DCR|2TLV|1DMG|1AEPOI	1AAC|27RCR|3MLV|4AEPOI|58CGEN|6DMG|9aTLV
9	63153 12633	   	274.07	ACR|DCR|2TLV|1DMG|1AEPOI	1AAC|27RCR|38MLV|4AEPOI|5CGEN|6DMG|9aTLV
10	63134 12633	   	273.97	ACR|DCR|2TLV|1AEFBLL|1DMG	1AAC|27RCR|38MLV|4AEFBLL|5ERES|6DMG|9aTLV
11	21324 33286	 * 	272.49	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1ERES|2TLV|3ASPD|4BEXP|5MBVNT|68RCR|7BASICY|9CDMG|aVULN
12	62323 35632	 * 	271.59	DCR|DCR|2TLV|1VULN|1NUKE	1AAC|26RCVC|3NUKE|4VULN|5DMSP|78RCR|9aTLV
13	54131 12134	   	271.42	DCR|3VULN|1TLV|1AEBURN|1ASPD|1DUR	123VULN|4AEBURN|5DUST|6LIT|7DUR|8TLV|9ASPD|aRCR
14	21324 33274	 * 	271.29	DCR|DCR|1TLV|1VULN|2ASPD	1ERES|2TLV|39ASPD|4BEXP|5MBVNT|68RCR|7BASICY|aVULN
15	21324 37274	   	271.29	DCR|DCR|1TLV|1VULN|2ASPD	1ERES|2TLV|39ASPD|4BEXP|5MBVNT|68RCR|7SPLARM|aVULN
