0	Index      	 *	Score 	Summary	Detail	
1	54333 23253	 * 	303.13	DCR|2TLV|2VULN|3DMG|1AEBURN	1BELT|259DMG|3AEBURN|4NUKE|6DMSP|79TLV|89VULN|9BPWR|aRCR
2	11115 33365	 * 	302.12	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MULFIG|aDUR
3	21613 63322	 * 	300.93	ACR|2TLV|2VULN|2DMG|1AEPOI|1ASPD	1DUST|2AEPOI|3aTLV|4RCR|5aDMG|6MULARM|7aVULN|8MULFIG|9ASPD|aBPWR
4	21613 63622	   	300.93	ACR|2TLV|2VULN|2DMG|1AEPOI|1ASPD	1DUST|2AEPOI|3aTLV|4RCR|5aDMG|6MULARM|7aVULN|8MSLREG|9ASPD|aBPWR
5	61115 33363	   	299.39	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1BEXP|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MULFIG|aZMB
6	21614 33622	 * 	298.60	ACR|DCR|2TLV|1VULN|1AEPOI	1DUST|2AEPOI|39TLV|48RCR|5LIT|6FLTARM|7VULN|aLHND
7	21614 33623	   	298.60	ACR|DCR|2TLV|1VULN|1AEPOI	1DUST|2AEPOI|39TLV|48RCR|5aLIT|6FLTARM|7VULN
8	21614 33621	   	298.50	ACR|DCR|2TLV|1VULN|1AEPOI	1DUST|2AEPOI|39TLV|48RCR|5LIT|6FLTARM|7VULN|aMDPS
9	21613 63142	   	297.04	ACR|2TLV|2VULN|2DMG|1AEPOI	1DUST|2AEPOI|3aTLV|4RCR|5aDMG|6MULARM|7aVULN|8DUR|9LHND|aBPWR
10	11113 33365	   	295.08	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5AIRHEA|6TLV|7VULN|8MULFIG|aDUR
11	11113 33665	   	295.08	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5AIRHEA|6TLV|7VULN|8MSLREG|aDUR
12	43336 21322	 * 	293.12	DCR|3VULN|2TLV|1AEFBLL|2DUR	1LHND|28aVULN|3AEFBLL|4LSRREG|5aTLV|6BASICY|7RCR|9aDUR|aBPWR
13	25336 21322	   	293.02	DCR|3VULN|2TLV|1AEFBLL|2DUR	1DUST|28aVULN|3AEFBLL|4LSRREG|5aTLV|6BASICY|7RCR|9aDUR|aBPWR
14	11115 33362	   	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MULFIG|aBEXP
15	11115 33363	   	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MULFIG|aRPLT
16	11115 33662	   	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MSLREG|aBEXP
17	11115 33663	   	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MSLREG|aRPLT
18	41115 33362	   	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LHND|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MULFIG|aBEXP
19	41115 33363	   	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LHND|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MULFIG|aRPLT
20	61115 33362	   	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1aBEXP|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MULFIG
21	11115 33361	   	292.36	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MULFIG|aMDPS
22	11115 33364	   	292.36	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1MSE	1LWND|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MULFIG|aMSE
23	11115 33366	   	292.36	ACR|DCR|1TLV|1VULN|1AEPOI|1DMG	1LWND|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MULFIG|aERES
24	11115 33661	   	292.36	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LWND|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MSLREG|aMDPS
25	41115 33361	   	292.36	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1LHND|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MULFIG|aMDPS
26	61115 33361	   	292.36	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI	1BEXP|2AEPOI|3DMG|49RCR|5FLTHEA|6TLV|7VULN|8MULFIG|aMDPS
27	15251 33311	 * 	292.28	DCR|DCR|2TLV|1VULN|1CDMG	1LWND|2VULN|35TLV|4FEWX|6aRCR|7CDMG|8LIT|9RAT
28	25243 32611	 * 	292.00	DCR|3VULN|2TLV|2DMG	17aDUST|279VULN|3aTLV|4ERES|57MLV|6RCR|7aBPWR|8aDMG
29	21614 13622	   	291.56	ACR|DCR|2TLV|1VULN|1AEPOI	1DUST|2AEPOI|39TLV|48RCR|5LIT|6MULFIG|7VULN|aLHND
30	21614 13623	   	291.56	ACR|DCR|2TLV|1VULN|1AEPOI	1DUST|2AEPOI|39TLV|48RCR|5aLIT|6MULFIG|7VULN
31	21614 13621	   	291.46	ACR|DCR|2TLV|1VULN|1AEPOI	1DUST|2AEPOI|39TLV|48RCR|5LIT|6MULFIG|7VULN|aMDPS
32	25423 31235	   	290.00	DCR|2TLV|2VULN|3DMG	1DUST|2aVULN|3CGEN|4ZMB|5aTLV|6RCR|7LWND|89aDMG|aBPWR
33	11115 33322	   	288.47	ACR|2VULN|1TLV|2DMG|1AEPOI|1ASPD|2FLTHEA	1LWND|2AEPOI|3aDMG|4RCR|5aFLTHEA|6TLV|7aVULN|8MULFIG|9ASPD|aBPWR
34	11115 33622	   	288.47	ACR|2VULN|1TLV|2DMG|1AEPOI|1ASPD|2FLTHEA	1LWND|2AEPOI|3aDMG|4RCR|5aFLTHEA|6TLV|7aVULN|8MSLREG|9ASPD|aBPWR
35	41115 33322	   	288.47	ACR|2VULN|1TLV|2DMG|1AEPOI|1ASPD|2FLTHEA	1LHND|2AEPOI|3aDMG|4RCR|5aFLTHEA|6TLV|7aVULN|8MULFIG|9ASPD|aBPWR
36	41115 33622	   	288.47	ACR|2VULN|1TLV|2DMG|1AEPOI|1ASPD|2FLTHEA	1LHND|2AEPOI|3aDMG|4RCR|5aFLTHEA|6TLV|7aVULN|8MSLREG|9ASPD|aBPWR
37	61115 33322	   	288.47	ACR|2VULN|1TLV|2DMG|1AEPOI|1ASPD|2FLTHEA	1BEXP|2AEPOI|3aDMG|4RCR|5aFLTHEA|6TLV|7aVULN|8MULFIG|9ASPD|aBPWR
