0	Index      	 *	Score 	Summary	Detail	
1	33163 12254	 * 	357.06	ACR|DCR|3VULN|1TLV|1AEBURN|1ASPD|1CDMG	1TLV|236VULN|4CDMG|59RCR|7ASPD|8DUR|aAEBURN
2	33163 12252	   	337.00	ACR|DCR|3VULN|1TLV|1ASPD|1CDMG	1TLV|236VULN|4CDMG|59RCR|7ASPD|8DUR|aLHND
3	33163 12255	   	337.00	ACR|DCR|3VULN|1TLV|1ASPD|1CDMG	1TLV|236VULN|4CDMG|59RCR|7ASPD|8DUR|aLIT
4	33163 12256	   	337.00	ACR|DCR|3VULN|1TLV|1ASPD|1CDMG	1TLV|236VULN|4CDMG|59RCR|7ASPD|8DUR|aAAC
5	33163 12251	   	336.90	ACR|DCR|3VULN|1TLV|1ASPD|1CDMG	1TLV|236VULN|4CDMG|59RCR|7ASPD|8DUR|aLEGI
6	33163 12253	   	336.90	ACR|DCR|3VULN|1TLV|1ASPD|1CDMG	1TLV|236VULN|4CDMG|59RCR|7ASPD|8DUR|aAETHUN
7	33125 12653	 * 	335.32	DCR|4VULN|3TLV|2ASPD|1AEPOI	19aTLV|2349VULN|5BLASTR|6RCR|7AEPOI|89ASPD|9BPWR
8	33163 11124	 * 	335.32	ACR|4VULN|3TLV|3CDMG|3RAT	18aTLV|236aVULN|489CDMG|5RCR|78aRAT|8aBPWR
9	33163 12652	   	327.24	ACR|DCR|3VULN|1TLV|1ASPD|1CDMG	1TLV|236VULN|4CDMG|59RCR|7ASPD|8DUST|aLHND
10	33163 12651	   	327.14	ACR|DCR|3VULN|1TLV|1ASPD|1CDMG	1TLV|236VULN|4CDMG|59RCR|7ASPD|8DUST|aLEGI
11	33163 12653	   	327.14	ACR|DCR|3VULN|1TLV|1ASPD|1CDMG	1TLV|236VULN|4CDMG|59RCR|7ASPD|8DUST|aAETHUN
