0	Index      	 *	Score 	Summary	Detail	
1	24153 11613	 * 	309.12	ACR|4VULN|3TLV|2AEBURN	1AAC|289aVULN|3RCR|4CANSTR|58AEBURN|678TLV|8BPWR
2	31132 66311	 * 	306.31	ACR|ACR|2TLV|2VULN|1AEFBLL|1MSE	1MSE|2CGEN|35RCR|4AEFBLL|69TLV|7BEXP|8aVULN
3	31132 64311	 * 	306.21	ACR|ACR|2TLV|2VULN|1AEFBLL|1MSE	1MSE|2CGEN|35RCR|4AEFBLL|69TLV|7DUST|8aVULN
4	24112 61412	 * 	305.60	ACR|DCR|2VULN|1TLV|1CDMG	1AAC|28VULN|3aRCR|4DUR|5LHND|6CDMG|7RAT|9TLV
5	24125 21613	   	302.80	ACR|4VULN|3TLV|2FRZICY	14AAC|289aVULN|3RCR|578TLV|68FRZICY|8BPWR
6	61132 65123	 * 	302.35	ACR|ACR|2VULN|1TLV|1AEFBLL	1FEWX|2CGEN|35RCR|4AEFBLL|6TLV|7RAT|8aVULN|9LWND
7	63132 65123	   	302.25	ACR|ACR|2VULN|1TLV|1AEFBLL	1FEWX|2ERES|35RCR|4AEFBLL|6TLV|7RAT|8aVULN|9LWND
8	56212 12311	 * 	301.71	DCR|4VULN|2TLV|3CDMG	1BELT|248aVULN|346CDMG|48BPWR|58BEXP|78TLV|9RCR
9	32232 53412	 * 	300.70	DCR|DCR|2VULN|1TLV|1DMG|1CDMG|1MSE	1MSE|2CDMG|3DMG|4LHND|58VULN|6RAT|7aRCR|9TLV
10	24153 11612	   	299.07	ACR|3TLV|3VULN|2AEBURN|1AART	1AAC|289VULN|3RCR|4CANSTR|58AEBURN|678TLV|8BPWR|aAART
11	14111 34421	 * 	298.48	DCR|2TLV|2VULN|2DMG|2AEPOI|1AART	1aAEPOI|2LHND|3aTLV|4LWND|59DMG|6AART|7RCR|8aVULN|aBPWR
12	24122 61412	   	295.84	ACR|DCR|2VULN|1TLV|1CDMG	14AAC|28VULN|3aRCR|5MDPS|6CDMG|7RAT|9TLV
13	25152 31412	   	295.84	ACR|DCR|2VULN|1TLV|1CDMG	1AAC|2DUST|3aRCR|4CDMG|5LHND|68VULN|7RAT|9TLV
14	31132 65115	   	293.66	ACR|ACR|2VULN|1TLV|1AEFBLL|2RAT|1MSE	1MSE|2CGEN|35RCR|4AEFBLL|6TLV|79RAT|8aVULN
15	33132 65115	   	293.56	ACR|ACR|2VULN|1TLV|1AEFBLL|2RAT|1MSE	1MSE|2ERES|35RCR|4AEFBLL|6TLV|79RAT|8aVULN
16	24125 21612	   	292.76	ACR|3TLV|3VULN|2FRZICY|1AART	14AAC|289VULN|3RCR|578TLV|68FRZICY|8BPWR|aAART
17	31132 66332	   	291.11	ACR|ACR|2VULN|1TLV|1AEFBLL|1AART|1MSE	1MSE|2CGEN|35RCR|4AEFBLL|6TLV|7BEXP|8aVULN|9AART
18	31132 64332	   	291.01	ACR|ACR|2VULN|1TLV|1AEFBLL|1AART|1MSE	1MSE|2CGEN|35RCR|4AEFBLL|6TLV|7DUST|8aVULN|9AART
19	32235 61412	 * 	290.91	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1CDMG|1MSE	1MSE|2CDMG|3DMG|4LHND|5AEFBLL|6RAT|7VULN|8aRCR|9TLV
20	24111 61412	   	290.30	ACR|DCR|2VULN|1TLV|1CDMG|1MSE	1AAC|28VULN|3aRCR|4DUR|5MSE|6CDMG|7RAT|9TLV
21	24133 61412	   	290.30	ACR|DCR|2VULN|1TLV|1CDMG|1MSE	1AAC|28VULN|3aRCR|4MSE|5DUR|6CDMG|7RAT|9TLV
22	31132 65116	 * 	290.01	ACR|ACR|2TLV|1VULN|1AEFBLL|2RAT|1MSE	1MSE|2CGEN|35RCR|4AEFBLL|6aTLV|79RAT|8VULN
23	33132 65116	 * 	289.91	ACR|ACR|2TLV|1VULN|1AEFBLL|2RAT|1MSE	1MSE|2ERES|35RCR|4AEFBLL|6aTLV|79RAT|8VULN
24	13561 11222	 * 	289.48	DCR|2TLV|2VULN|2ASPD|2AEPOI|2RAT	15AEPOI|2aRAT|3LIT|45VULN|5aBPWR|6aASPD|7SPLJET|8RCR|9aTLV
25	13561 15222	   	289.48	DCR|2TLV|2VULN|2ASPD|2AEPOI|2RAT	15AEPOI|2aRAT|3LIT|45VULN|5aBPWR|6aASPD|7AIRHEA|8RCR|9aTLV
26	32232 55412	 * 	288.43	DCR|DCR|1TLV|1VULN|2DMG|1CDMG|1MSE	1MSE|2CDMG|37DMG|4LHND|5VULN|6RAT|8aRCR|9TLV
27	24153 11611	   	288.07	ACR|3TLV|3VULN|2AEBURN	1AAC|289VULN|3RCR|4CANSTR|58AEBURN|678TLV|8BPWR|aLHND
28	24153 11631	   	287.97	ACR|3TLV|3VULN|2AEBURN	1AAC|28aVULN|3RCR|4CANSTR|58AEBURN|678TLV|8BPWR|9MDPS
