0	Index      	 *	Score 	Summary	Detail	
1	12223 55132	 * 	324.56	ACR|3TLV|3VULN|3ASPD|2DUR	19aTLV|2aDUR|389ASPD|4RCR|5ERES|6CGEN|79aVULN|9aBPWR
2	12224 62612	 * 	324.11	ACR|DCR|2TLV|1VULN|1DMG|2DUR|1ASPD	15TLV|28DUR|3ASPD|47RCR|6CGEN|9DMG|aVULN
3	12224 52612	   	324.01	ACR|DCR|2TLV|1VULN|1DMG|2DUR|1ASPD	15TLV|28DUR|3ASPD|47RCR|6ERES|9DMG|aVULN
4	12623 52233	 * 	318.62	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1TLV|2DUR|3DMG|47RCR|5ERES|6CGEN|89VULN|aCDMG
5	12224 62112	   	315.07	ACR|DCR|2TLV|1VULN|1DMG|1ASPD	15TLV|2DUR|3ASPD|47RCR|6CGEN|8RCVC|9DMG|aVULN
6	12623 52213	   	314.97	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	19TLV|2DUR|3DMG|47RCR|5ERES|6CGEN|8VULN|aCDMG
7	12224 52112	   	314.97	ACR|DCR|2TLV|1VULN|1DMG|1ASPD	15TLV|2DUR|3ASPD|47RCR|6ERES|8RCVC|9DMG|aVULN
8	12224 62252	   	314.97	ACR|DCR|2TLV|1VULN|1AEBURN|1ASPD	15TLV|2DUR|3ASPD|47RCR|6CGEN|8ERES|9AEBURN|aVULN
9	12224 52212	   	314.87	ACR|DCR|2TLV|1VULN|1DMG|1ASPD	15TLV|2DUR|3ASPD|47RCR|68ERES|9DMG|aVULN
10	12223 52233	   	312.21	ACR|DCR|2VULN|1TLV|1ASPD|1CDMG	1TLV|2DUR|3ASPD|47RCR|5ERES|6CGEN|89VULN|aCDMG
11	12621 21611	   	311.91	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2DUR|3DMG|48RCR|5MDPS|6RAT|7LHND|9aVULN
12	13621 22611	   	311.91	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2LHND|3DMG|48RCR|5MDPS|6RAT|7DUR|9aVULN
13	12224 62632	   	310.99	ACR|DCR|2TLV|1VULN|2DUR|1ASPD	15TLV|28DUR|3ASPD|47RCR|6CGEN|9ZMB|aVULN
14	12224 52632	   	310.89	ACR|DCR|2TLV|1VULN|2DUR|1ASPD	15TLV|28DUR|3ASPD|47RCR|6ERES|9ZMB|aVULN
15	13623 52233	   	308.96	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1TLV|2LHND|3DMG|47RCR|5ERES|6CGEN|89VULN|aCDMG
16	12223 52213	   	308.56	ACR|DCR|2TLV|1VULN|1ASPD|1CDMG	19TLV|2DUR|3ASPD|47RCR|5ERES|6CGEN|8VULN|aCDMG
17	12623 52243	 * 	306.35	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1TLV|2DUR|39DMG|47RCR|5ERES|6CGEN|8VULN|aCDMG
18	13223 55132	   	305.85	ACR|3TLV|3VULN|3ASPD	19aTLV|2aLHND|389ASPD|4RCR|5ERES|6CGEN|79aVULN|9aBPWR
19	12221 21611	   	305.50	ACR|DCR|2VULN|1TLV|1ASPD	1TLV|2DUR|3ASPD|48RCR|5MDPS|6RAT|7LHND|9aVULN
20	13221 22611	   	305.50	ACR|DCR|2VULN|1TLV|1ASPD	1TLV|2LHND|3ASPD|48RCR|5MDPS|6RAT|7DUR|9aVULN
21	13224 62112	   	305.41	ACR|DCR|2TLV|1VULN|1DMG|1ASPD	15TLV|2LHND|3ASPD|47RCR|6CGEN|8RCVC|9DMG|aVULN
22	13224 52112	   	305.31	ACR|DCR|2TLV|1VULN|1DMG|1ASPD	15TLV|2LHND|3ASPD|47RCR|6ERES|8RCVC|9DMG|aVULN
