0	Index      	 *	Score 	Summary	Detail	
1	35321 36162	 * 	243.03	ACR|2VULN|3DMG|1ASPD|2CDMG|1AART|1BEXP	1BEXP|24VULN|347DMG|4BPWR|5RCR|68CDMG|9ASPD|aAART
2	35321 35315	 * 	242.35	ACR|2VULN|3DMG|1BASARM|1BEXP|1CDMG	1BEXP|24VULN|348DMG|4BPWR|5RCR|6CDMG|7SNITOX|9RMIN|aBASARM
3	35321 34141	 * 	242.11	ACR|3VULN|3DMG|2BEXP|1ASPD|1CDMG	18BEXP|248VULN|34aDMG|48BPWR|5RCR|6CDMG|78LHND|9ASPD
4	35321 33141	   	241.91	ACR|3VULN|3DMG|2BEXP|1ASPD|1CDMG	18BEXP|248VULN|34aDMG|48BPWR|5RCR|6CDMG|78DUST|9ASPD
5	35321 34116	   	240.70	ACR|3VULN|3DMG|2BEXP|1AART|1CDMG	18BEXP|248VULN|34aDMG|48BPWR|5RCR|6CDMG|78LHND|9AART
6	35321 36316	 * 	239.42	ACR|2VULN|3DMG|2BEXP|2CDMG|1ASPD	19BEXP|24VULN|347DMG|49BPWR|5RCR|69CDMG|89CGEN|aASPD
7	35321 36161	   	239.22	ACR|2VULN|3DMG|2BEXP|2CDMG|1ASPD	1aBEXP|24VULN|347DMG|4BPWR|5RCR|68CDMG|9ASPD
8	35321 36116	 * 	236.38	ACR|3VULN|3DMG|2CDMG|1ASPD|1BEXP	1BEXP|249VULN|347DMG|4BPWR|5RCR|68CDMG|aASPD
9	35321 13411	 * 	236.01	ACR|3VULN|2ASPD|2DMG|1AART|1BEXP	1BEXP|249VULN|34DMG|4BPWR|5RCR|6MLV|7AART|8aASPD
10	35321 53121	 * 	235.50	ACR|3VULN|2ASPD|2DMG|2BEXP|1AAC	1aBEXP|24aVULN|34DMG|4aBPWR|5RCR|6MDPS|7ERES|8aASPD|9AAC
11	35321 23543	 * 	235.11	ACR|3VULN|3DMG|3BEXP|1AART	168BEXP|24aVULN|348DMG|48BPWR|5RCR|78TLV|9AART
12	35321 36114	   	233.97	ACR|3VULN|3DMG|2CDMG|1AART|1BEXP	1BEXP|249VULN|347DMG|4BPWR|5RCR|68CDMG|aAART
13	35321 34114	   	233.31	ACR|3VULN|3BEXP|2DMG|1AART|1CDMG	18aBEXP|248VULN|34DMG|48BPWR|5RCR|6CDMG|78LHND|9AART
