0	Index      	 *	Score 	Summary	Detail	
1	21325 62334	 * 	208.29	ACR|2DMG|2BEXP|1ASPD|1VULN|1AART	1DUST|2DMSP|3RCR|46BEXP|56DMG|6BPWR|7CGEN|8ASPD|9AART|aVULN
2	42333 11552	 * 	207.78	ACR|2BASARM|2VULN|2DMG	16MLV|2LHND|3aVULN|46BASARM|5RCR|6BPWR|79DMG|8DUR
3	42333 11352	   	207.68	ACR|2BASARM|2VULN|2DMG	16MLV|2LHND|3aVULN|46BASARM|5RCR|6BPWR|79DMG|8LEGI
4	61321 36235	 * 	206.61	ACR|3ASPD|2BEXP|1DMG|1CDMG	17DUR|25DMSP|3RCR|47BEXP|67aASPD|7BPWR|8CDMG|9DMG
5	42333 11514	 * 	206.52	ACR|2BASARM|1VULN|2AART|1DMG	16MLV|2LHND|3VULN|46BASARM|5RCR|6BPWR|7DMG|8DUR|9aAART
6	42333 14242	 * 	206.35	ACR|2BASARM|1VULN|1ASPD|1AART|1BEXP	16MLV|2LHND|3VULN|46BASARM|5RCR|6BPWR|7LWND|8AART|9BEXP|aASPD
7	42333 52353	   	205.19	ACR|2VULN|1BASARM|1DMG|1BEXP|1AART	1MLV|2LHND|38VULN|4BASARM|5RCR|6ZMB|7BEXP|9DMG|aAART
8	42333 11265	 * 	204.81	ACR|2BASARM|1VULN|2BEXP|1DMG	16MLV|2LHND|3VULN|46BASARM|5RCR|6BPWR|7DMG|8TLV|9aBEXP
9	61321 36236	   	204.60	ACR|2ASPD|2BEXP|1DMG|1CDMG|1AART	17DUR|25DMSP|3RCR|47BEXP|67ASPD|7BPWR|8CDMG|9DMG|aAART
10	42333 61352	 * 	204.45	ACR|3VULN|1BASARM|2DMG	1MLV|2LHND|36aVULN|4BASARM|5RCR|79DMG|8LEGI
11	42333 11354	   	203.53	ACR|2BASARM|2DMG|1VULN|1AAC	16MLV|2LHND|3VULN|46BASARM|5RCR|6BPWR|79DMG|8LEGI|aAAC
12	21325 62422	 * 	202.02	ACR|3BEXP|2DMG|1ASPD|1CDMG	1DUST|2DMSP|3RCR|468BEXP|56DMG|6BPWR|7CGEN|9CDMG|aASPD
13	61361 22211	 * 	201.89	ACR|1BASARM|2DMG|2AART	1DUR|2DMSP|3RCR|4LHND|57AART|6RPLT|8BASARM|9aDMG
14	42333 32355	 * 	201.47	ACR|2VULN|1BASARM|2BEXP|1DMG	1MLV|2LHND|38VULN|4BASARM|5RCR|6AAC|7aBEXP|9DMG
15	21325 62533	 * 	201.18	ACR|3DMG|2VULN|2BEXP	1DUST|2DMSP|3RCR|46BEXP|569DMG|6BPWR|7CGEN|8aVULN
16	23156 61131	 * 	200.51	DCR|1BASARM|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1DUST|2CDMG|3LIT|4BASARM|5BEXP|6VULN|79ASPD|8DMG|aRCR
17	21325 66111	 * 	198.92	ACR|3DMG|3BEXP|1VULN	17DUST|2DMSP|3RCR|467BEXP|567DMG|67BPWR|8AAC|9MLV|aVULN
18	42333 52314	 * 	198.72	ACR|2VULN|1BASARM|2AART|1BEXP	1MLV|2LHND|38VULN|4BASARM|5RCR|6ZMB|7BEXP|9aAART
19	42333 32314	   	198.62	ACR|2VULN|1BASARM|2AART|1BEXP	1MLV|2LHND|38VULN|4BASARM|5RCR|6AAC|7BEXP|9aAART
20	42333 11542	 * 	198.27	ACR|2BASARM|3VULN|1DMG	16MLV|2LHND|39aVULN|46BASARM|5RCR|6BPWR|7DMG|8DUR
21	42333 11342	   	198.17	ACR|2BASARM|3VULN|1DMG	16MLV|2LHND|39aVULN|46BASARM|5RCR|6BPWR|7DMG|8LEGI
22	42333 15342	 * 	198.17	ACR|2BASARM|3VULN|1ASPD	16MLV|2LHND|39aVULN|46BASARM|5RCR|6BPWR|7ASPD|8LEGI
23	42333 11131	 * 	197.80	ACR|2BASARM|1VULN|1ASPD|1DMG	16MLV|289LHND|3VULN|46BASARM|5RCR|6BPWR|7DMG|aASPD
