0	Index      	 *	Score 	Summary	Detail	
1	54234 33311	 * 	245.31	ACR|3VULN|2ASPD|2DMG|2CDMG|1BEXP	1RPLT|28DMG|39CDMG|4RCR|568VULN|78ASPD|8BPWR|aBEXP
2	54234 13322	 * 	239.77	ACR|2VULN|3DMG|2ASPD|1BEXP|1CDMG	1RPLT|268DMG|3CDMG|4RCR|58VULN|78ASPD|8BPWR|9BEXP|aDUR
3	54234 13321	   	239.67	ACR|2VULN|3DMG|2ASPD|1BEXP|1CDMG	1RPLT|268DMG|3CDMG|4RCR|58VULN|78ASPD|8BPWR|9BEXP|aLEGI
4	54234 13323	   	239.53	ACR|2VULN|3DMG|2ASPD|1BEXP|1CDMG|1SELL	1RPLT|268DMG|3CDMG|4RCR|58VULN|78ASPD|8BPWR|9BEXP|aSELL
5	54234 33321	 * 	234.96	ACR|4VULN|2ASPD|2DMG|1CDMG	1RPLT|28DMG|3CDMG|4RCR|568aVULN|78ASPD|8BPWR|9AME
6	54236 33311	   	232.89	ACR|2VULN|2ASPD|2DMG|2CDMG|1BEXP	1RPLT|28DMG|39CDMG|4RCR|5RCVC|68VULN|78ASPD|8BPWR|aBEXP
7	54234 33312	   	231.65	ACR|3VULN|2ASPD|2DMG|2CDMG	1RPLT|28DMG|39CDMG|4RCR|568VULN|78ASPD|8BPWR|aRMIN
8	54234 33313	   	231.55	ACR|3VULN|2ASPD|2DMG|2CDMG	1RPLT|28DMG|39CDMG|4RCR|568VULN|78ASPD|8BPWR|aERES
9	54234 13311	   	226.12	ACR|2VULN|3DMG|2ASPD|1CDMG	1RPLT|268DMG|3CDMG|4RCR|58VULN|78ASPD|8BPWR|9LWND|aDMSP
10	54234 13313	   	226.12	ACR|2VULN|3DMG|2ASPD|1CDMG	1RPLT|268DMG|3CDMG|4RCR|58VULN|78ASPD|8BPWR|9LWND|aRMIN
11	54234 13331	   	226.02	ACR|2VULN|3DMG|2ASPD|1CDMG	1RPLT|268DMG|3CDMG|4RCR|58VULN|78ASPD|8BPWR|9LEGI|aDMSP
12	54234 13333	   	226.02	ACR|2VULN|3DMG|2ASPD|1CDMG	1RPLT|268DMG|3CDMG|4RCR|58VULN|78ASPD|8BPWR|9LEGI|aRMIN
13	54236 33321	   	224.62	ACR|3VULN|2ASPD|2DMG|1CDMG	1RPLT|28DMG|3CDMG|4RCR|5RCVC|68aVULN|78ASPD|8BPWR|9AME
14	54234 33331	   	222.26	ACR|3VULN|2ASPD|2DMG|1CDMG	1RPLT|28DMG|3CDMG|4RCR|568VULN|78ASPD|8BPWR|9LWND|aZMB
15	54234 33333	   	222.26	ACR|3VULN|2ASPD|2DMG|1CDMG	1RPLT|28DMG|3CDMG|4RCR|568VULN|78ASPD|8BPWR|9LWND|aMLV
16	54234 33322	   	222.16	ACR|3VULN|2ASPD|2DMG|1CDMG	1RPLT|28DMG|3CDMG|4RCR|568VULN|78ASPD|8BPWR|9AME|aCGEN
17	54234 33323	   	222.06	ACR|3VULN|2ASPD|2DMG|1CDMG	1RPLT|28DMG|3CDMG|4RCR|568VULN|78ASPD|8BPWR|9AME|aERES
18	54234 33332	   	222.02	ACR|3VULN|2ASPD|2DMG|1CDMG|1SELL	1RPLT|28DMG|3CDMG|4RCR|568VULN|78ASPD|8BPWR|9LWND|aSELL
19	54236 33312	   	219.24	ACR|2VULN|2ASPD|2DMG|2CDMG	1RPLT|28DMG|39CDMG|4RCR|5RCVC|68VULN|78ASPD|8BPWR|aRMIN
20	54236 33313	   	219.14	ACR|2VULN|2ASPD|2DMG|2CDMG	1RPLT|28DMG|39CDMG|4RCR|5RCVC|68VULN|78ASPD|8BPWR|aERES
