0	Index      	 *	Score 	Summary	Detail	
1	55113 42316	 * 	255.26	ACR|1BASARM|2VULN|2ASPD|1DMG|2CDMG	19CDMG|2RCR|3MBVNT|49ASPD|5BASARM|6BELT|7DUR|89VULN|9BPWR|aDMG
2	55123 43533	 * 	253.44	ACR|2BASARM|2DMG|2BEXP|2CDMG	19CDMG|2RCR|3MBVNT|47DMG|59BASARM|6BELT|89BEXP|9BPWR|aAAC
3	55113 42311	   	251.12	ACR|1BASARM|2VULN|2ASPD|2CDMG|1AART	19CDMG|2RCR|3MBVNT|49ASPD|5BASARM|6BELT|7DUR|89VULN|9BPWR|aAART
4	55113 46311	   	251.12	ACR|1BASARM|2VULN|2ASPD|2CDMG|1AART	19CDMG|2RCR|3MBVNT|49ASPD|5BASARM|6BELT|7LHND|89VULN|9BPWR|aAART
5	55123 42311	 * 	251.12	ACR|1BASARM|2VULN|2DMG|2CDMG|1AART	19CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7DUR|89VULN|9BPWR|aAART
6	55123 44311	   	251.12	ACR|1BASARM|2VULN|2DMG|2CDMG|1AART	19CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7LHND|89VULN|9BPWR|aAART
7	55123 42316	 * 	250.85	ACR|3DMG|1BASARM|2VULN|2CDMG	19CDMG|2RCR|3MBVNT|49aDMG|5BASARM|6BELT|7DUR|89VULN|9BPWR
8	55123 44316	   	250.85	ACR|3DMG|1BASARM|2VULN|2CDMG	19CDMG|2RCR|3MBVNT|49aDMG|5BASARM|6BELT|7LHND|89VULN|9BPWR
9	55113 43136	 * 	250.36	ACR|2BASARM|2DMG|1ASPD|2CDMG|1BEXP	19CDMG|2RCR|3MBVNT|4ASPD|59BASARM|6BELT|79DMG|8RMIN|9BPWR|aBEXP
10	55113 43714	 * 	246.85	ACR|1BASARM|2ASPD|2DMG|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|4aASPD|5BASARM|6BELT|79DMG|8BEXP
11	55123 43624	   	246.85	ACR|1BASARM|2ASPD|2DMG|1BEXP|1CDMG	1CDMG|2RCR|3MBVNT|47DMG|5BASARM|6BELT|8aASPD|9BEXP
12	55123 42318	   	246.54	ACR|1BASARM|2VULN|2DMG|2CDMG|1BEXP	19CDMG|2RCR|3MBVNT|49DMG|5BASARM|6BELT|7DUR|89VULN|9BPWR|aBEXP
