0	Index      	 *	Score 	Summary	Detail	
1	22113 15633	 * 	248.13	ACR|1BASARM|2ASPD|2DMG|2BEXP	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9aASPD
2	22113 15643	 * 	241.90	ACR|1BASARM|2DMG|2BEXP|1VULN|1CDMG	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9CDMG|aVULN
3	22113 15631	   	238.85	ACR|1BASARM|2DMG|2BEXP|1ASPD|1AAC	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9ASPD|aAAC
4	22113 55633	   	233.20	ACR|1BASARM|2ASPD|2DMG|1BEXP	1BELT|2RCR|3LWND|46DMG|5BEXP|7MDPS|8BASARM|9aASPD
5	22113 15623	   	230.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9CGEN|aASPD
6	22113 15632	   	230.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9ASPD|aLIT
7	22113 15636	   	230.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9ASPD|aRMIN
8	22113 15653	   	230.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9FEWX|aASPD
9	22113 15613	   	230.45	ACR|1BASARM|2DMG|2BEXP|1ASPD	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9DUST|aASPD
10	22113 15634	   	230.45	ACR|1BASARM|2DMG|2BEXP|1ASPD	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9ASPD|aERES
11	22113 15635	   	230.45	ACR|1BASARM|2DMG|2BEXP|1ASPD	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9ASPD|aAEFBLL
12	54112 32353	 * 	230.13	ACR|1BASARM|2DMG|2BEXP|1AART	16aDUR|2RCR|3aDMG|4ERES|5AART|7LEGI|8BASARM|9aBEXP|aBPWR
13	54132 32353	   	230.13	ACR|1BASARM|2DMG|2BEXP|1AART	16aDUR|2RCR|3aDMG|4AME|5AART|7LEGI|8BASARM|9aBEXP|aBPWR
14	54113 22353	   	228.03	ACR|1BASARM|2DMG|2BEXP|1AART	1aDUR|2RCR|35DMG|45aERES|5aBPWR|6DUST|7AART|8BASARM|9aBEXP
15	54133 22353	   	228.03	ACR|1BASARM|2DMG|2BEXP|1AART	1aDUR|2RCR|35DMG|45aAME|5aBPWR|6DUST|7AART|8BASARM|9aBEXP
16	64113 22353	   	228.03	ACR|1BASARM|2DMG|2BEXP|1AART	1aFEWX|2RCR|35DMG|45aERES|5aBPWR|6DUST|7AART|8BASARM|9aBEXP
17	64133 22353	   	228.03	ACR|1BASARM|2DMG|2BEXP|1AART	1aFEWX|2RCR|35DMG|45aAME|5aBPWR|6DUST|7AART|8BASARM|9aBEXP
18	54113 22351	   	227.93	ACR|1BASARM|2DMG|2BEXP|1AART	1DUR|2RCR|35DMG|45ERES|5BPWR|6DUST|7AART|8BASARM|9aBEXP
19	54133 22351	   	227.93	ACR|1BASARM|2DMG|2BEXP|1AART	1DUR|2RCR|35DMG|45AME|5BPWR|6DUST|7AART|8BASARM|9aBEXP
20	64113 22351	   	227.93	ACR|1BASARM|2DMG|2BEXP|1AART	1FEWX|2RCR|35DMG|45ERES|5BPWR|6DUST|7AART|8BASARM|9aBEXP
21	64133 22351	   	227.93	ACR|1BASARM|2DMG|2BEXP|1AART	1FEWX|2RCR|35DMG|45AME|5BPWR|6DUST|7AART|8BASARM|9aBEXP
22	54122 22353	   	227.93	ACR|1BASARM|2DMG|2BEXP|1AART	1DUR|2RCR|3aDMG|4AEMAG|5ERES|6aDUST|7AART|8BASARM|9aBEXP|aBPWR
23	64122 22353	   	227.93	ACR|1BASARM|2DMG|2BEXP|1AART	1FEWX|2RCR|3aDMG|4AEMAG|5ERES|6aDUST|7AART|8BASARM|9aBEXP|aBPWR
24	22431 15222	 * 	225.88	ACR|2BASARM|3ASPD|1CDMG	1BELT|2RCR|34RMIN|579ASPD|69AIRARM|89BASARM|9BPWR|aCDMG
25	22113 15641	   	224.13	ACR|1BASARM|2DMG|2BEXP|1CDMG	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9CDMG|aRPLT
26	22113 15651	   	224.13	ACR|1BASARM|2DMG|2BEXP|1CDMG	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9FEWX|aCDMG
27	22113 15611	   	224.03	ACR|1BASARM|2DMG|2BEXP|1CDMG	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9DUST|aCDMG
28	22113 15642	   	224.03	ACR|1BASARM|2DMG|2BEXP|1CDMG	1BELT|2RCR|3LWND|46DMG|56BEXP|6BPWR|7MDPS|8BASARM|9CDMG|aAIRHEL
29	22113 55631	   	223.91	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AAC	1BELT|2RCR|3LWND|46DMG|5BEXP|7MDPS|8BASARM|9ASPD|aAAC
30	22143 32242	 * 	222.03	ACR|1BASARM|2DMG|1VULN|1ASPD	1BELT|2RCR|3LWND|4LIT|59DMG|6ASPD|7RCVC|8VULN|aBASARM
31	22113 15616	 * 	221.65	ACR|1BASARM|3BEXP|2DMG	1BELT|2RCR|3LWND|46DMG|56aBEXP|6BPWR|7MDPS|8BASARM|9DUST
32	22431 32133	 * 	221.45	ACR|3ASPD|2DMG|2VULN	1BELT|2RCR|34RMIN|59aASPD|6LHND|7aDMG|8aVULN|aBPWR
33	54113 22352	   	221.40	ACR|1BASARM|2DMG|1AART|1BEXP|1AAC	1DUR|2RCR|35DMG|45ERES|5BPWR|6DUST|7AART|8BASARM|9BEXP|aAAC
34	54133 22352	   	221.40	ACR|1BASARM|2DMG|1AART|1BEXP|1AAC	1DUR|2RCR|35DMG|45AME|5BPWR|6DUST|7AART|8BASARM|9BEXP|aAAC
35	64113 22352	   	221.40	ACR|1BASARM|2DMG|1AART|1BEXP|1AAC	1FEWX|2RCR|35DMG|45ERES|5BPWR|6DUST|7AART|8BASARM|9BEXP|aAAC
36	64133 22352	   	221.40	ACR|1BASARM|2DMG|1AART|1BEXP|1AAC	1FEWX|2RCR|35DMG|45AME|5BPWR|6DUST|7AART|8BASARM|9BEXP|aAAC
37	22113 26543	   	221.09	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1BELT|2RCR|3LWND|4DMG|58BEXP|6AME|7BASARM|9CDMG|aAART
38	22143 31242	   	219.82	ACR|1BASARM|2DMG|1VULN|1ASPD	1BELT|2RCR|3LWND|47LIT|59DMG|6ASPD|8VULN|aBASARM
39	22143 33242	   	219.72	ACR|1BASARM|2DMG|1VULN|1ASPD	1BELT|2RCR|3LWND|4LIT|59DMG|6ASPD|7AEMAG|8VULN|aBASARM
40	22111 14633	   	219.55	ACR|1BASARM|2ASPD|2DMG	1BELT|2RCR|3LWND|45DMG|6MDPS|7DUR|8BASARM|9aASPD
