0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42315 31622	5	 * 	270.68	橙5易伤1等级1时间1攻速	15基地爆炸23456易伤5序列升级7核8攻速9等级a时间
2	22312 32515	6	 * 	269.75	橙4易伤2伤害1等级	1敌人爆炸2346易伤5雷电78伤害9核a等级
3	42312 32515	6	   	269.75	橙4易伤2伤害1等级	1基地爆炸2346易伤5雷电78伤害9核a等级
4	32123 13161	9	 * 	266.51	橙3易伤3时间2伤害	139掉矿267时间459易伤89伤害9序列升级a核
5	42315 31324	5	 * 	263.49	橙5易伤1伤害1等级	15基地爆炸23456易伤5序列升级7核8策反9等级a伤害
6	22315 33488	10	   	263.39	橙5易伤1伤害1等级	15敌人爆炸23459易伤5序列升级6加一7核8等级a伤害
7	22315 11433	5	 * 	262.20	橙5易伤2等级2雷电	156敌人爆炸2345a易伤5a序列升级7核8a等级9a雷电
8	42315 32252	5	   	261.40	橙5易伤1等级1全技能	15基地爆炸23456易伤5序列升级7等级8雷电9核a全技能
9	22315 33287	8	   	260.79	橙5易伤1伤害1暴击	15敌人爆炸2345a易伤5序列升级6加一7核8暴击9伤害
10	42315 32483	8	   	260.79	橙5易伤1伤害1暴击	15基地爆炸23457易伤5序列升级6加一8暴击9核a伤害
11	21633 33521	4	   	260.77	橙3易伤1伤害1等级1时间1暴击1全技能	1敌人爆炸2时间3全技能469易伤5暴击7伤害8核a等级
12	21633 33521	3	   	260.77	橙3易伤1伤害1等级1时间1暴击1全技能	1敌人爆炸2时间3全技能469易伤5暴击7伤害8核a等级
13	22613 33521	4	   	260.77	橙3易伤1伤害1等级1时间1暴击1全技能	1敌人爆炸269易伤3全技能4时间5暴击7伤害8核a等级
14	41633 33521	4	   	260.77	橙3易伤1伤害1等级1时间1暴击1全技能	1基地爆炸2时间3全技能469易伤5暴击7伤害8核a等级
15	42613 33521	4	   	260.77	橙3易伤1伤害1等级1时间1暴击1全技能	1基地爆炸269易伤3全技能4时间5暴击7伤害8核a等级
16	42315 31322	5	   	259.68	橙5易伤1等级1时间	15基地爆炸23456易伤5序列升级7核8策反9等级a时间
17	22315 33481	8	   	259.58	橙5易伤1等级1时间	15敌人爆炸2345a易伤5序列升级6加一7核8等级9时间
18	22315 33547	8	   	259.58	橙5易伤1等级1时间	15敌人爆炸23459易伤5序列升级6加一7核8时间a等级
19	22315 33647	7	   	259.58	橙5易伤1等级1时间	15敌人爆炸23459易伤5序列升级6加一7核8时间a等级
20	42315 33481	8	   	259.58	橙5易伤1等级1时间	15基地爆炸2345a易伤5序列升级6加一7核8等级9时间
21	61313 52316	10	   	259.42	橙3易伤1伤害1等级1时间1暴击	1矿等2雷电3伤害489易伤5时间6等级7暴击a核
22	31313 52316	10	   	259.32	橙3易伤1伤害1等级1时间1暴击	1掉矿2雷电3伤害489易伤5时间6等级7暴击a核
23	22312 32431	6	   	259.22	橙4易伤1伤害1暴击1全技能	1敌人爆炸2346易伤5雷电7伤害8全技能9核a暴击
24	42312 32431	6	   	259.22	橙4易伤1伤害1暴击1全技能	1基地爆炸2346易伤5雷电7伤害8全技能9核a暴击
25	42315 31142	5	 * 	258.01	橙5易伤2时间	15基地爆炸23456易伤5序列升级7核8金币生成9a时间
26	22315 11663	5	   	258.01	橙5易伤2时间	156敌人爆炸23458易伤5序列升级7核9a时间
27	22315 33541	8	   	257.91	橙5易伤2时间	15敌人爆炸23459易伤5序列升级6加一7核8a时间
28	22315 33641	7	   	257.91	橙5易伤2时间	15敌人爆炸23459易伤5序列升级6加一7核8a时间
29	21328 14347	6	   	257.33	橙3易伤3时间1伤害	1敌人爆炸256时间358易伤4加一5序列升级7核9伤害a雷电
30	21328 31562	7	   	257.33	橙3易伤3时间1伤害	1敌人爆炸259时间358易伤4加一5序列升级6雷电7伤害a核
31	21328 33562	6	   	257.33	橙3易伤3时间1伤害	1敌人爆炸259时间358易伤4加一5序列升级6雷电7伤害a核
32	21328 54347	5	   	257.33	橙3易伤3时间1伤害	1敌人爆炸256时间358易伤4加一5序列升级7核9伤害a雷电
33	41328 31362	7	   	257.33	橙3易伤3时间1伤害	1基地爆炸259时间358易伤4加一5序列升级6雷电7伤害a核
34	34444 62311	7	   	257.30	橙4易伤2等级1时间1暴击	1a掉矿2加一369a易伤4时间5暴击7核8a等级a序列升级
35	42315 31226	5	   	256.80	橙5易伤1伤害1全技能	15基地爆炸23456易伤5序列升级7核8挖尘9全技能a伤害
36	22443 31633	8	 * 	256.23	橙3易伤1伤害2等级1时间2雷电	1敌人爆炸25a易伤3最后敌人4时间6a雷电7伤害8核9a等级a序列升级
37	21633 33525	4	   	255.53	橙3易伤1伤害1时间1暴击1攻速1全技能	1敌人爆炸2时间3全技能469易伤5暴击7伤害8核a攻速
38	21633 33525	3	   	255.53	橙3易伤1伤害1时间1暴击1攻速1全技能	1敌人爆炸2时间3全技能469易伤5暴击7伤害8核a攻速
39	22613 33525	4	   	255.53	橙3易伤1伤害1时间1暴击1攻速1全技能	1敌人爆炸269易伤3全技能4时间5暴击7伤害8核a攻速
40	22315 33133	8	   	255.45	橙5易伤1伤害	15敌人爆炸2345a易伤5序列升级6加一7核8雷电9伤害
41	22315 33163	9	   	255.45	橙5易伤1伤害	15敌人爆炸2345a易伤5序列升级6加一7核8雷电9伤害
42	22315 33271	6	   	255.45	橙5易伤1伤害	15敌人爆炸23459易伤5序列升级6加一7雷电8伤害a核
43	22315 36271	7	   	255.45	橙5易伤1伤害	15敌人爆炸23459易伤5序列升级6加一7雷电8伤害a核
44	22315 53271	5	   	255.45	橙5易伤1伤害	15敌人爆炸23459易伤5序列升级6加一7雷电8伤害a核
45	42315 32711	9	   	255.45	橙5易伤1伤害	15基地爆炸23457易伤5序列升级6加一8雷电9伤害a核
46	42315 33133	8	   	255.45	橙5易伤1伤害	15基地爆炸2345a易伤5序列升级6加一7核8雷电9伤害
47	42315 33163	9	   	255.45	橙5易伤1伤害	15基地爆炸2345a易伤5序列升级6加一7核8雷电9伤害
