0	Index      	 *	Score 	Summary	Detail	
1	26252 43212	 * 	267.42	紫3伤害3基地爆炸3易伤2全技能1攻速	19a伤害2核39a易伤4低血量敌人5攻速67全技能89a基地爆炸9a序列升级
2	26252 41212	   	254.97	紫3伤害3基地爆炸3易伤1攻速1全技能	19a伤害2核39a易伤4低血量敌人5攻速6全技能7双倍矿89a基地爆炸9a序列升级
3	26131 24423	 * 	249.98	紫2基础对甲3基地爆炸2伤害1全技能	19伤害2核3立即金币4双倍物品5挖尘69基础对甲7全技能89a基地爆炸9序列升级
4	26132 26116	 * 	249.88	紫2基础对甲3攻速2伤害	19伤害2核3立即金币4双倍物品5最后敌人69基础对甲7双倍秒伤89a攻速9序列升级
5	26332 11653	   	247.12	紫2基础对甲2伤害2基地爆炸1暴击	1a伤害2核3a基地爆炸4双倍秒伤5敌人爆炸6技能7暴击8a基础对甲9平台a序列升级
6	26132 26133	   	242.54	紫2基础对甲2攻速2伤害	1a伤害2核3立即金币4双倍物品5最后敌人6a基础对甲7双倍秒伤8a攻速9技能a序列升级
7	26331 14312	 * 	241.71	紫2攻速2伤害2基地爆炸2易伤1全技能	1a伤害2核38基地爆炸4双倍秒伤5a易伤6技能7全技能9a攻速a序列升级
8	26312 34252	 * 	240.56	紫3伤害3基地爆炸2攻速1全技能	179伤害2核379基地爆炸457时间6全技能79序列升级89攻速a挖青
9	26312 34251	   	240.42	紫3伤害3基地爆炸2攻速1全技能1卖塔	179伤害2核379基地爆炸457时间6全技能79序列升级89攻速a卖塔
10	26131 24422	   	238.72	紫2基础对甲2伤害2基地爆炸1全技能	19伤害2核3立即金币4双倍物品5挖尘69基础对甲7全技能89基地爆炸9序列升级a金币生成
11	26131 24421	   	238.62	紫2基础对甲2伤害2基地爆炸1全技能	19伤害2核3立即金币4双倍物品5挖尘69基础对甲7全技能89基地爆炸9序列升级a核弹
12	26332 11621	 * 	237.66	紫1基础对甲2伤害2易伤1基地爆炸1暴击	1a伤害2核3基地爆炸4双倍秒伤5a敌人爆炸6技能7暴击8基础对甲9a易伤a序列升级
13	26335 11621	   	237.66	紫1基础对甲2伤害2易伤1基地爆炸1暴击	1a伤害2核3基地爆炸4双倍秒伤5a最后敌人6技能7暴击8基础对甲9a易伤a序列升级
