0	Index      	 *	Score 	Summary	Detail	
1	23614 11363	 * 	289.15	DCR|2LIT|1FLTARM|1VULN|1MLV|1ASPD|1CDMG	1TLV|2ZMB|39LIT|4ASPD|5CDMG|6VULN|7RCR|8FLTARM|aMLV
2	23634 31321	 * 	287.93	DCR|3LIT|3VULN|1MLV|2ZMB	157TLV|26ZMB|379LIT|457VULN|57BPWR|8MLV|aRCR
3	43141 21114	 * 	286.68	DCR|2LIT|2MLV|2VULN|1DMG	1FEWX|2DUST|39VULN|4aLIT|57MLV|6RCR|8DMG
4	53141 21114	   	286.68	DCR|2LIT|2MLV|2VULN|1DMG	1BEXP|2DUST|39VULN|4aLIT|57MLV|6RCR|8DMG
5	13614 11253	   	285.15	DCR|3LIT|3VULN|1ASPD|1CDMG	1aCGEN|2ZMB|39aLIT|4ASPD|5CDMG|68aVULN|7RCR|aBPWR
6	54141 22132	 * 	282.52	DCR|3LIT|2VULN|1MLV|1DMG	1BEXP|2FEWX|3aVULN|479LIT|5MLV|6RCR|8DMG
7	43141 22114	   	282.42	DCR|3LIT|2VULN|1MLV|1DMG	1FEWX|2DUST|39VULN|47aLIT|5MLV|6RCR|8DMG
8	43141 22136	   	282.42	DCR|3LIT|2VULN|1MLV|1DMG	1FEWX|2DUST|3aVULN|479LIT|5MLV|6RCR|8DMG
9	53141 22114	   	282.42	DCR|3LIT|2VULN|1MLV|1DMG	1BEXP|2DUST|39VULN|47aLIT|5MLV|6RCR|8DMG
10	53141 22132	   	282.42	DCR|3LIT|2VULN|1MLV|1DMG	1BEXP|2DUST|3aVULN|479LIT|5MLV|6RCR|8DMG
11	54231 31324	 * 	282.07	DCR|2LIT|3VULN|1MLV|1DMG	1BEXP|26FEWX|3DMG|4MLV|567VULN|6BPWR|8aLIT|9RCR
12	54141 22231	   	280.95	DCR|2LIT|3VULN|1MLV|1CDMG	1BEXP|2FEWX|39aVULN|47LIT|5MLV|6RCR|8CDMG
13	43141 22231	   	280.85	DCR|2LIT|3VULN|1MLV|1CDMG	1FEWX|2DUST|39aVULN|47LIT|5MLV|6RCR|8CDMG
14	53141 22231	   	280.85	DCR|2LIT|3VULN|1MLV|1CDMG	1BEXP|2DUST|39aVULN|47LIT|5MLV|6RCR|8CDMG
15	43141 12324	   	278.58	DCR|2LIT|2MLV|2VULN|1DMG	1FEWX|2DUST|38VULN|4aLIT|56MLV|7DMG|9RCR
16	54231 31326	 * 	278.36	DCR|4VULN|1LIT|1MLV|1DMG	1BEXP|26FEWX|3DMG|4MLV|567aVULN|6BPWR|8LIT|9RCR
17	54141 21211	   	277.21	DCR|2LIT|2MLV|2VULN|1CDMG	1BEXP|2FEWX|3aVULN|49LIT|57MLV|6RCR|8CDMG
18	43141 21211	   	277.06	DCR|2LIT|2MLV|2VULN|1CDMG	1FEWX|2DUST|3aVULN|49LIT|57MLV|6RCR|8CDMG
19	53141 21211	   	277.06	DCR|2LIT|2MLV|2VULN|1CDMG	1BEXP|2DUST|3aVULN|49LIT|57MLV|6RCR|8CDMG
20	43141 31324	   	277.02	DCR|3LIT|2VULN|1MLV|1DMG	1FEWX|2DUST|38VULN|47aLIT|5MLV|6DMG|9RCR
21	54141 21231	 * 	276.11	DCR|2MLV|3VULN|1LIT|1CDMG	1BEXP|2FEWX|39aVULN|4LIT|57MLV|6RCR|8CDMG
22	43141 21231	   	275.96	DCR|2MLV|3VULN|1LIT|1CDMG	1FEWX|2DUST|39aVULN|4LIT|57MLV|6RCR|8CDMG
23	53141 21231	   	275.96	DCR|2MLV|3VULN|1LIT|1CDMG	1BEXP|2DUST|39aVULN|4LIT|57MLV|6RCR|8CDMG
24	13614 11233	 * 	274.16	DCR|2LIT|3VULN|2CDMG|1ASPD	1aCGEN|2ZMB|3aLIT|4ASPD|59CDMG|68aVULN|7RCR|aBPWR
25	43141 21134	 * 	273.32	DCR|3LIT|2MLV|1VULN|1DMG	1FEWX|2DUST|3VULN|49aLIT|57MLV|6RCR|8DMG
26	53141 21134	   	273.32	DCR|3LIT|2MLV|1VULN|1DMG	1BEXP|2DUST|3VULN|49aLIT|57MLV|6RCR|8DMG
27	21662 11633	 * 	272.18	DCR|3LIT|2MLV|2VULN	18TLV|2LWND|38VULN|479LIT|5BEXP|68MLV|8BPWR|aRCR
28	11626 11633	   	272.03	DCR|3LIT|2MLV|2VULN	18CGEN|2LWND|38VULN|4DUST|579LIT|68MLV|8BPWR|aRCR
29	12616 11633	   	272.03	DCR|3LIT|2MLV|2VULN	18CGEN|2DUST|38VULN|4LHND|579LIT|68MLV|8BPWR|aRCR
30	21626 11633	   	272.03	DCR|3LIT|2MLV|2VULN	18TLV|2LWND|38VULN|4DUST|579LIT|68MLV|8BPWR|aRCR
31	22616 11633	   	272.03	DCR|3LIT|2MLV|2VULN	18TLV|2DUST|38VULN|4LHND|579LIT|68MLV|8BPWR|aRCR
32	22662 11633	   	271.88	DCR|3LIT|2MLV|2VULN|1DUR	18TLV|2DUST|38VULN|479LIT|5DUR|68MLV|8BPWR|aRCR
33	54331 31324	   	268.84	DCR|2LIT|3VULN|1MLV	1BEXP|2FEWX|3ZMB|4MLV|567VULN|8aLIT|9RCR
34	53141 23314	   	267.20	DCR|2LIT|3VULN|1MLV	1BEXP|2DUST|389VULN|4aLIT|5MLV|6RCR|7CGEN
35	43141 22235	   	265.65	DCR|2LIT|2VULN|1MLV|1CDMG	1FEWX|2DUST|39VULN|47LIT|5MLV|6RCR|8CDMG|aZMB
36	43141 22251	   	265.65	DCR|2LIT|2VULN|1MLV|1CDMG	1FEWX|2DUST|3aVULN|47LIT|5MLV|6RCR|8CDMG|9ZMB
37	53141 22251	   	265.65	DCR|2LIT|2VULN|1MLV|1CDMG	1BEXP|2DUST|3aVULN|47LIT|5MLV|6RCR|8CDMG|9ZMB
38	54141 22112	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG	1BEXP|2aFEWX|39VULN|47LIT|5MLV|6RCR|8DMG
39	54331 31326	   	265.14	DCR|4VULN|1LIT|1MLV	1BEXP|2FEWX|3ZMB|4MLV|567aVULN|8LIT|9RCR
40	54141 22113	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1BEXP|2FEWX|39VULN|47LIT|5MLV|6RCR|8DMG|aBLASTR
41	43141 22112	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1aFEWX|2DUST|39VULN|47LIT|5MLV|6RCR|8DMG
42	43141 22116	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|2DUST|39VULN|47LIT|5MLV|6RCR|8DMG|aLHND
43	53141 22112	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1BEXP|2DUST|39VULN|47LIT|5MLV|6RCR|8DMG|aFEWX
44	53141 22116	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1BEXP|2DUST|39VULN|47LIT|5MLV|6RCR|8DMG|aLHND
45	43141 22113	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|2DUST|39VULN|47LIT|5MLV|6RCR|8DMG|aBLASTR
46	43141 22115	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|2aDUST|39VULN|47LIT|5MLV|6RCR|8DMG
47	53141 22113	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1BEXP|2DUST|39VULN|47LIT|5MLV|6RCR|8DMG|aDUR
48	53141 22115	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG	1BEXP|2aDUST|39VULN|47LIT|5MLV|6RCR|8DMG
49	53263 31314	   	263.98	DCR|3LIT|2VULN|1DMG|1ASPD	1BEXP|2DUST|3DMG|47aLIT|5ASPD|6RCR|89VULN
50	53263 31332	   	263.98	DCR|3LIT|2VULN|1DMG|1ASPD	1BEXP|2DUST|3DMG|479LIT|5ASPD|6RCR|8aVULN
51	13634 15231	   	263.32	DCR|3VULN|1LIT|1MLV|1CDMG	15CGEN|2ZMB|3LIT|45aVULN|5BPWR|6CDMG|7RCR|8TLV|9MLV
52	13634 15121	   	263.22	DCR|3VULN|1LIT|1MLV|1CDMG|1DUR	15CGEN|2ZMB|3LIT|45aVULN|5BPWR|6CDMG|7RCR|8DUR|9MLV
53	23634 15121	   	263.22	DCR|3VULN|1LIT|1MLV|1CDMG|1DUR	15TLV|2ZMB|3LIT|45aVULN|5BPWR|6CDMG|7RCR|8DUR|9MLV
54	23614 11153	   	263.01	DCR|3LIT|2VULN|1CDMG|1ASPD	18aTLV|2ZMB|39aLIT|4ASPD|5CDMG|6aVULN|7RCR|aBPWR
55	54141 22332	   	262.46	DCR|3LIT|2VULN|1MLV	1BEXP|2FEWX|3aVULN|479LIT|5MLV|6RCR|8CGEN
56	43141 22314	   	262.36	DCR|3LIT|2VULN|1MLV	1FEWX|2DUST|39VULN|47aLIT|5MLV|6RCR|8CGEN
57	53141 22314	   	262.36	DCR|3LIT|2VULN|1MLV	1BEXP|2DUST|39VULN|47aLIT|5MLV|6RCR|8CGEN
58	53141 22332	   	262.36	DCR|3LIT|2VULN|1MLV	1BEXP|2DUST|3aVULN|479LIT|5MLV|6RCR|8CGEN
59	53141 23334	   	262.36	DCR|3LIT|2VULN|1MLV	1BEXP|2DUST|38VULN|49aLIT|5MLV|6RCR|7CGEN
60	54231 36222	   	262.35	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	1BEXP|26FEWX|3DMG|49MLV|56VULN|6BPWR|7LIT|8CDMG|aRCR
61	23636 22611	   	262.05	DCR|2LIT|2VULN|1MLV|1CDMG|1DUR	1TLV|2ZMB|39LIT|4aVULN|5DUR|6CDMG|7MLV|8RCR
62	56332 42231	   	262.05	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	1BEXP|28VULN|3CDMG|4DMG|5ERES|6LIT|79MLV|aRCR
63	56343 22231	   	262.05	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	1BEXP|28VULN|3CDMG|4LIT|5ERES|6DMG|79MLV|aRCR
64	13614 11234	 * 	261.05	DCR|1LIT|2VULN|1MLV|2CDMG|1ASPD	1CGEN|2ZMB|3LIT|4ASPD|59CDMG|68VULN|7RCR|aMLV
65	23464 41441	   	261.05	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1TLV|2ZMB|3CDMG|4MBVNT|5LIT|6MLV|7RCR|8DMG|9aVULN
66	54231 21324	   	259.83	DCR|2LIT|2VULN|1MLV|1DMG	1BEXP|2FEWX|3DMG|4MLV|57VULN|6RCVC|8aLIT|9RCR
67	54232 11324	   	259.83	DCR|2LIT|2VULN|1MLV|1DMG	1BEXP|2FEWX|3DMG|4MLV|5RCVC|67VULN|8aLIT|9RCR
68	43141 31322	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG	1aFEWX|2DUST|38VULN|47LIT|5MLV|6DMG|9RCR
69	43141 31326	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|2DUST|38VULN|47LIT|5MLV|6DMG|9RCR|aLHND
70	43141 31323	   	259.63	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|2DUST|38VULN|47LIT|5MLV|6DMG|9RCR|aBLASTR
71	43141 31325	   	259.63	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|2aDUST|38VULN|47LIT|5MLV|6DMG|9RCR
72	54231 31322	   	259.20	DCR|3VULN|1LIT|1MLV|1DMG	1BEXP|26aFEWX|3DMG|4MLV|567VULN|6BPWR|8LIT|9RCR
