0	Index      	 *	Score 	Summary	Detail	
1	53313 53233	 * 	353.29	DCR|3LIT|4VULN|2MLV|1ASPD	1359VULN|23TLV|39BPWR|49MLV|679LIT|8RCR|aASPD
2	51216 21412	 * 	351.06	DCR|2LIT|2MLV|2VULN|1FLTARM|2DMG	17VULN|27DMG|3FRZICY|4aLIT|57MLV|6RCR|7BPWR|8FLTARM|9DUR
3	51316 21412	   	351.06	DCR|2LIT|2MLV|2VULN|1FLTARM|2DMG	17VULN|27DMG|3GSSTOX|4aLIT|57MLV|6RCR|7BPWR|8FLTARM|9DUR
4	51216 21324	 * 	347.02	DCR|2LIT|2MLV|3VULN|2DMG	17aVULN|27DMG|3aFRZICY|48LIT|57MLV|6RCR|7aBPWR|9aCGEN
5	51316 21324	   	347.02	DCR|2LIT|2MLV|3VULN|2DMG	17aVULN|27DMG|3aGSSTOX|48LIT|57MLV|6RCR|7aBPWR|9aCGEN
6	51316 21315	   	344.40	DCR|2LIT|2MLV|2VULN|2DMG|1CDMG	17VULN|27DMG|3GSSTOX|48LIT|57MLV|6RCR|7BPWR|9ZMB|aCDMG
7	53313 53231	   	339.69	DCR|3LIT|4VULN|2MLV	1359VULN|23TLV|39BPWR|49MLV|679LIT|8RCR|aRMIN
8	53313 53232	   	339.69	DCR|3LIT|4VULN|2MLV	1359VULN|23TLV|39BPWR|49MLV|679LIT|8RCR|aBELT
9	53313 53234	   	339.69	DCR|3LIT|4VULN|2MLV	1359VULN|23TLV|39BPWR|49MLV|679LIT|8RCR|aCGEN
10	53313 53235	   	339.69	DCR|3LIT|4VULN|2MLV	1359VULN|23TLV|39BPWR|49MLV|679LIT|8RCR|aLWND
11	53313 53236	   	339.54	DCR|3LIT|4VULN|2MLV	1359VULN|23TLV|39BPWR|49MLV|679LIT|8RCR|aERES
12	51216 21431	 * 	332.61	DCR|2MLV|1LIT|2VULN|3DMG|1FLTARM	17VULN|279DMG|3FRZICY|4LIT|57MLV|6RCR|7BPWR|8FLTARM|aDUR
13	51316 21431	   	332.61	DCR|2MLV|1LIT|2VULN|3DMG|1FLTARM	17VULN|279DMG|3GSSTOX|4LIT|57MLV|6RCR|7BPWR|8FLTARM|aDUR
14	51216 21332	   	327.11	DCR|2LIT|2MLV|2VULN|2DMG|1ASPD	17VULN|27DMG|3FRZICY|48LIT|57MLV|6RCR|7BPWR|9LHND|aASPD
15	51216 21342	   	327.11	DCR|2LIT|2MLV|2VULN|2DMG|1ASPD	17VULN|27DMG|3FRZICY|48LIT|57MLV|6RCR|7BPWR|9LWND|aASPD
16	51316 21332	   	327.11	DCR|2LIT|2MLV|2VULN|2DMG|1ASPD	17VULN|27DMG|3GSSTOX|48LIT|57MLV|6RCR|7BPWR|9LHND|aASPD
17	51316 21342	   	327.11	DCR|2LIT|2MLV|2VULN|2DMG|1ASPD	17VULN|27DMG|3GSSTOX|48LIT|57MLV|6RCR|7BPWR|9LWND|aASPD
18	51216 21114	   	326.96	DCR|2LIT|2MLV|2VULN|2DMG|1ASPD	17VULN|27DMG|3FRZICY|4aLIT|57MLV|6RCR|7BPWR|8DUST|9ASPD
19	51316 21114	   	326.96	DCR|2LIT|2MLV|2VULN|2DMG|1ASPD	17VULN|27DMG|3GSSTOX|4aLIT|57MLV|6RCR|7BPWR|8DUST|9ASPD
20	51216 21632	   	326.01	DCR|2MLV|3VULN|1LIT|2DMG|1ASPD	178VULN|27DMG|3FRZICY|4LIT|57MLV|6RCR|7BPWR|9LHND|aASPD
21	51316 21632	   	326.01	DCR|2MLV|3VULN|1LIT|2DMG|1ASPD	178VULN|27DMG|3GSSTOX|4LIT|57MLV|6RCR|7BPWR|9LHND|aASPD
22	51216 21311	   	323.92	DCR|2LIT|2MLV|2VULN|2DMG	17VULN|27DMG|3FRZICY|48LIT|57MLV|6RCR|7BPWR|9ZMB|aTLV
23	51216 21312	   	323.92	DCR|2LIT|2MLV|2VULN|2DMG	17VULN|27DMG|3FRZICY|48LIT|57MLV|6RCR|7BPWR|9ZMB|aLWND
24	51216 21314	   	323.92	DCR|2LIT|2MLV|2VULN|2DMG	17VULN|27DMG|3FRZICY|48LIT|57MLV|6RCR|7BPWR|9ZMB|aGSSTOX
25	51316 21311	   	323.92	DCR|2LIT|2MLV|2VULN|2DMG	17VULN|27DMG|3GSSTOX|48LIT|57MLV|6RCR|7BPWR|9ZMB|aTLV
26	51316 21312	   	323.92	DCR|2LIT|2MLV|2VULN|2DMG	17VULN|27DMG|3GSSTOX|48LIT|57MLV|6RCR|7BPWR|9ZMB|aLWND
27	51316 21314	   	323.92	DCR|2LIT|2MLV|2VULN|2DMG	17VULN|27DMG|3aGSSTOX|48LIT|57MLV|6RCR|7BPWR|9ZMB
28	51316 21316	   	323.92	DCR|2LIT|2MLV|2VULN|2DMG	17VULN|27DMG|3GSSTOX|48LIT|57MLV|6RCR|7BPWR|9ZMB|aCGEN
29	51216 21313	   	323.77	DCR|2LIT|2MLV|2VULN|2DMG	17VULN|27DMG|3FRZICY|48LIT|57MLV|6RCR|7BPWR|9ZMB|aDUST
30	51216 21316	   	323.77	DCR|2LIT|2MLV|2VULN|2DMG	17VULN|27DMG|3FRZICY|48LIT|57MLV|6RCR|7BPWR|9ZMB|aDUR
31	51316 21313	   	323.77	DCR|2LIT|2MLV|2VULN|2DMG	17VULN|27DMG|3GSSTOX|48LIT|57MLV|6RCR|7BPWR|9ZMB|aDUST
