0	Index      	 *	Score 	Summary	Detail	
1	32365 13623	 * 	300.73	DCR|2LIT|2MLV|2VULN|1DMG|1ASPD	1aLWND|2RCVC|3ASPD|4aMLV|5DMG|6RCR|79VULN|8aLIT|aBPWR
2	22341 41262	 * 	290.72	DCR|2LIT|1FLTARM|2DMG|1VULN|1MLV|1SELL	1SELL|29LIT|3RMIN|49DMG|5MLV|6FLTARM|79CGEN|8RCR|9BPWR|aVULN
3	22341 42262	 * 	290.52	DCR|2LIT|2DMG|1FLTARM|1VULN|1MLV|1SELL	1SELL|29LIT|3RMIN|49DMG|5MLV|6FLTARM|79ERES|8RCR|9BPWR|aVULN
4	11125 13346	   	286.98	DCR|2LIT|2MLV|2VULN|1DMG	13CGEN|23MLV|3BPWR|4DMG|57VULN|6RCR|8LWND|9aLIT
5	21133 14634	 * 	286.37	DCR|2LIT|3VULN|2DMG|1CDMG|1SELL	1SELL|289VULN|3BASARM|48DMG|5RPLT|6RCR|78LIT|8BPWR|aCDMG
6	21133 14642	 * 	282.67	DCR|2LIT|2VULN|2DMG|1MLV|1SELL	1SELL|28VULN|3BASARM|48DMG|5RPLT|6RCR|78LIT|8BPWR|9LWND|aMLV
7	21133 14661	 * 	282.67	DCR|2LIT|2VULN|2DMG|1MLV|1SELL	1SELL|28VULN|3BASARM|48DMG|5RPLT|6RCR|78LIT|8BPWR|9BELT|aMLV
8	21136 14242	 * 	279.72	DCR|4VULN|1LIT|1MLV|1DMG|1SELL	1SELL|279aVULN|3BASARM|4DMG|5MLV|6LIT|8RCR
9	21144 22316	 * 	279.47	ACR|3LIT|3VULN|3DMG|1SELL	1SELL|29aVULN|3BASARM|4RCR|59aLIT|6FEWX|7LWND|89aDMG|9aBPWR
10	21144 32316	 * 	279.47	ACR|3LIT|3VULN|3DMG|1SELL	1SELL|29aVULN|3BASARM|4RCR|59aLIT|6LHND|7LWND|89aDMG|9aBPWR
11	21144 33316	 * 	279.47	ACR|3LIT|3VULN|3DMG|1SELL	1SELL|29aVULN|3BASARM|4RCR|59aLIT|6LHND|7FEWX|89aDMG|9aBPWR
12	21136 11242	 * 	278.14	DCR|3VULN|1LIT|2DMG|1MLV|1SELL	1SELL|29aVULN|3BASARM|47DMG|5MLV|6LIT|8RCR
13	21136 14232	 * 	278.14	DCR|3VULN|1LIT|2DMG|1MLV|1SELL	1SELL|27aVULN|3BASARM|49DMG|5MLV|6LIT|8RCR
14	12122 15443	 * 	277.13	DCR|2LIT|2VULN|2DMG|2ASPD	13aCGEN|23ASPD|3aBPWR|4aDMG|5LHND|6RCR|78VULN|9aLIT
15	12124 13443	   	277.13	DCR|2LIT|2VULN|2DMG|2ASPD	13aCGEN|23ASPD|3aBPWR|4aDMG|5LWND|6RCR|78VULN|9aLIT
16	12125 12443	   	277.13	DCR|2LIT|2VULN|2DMG|2ASPD	13aCGEN|23ASPD|3aBPWR|4aDMG|58VULN|6RCR|7LHND|9aLIT
17	12125 13443	   	277.13	DCR|2LIT|2VULN|2DMG|2ASPD	13aCGEN|23ASPD|3aBPWR|4aDMG|57VULN|6RCR|8LWND|9aLIT
18	11125 13535	   	273.15	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	138CGEN|23MLV|3BPWR|4DMG|57VULN|6RCR|9LIT|aCDMG
19	22341 41242	 * 	272.93	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1SELL	1SELL|2aLIT|3RMIN|4DMG|5MLV|6FLTARM|7CGEN|8RCR|9VULN
20	22341 42242	 * 	272.83	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG|1SELL	1SELL|2aLIT|3RMIN|4DMG|5MLV|6FLTARM|7ERES|8RCR|9VULN
21	21133 14612	 * 	272.72	DCR|2LIT|3VULN|2DMG|1SELL	1SELL|28aVULN|3BASARM|48DMG|5RPLT|6RCR|78LIT|8BPWR|9TLV
22	21133 14632	 * 	272.72	DCR|2LIT|3VULN|2DMG|1SELL	1SELL|289VULN|3BASARM|48DMG|5RPLT|6RCR|78LIT|8BPWR|aBEXP
23	21133 14636	 * 	272.72	DCR|2LIT|3VULN|2DMG|1SELL	1SELL|289VULN|3BASARM|48DMG|5RPLT|6RCR|78LIT|8BPWR|aTLV
24	21133 14652	 * 	272.72	DCR|2LIT|3VULN|2DMG|1SELL	1SELL|28aVULN|3BASARM|48DMG|5RPLT|6RCR|78LIT|8BPWR|9RMIN
25	23135 13325	   	272.63	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG|1SELL	1SELL|2FEWX|3aMLV|4CDMG|5DMG|6RCR|79VULN|8LIT
26	21133 14631	 * 	272.62	DCR|2LIT|3VULN|2DMG|1SELL	1SELL|289VULN|3BASARM|48DMG|5RPLT|6RCR|78LIT|8BPWR|aLEGI
27	21133 14633	 * 	272.62	DCR|2LIT|3VULN|2DMG|1SELL	1SELL|289VULN|3BASARM|48DMG|5RPLT|6RCR|78LIT|8BPWR|aDUST
28	21133 14635	 * 	272.62	DCR|2LIT|3VULN|2DMG|1SELL	1SELL|289VULN|3BASARM|48DMG|5RPLT|6RCR|78LIT|8BPWR|aMBVNT
29	22331 41262	 * 	271.89	DCR|2LIT|1FLTARM|1VULN|1MLV|2ASPD|1SELL	1SELL|29LIT|3RMIN|49ASPD|5MLV|6FLTARM|79CGEN|8RCR|9BPWR|aVULN
