0	Index      	 *	Score 	Summary	Detail	
1	22151 25234	 * 	297.29	DCR|2MLV|1LIT|2VULN|3DMG	1DMSP|29VULN|39MLV|4BELT|5LIT|6CGEN|79aDMG|8RCR|9BPWR
2	42217 32172	 * 	285.43	DCR|2MLV|3VULN|1LIT|2CDMG|2DUR	19DUR|2MBVNT|379VULN|4aCDMG|5LIT|6RCR|89MLV|9BPWR
3	22151 25233	   	284.21	DCR|2MLV|1LIT|2VULN|2DMG	1DMSP|29VULN|39MLV|4BELT|5LIT|6CGEN|79DMG|8RCR|9BPWR|aZMB
4	22151 45233	   	284.21	DCR|2MLV|1LIT|2VULN|2DMG	1DMSP|29VULN|39MLV|4BELT|5LIT|6TLV|79DMG|8RCR|9BPWR|aZMB
5	42217 32117	 * 	278.68	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DUR|2MBVNT|37VULN|4CDMG|5aLIT|6RCR|8MLV|9DMG
6	33621 13352	 * 	277.50	DCR|3LIT|3VULN|1MLV	16FRZARM|2BEXP|358VULN|467LIT|6BPWR|9MLV|aRCR
7	33621 33652	   	277.40	DCR|3LIT|3VULN|1MLV	1FRZARM|2BEXP|356VULN|478LIT|9MLV|aRCR
8	62213 25383	 * 	276.41	DCR|1LIT|2VULN|2DMG|1MLV|2CDMG	17BEXP|2MBVNT|35VULN|47CDMG|67DMG|7BPWR|8RCR|9MLV|aLIT
9	42213 25383	   	276.21	DCR|1LIT|2VULN|2DMG|1MLV|2CDMG|2DUR	17DUR|2MBVNT|35VULN|47CDMG|67DMG|7BPWR|8RCR|9MLV|aLIT
10	42217 32171	   	275.96	DCR|2MLV|3VULN|1LIT|2DUR|1CDMG	19DUR|2MBVNT|379VULN|4CDMG|5LIT|6RCR|89MLV|9BPWR|aCGEN
11	42217 32173	   	275.96	DCR|2MLV|3VULN|1LIT|2DUR|1CDMG	19DUR|2MBVNT|379VULN|4CDMG|5LIT|6RCR|89MLV|9BPWR|aRMIN
12	42217 32174	   	275.81	DCR|2MLV|3VULN|1LIT|2DUR|1CDMG	19DUR|2MBVNT|379VULN|4CDMG|5LIT|6RCR|89MLV|9BPWR|aDUST
13	22151 25231	   	273.81	DCR|2MLV|1LIT|2VULN|2DMG	1DMSP|29VULN|39MLV|4BELT|5LIT|6CGEN|79DMG|8RCR|9BPWR|aBEXP
14	22151 25232	   	273.81	DCR|2MLV|1LIT|2VULN|2DMG	1DMSP|29VULN|39MLV|4BELT|5LIT|6CGEN|79DMG|8RCR|9BPWR|aLHND
15	22151 45231	   	273.81	DCR|2MLV|1LIT|2VULN|2DMG	1DMSP|29VULN|39MLV|4BELT|5LIT|6TLV|79DMG|8RCR|9BPWR|aBEXP
16	22151 45232	   	273.81	DCR|2MLV|1LIT|2VULN|2DMG	1DMSP|29VULN|39MLV|4BELT|5LIT|6TLV|79DMG|8RCR|9BPWR|aLHND
17	22151 25235	   	273.66	DCR|2MLV|1LIT|2VULN|2DMG	1DMSP|29VULN|39MLV|4BELT|5LIT|6CGEN|79DMG|8RCR|9BPWR|aDUST
18	62217 28114	   	272.85	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	1BEXP|2MBVNT|37VULN|4CDMG|5LIT|6RCR|8aMLV|9DMG
19	42217 32114	   	272.70	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	1DUR|2MBVNT|37VULN|4CDMG|5LIT|6RCR|8aMLV|9DMG
20	42217 32118	   	272.06	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1CDMG	1DUR|2MBVNT|37VULN|4CDMG|5LIT|6RCR|8MLV|9DMG|aAART
21	42217 32714	   	269.46	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1DUR|2MBVNT|37VULN|4CDMG|5LIT|6RCR|8ASPD|9DMG|aMLV
22	15216 21326	   	268.76	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1LHND|2DUR|39VULN|4CDMG|5aLIT|6ASPD|7MLV|8RCR
23	22151 25633	   	268.26	DCR|2MLV|1LIT|2VULN|2DMG	1DMSP|29VULN|39MLV|4BELT|5LIT|6CGEN|79DMG|8MBVNT|9BPWR|aRCR
