0	Index      	 *	Score 	Summary	Detail	
1	61623 11363	 * 	306.81	DCR|2MLV|3VULN|1LIT|2DMG	17DMG|27MLV|3ERES|4FEWX|57aVULN|6AART|7BPWR|8RCR|9LIT
2	61623 11362	   	294.08	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	17DMG|27MLV|3ERES|4FEWX|57VULN|6AART|7BPWR|8RCR|9LIT|aCDMG
3	21414 21522	 * 	292.82	DCR|2LIT|3MLV|3VULN	18LWND|256MLV|38aVULN|48LIT|7RCR|8BPWR|9FEWX
4	11414 21522	   	292.52	DCR|2LIT|3MLV|3VULN	18DUST|256MLV|38aVULN|48LIT|7RCR|8BPWR|9FEWX
5	11414 21532	   	292.52	DCR|2LIT|3MLV|3VULN	18DUST|256MLV|38aVULN|48LIT|7RCR|8BPWR|9LWND
6	21414 21242	   	292.52	DCR|2LIT|3MLV|3VULN	1LWND|256MLV|39aVULN|48LIT|7RCR
7	31414 21522	   	292.52	DCR|2LIT|3MLV|3VULN|2DUR	18DUR|256MLV|38aVULN|48LIT|7RCR|8BPWR|9FEWX
8	31414 21532	   	292.52	DCR|2LIT|3MLV|3VULN|2DUR	18DUR|256MLV|38aVULN|48LIT|7RCR|8BPWR|9LWND
9	11414 21242	   	292.37	DCR|2LIT|3MLV|3VULN	1DUST|256MLV|39aVULN|48LIT|7RCR
10	31414 21242	   	292.37	DCR|2LIT|3MLV|3VULN	1DUR|256MLV|39aVULN|48LIT|7RCR
11	21411 23353	 * 	290.93	DCR|3LIT|2MLV|2VULN|1AART	18LWND|26MLV|38VULN|458LIT|7NUKE|8BPWR|9RCR|aAART
12	11411 23353	   	290.63	DCR|3LIT|2MLV|2VULN|1AART	18DUST|26MLV|38VULN|458LIT|7NUKE|8BPWR|9RCR|aAART
13	25613 26122	 * 	287.71	ACR|3LIT|3MLV|3VULN	19aLWND|2RCR|35FEWX|456LIT|59aBPWR|79aMLV|89aVULN
14	11213 13256	   	287.69	DCR|3LIT|2MLV|2VULN	1aDUST|2aMLV|356LIT|4ZMB|7CGEN|8RCR|9aVULN|aBPWR
15	25333 26122	   	287.41	ACR|3LIT|3MLV|3VULN	19aLWND|2RCR|356LIT|45DUST|59aBPWR|79aMLV|89aVULN
16	21414 21243	 * 	285.25	DCR|3LIT|3MLV|2VULN	1LWND|256MLV|39VULN|48aLIT|7RCR
17	11414 21243	   	285.10	DCR|3LIT|3MLV|2VULN	1DUST|256MLV|39VULN|48aLIT|7RCR
18	31414 21243	   	285.10	DCR|3LIT|3MLV|2VULN	1DUR|256MLV|39VULN|48aLIT|7RCR
19	22113 26122	   	285.01	ACR|3LIT|3MLV|3VULN	19aLWND|25FEWX|3RCR|456LIT|59aBPWR|79aMLV|89aVULN
20	16113 26122	   	284.56	ACR|3LIT|3MLV|3VULN	19aDUST|25LWND|3RCR|456LIT|59aBPWR|79aMLV|89aVULN
21	61134 22512	   	283.41	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	1DMG|28MLV|35VULN|4CDMG|6RCR|7FEWX|9LIT|aZMB
22	25353 21632	   	282.14	ACR|3LIT|2MLV|3VULN	1aLWND|2RCR|356LIT|45LHND|5aBPWR|78aVULN|9aMLV
23	25513 21632	   	282.14	ACR|3LIT|2MLV|3VULN	1aLWND|2RCR|35LHND|456LIT|5aBPWR|78aVULN|9aMLV
24	25613 21632	   	282.14	ACR|3LIT|2MLV|3VULN	1aLWND|2RCR|35FEWX|456LIT|5aBPWR|78aVULN|9aMLV
