0	Index      	 *	Score 	Summary	Detail	
1	21252 14421	 * 	270.24	DCR|2LIT|2FLTARM|1VULN|1MLV	17BEXP|27DUST|3aLIT|4VULN|57FLTARM|6DMSP|7BPWR|8MLV|9RCR
2	21252 54221	 * 	266.27	DCR|3LIT|2FLTARM|1VULN	17BEXP|27DUST|36aLIT|4VULN|57FLTARM|7BPWR|8ERES|9RCR
3	24222 34324	 * 	260.93	DCR|2LIT|4VULN|1ASPD	1BEXP|2RPLT|36LIT|4RMIN|5679VULN|6BPWR|8ASPD|aRCR
4	32532 61313	 * 	259.34	DCR|1LIT|2VULN|1FLTARM|1MLV	1DUST|2BELT|3ZMB|47VULN|5MLV|6FLTARM|8RCR|9CGEN|aLIT
5	16644 21154	 * 	259.04	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|2ZMB	1AART|2MBVNT|3MLV|46VULN|56ZMB|6BPWR|7ASPD|8LIT|9DMG|aRCR
6	51151 26223	 * 	257.44	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG|1ASPD	1TLV|26DMG|3LWND|4CDMG|5ASPD|7VULN|8RCR|9LIT|aMLV
7	42261 31125	 * 	256.74	DCR|2LIT|2MLV|2VULN	1LWND|2CGEN|38MLV|4RPLT|57VULN|6RCR|9aLIT
8	36261 31125	   	256.59	DCR|2LIT|2MLV|2VULN	1DUST|2CGEN|38MLV|4RPLT|57VULN|6RCR|9aLIT
9	56231 23243	 * 	256.40	DCR|4VULN|1LIT|1MLV	1TLV|2BEXP|3MLV|4579VULN|6FLTHEA|8LIT|aRCR
10	32532 61211	   	255.64	DCR|1LIT|2VULN|1FLTARM|1MLV	1DUST|2BELT|3ZMB|47VULN|5MLV|6FLTARM|8LIT|9AART|aRCR
11	24222 31533	 * 	255.36	DCR|3LIT|2VULN|1MLV	1BEXP|2RPLT|369LIT|48RMIN|56VULN|6BPWR|7MLV|aRCR
12	21233 21525	   	255.11	DCR|2LIT|2VULN|1MLV|1CDMG	1BEXP|2DUST|3aLIT|4CGEN|5CDMG|69VULN|7MLV|8RCR
13	51111 66133	 * 	254.52	DCR|3LIT|1VULN|1MLV|1DMG	1TLV|2DMG|3LWND|4BEXP|5VULN|69aLIT|7RCR|8MLV
14	51211 66133	   	254.52	DCR|3LIT|1VULN|1MLV|1DMG	1TLV|2DMG|3LHND|4BEXP|5VULN|69aLIT|7RCR|8MLV
15	53432 21431	   	253.41	DCR|2LIT|2VULN|1MLV|1ASPD	1TLV|2FLTHEA|38VULN|4MLV|5ASPD|6RPLT|7aLIT|9RCR
