0	Index      	 *	Score 	Summary	Detail	
1	15336 21133	 * 	299.43	DCR|2LIT|4VULN|1MLV|1DMG	1458VULN|29BELT|35LIT|5BPWR|6DMG|7MLV|aRCR
2	13225 23623	   	286.67	DCR|2LIT|4VULN|1MLV	1259VULN|39FEWX|4CGEN|6RCR|7BEXP|89LIT|9BPWR|aMLV
3	13225 21623	   	286.57	DCR|2LIT|4VULN|1MLV	1259VULN|39FEWX|4CGEN|6RCR|7DUR|89LIT|9BPWR|aMLV
4	13425 21623	   	286.57	DCR|2LIT|4VULN|1MLV	1259VULN|39BEXP|4CGEN|6RCR|7DUR|89LIT|9BPWR|aMLV
5	13525 22723	   	286.57	DCR|2LIT|4VULN|1MLV	1259VULN|3LHND|49CGEN|6RCR|7MBVNT|89LIT|9BPWR|aMLV
6	21415 12721	 * 	285.99	ACR|2LIT|2MLV|3VULN|1DMG	1DMSP|2RCR|349VULN|5LWND|69MLV|7MBVNT|89LIT|9BPWR|aDMG
7	21412 12721	   	285.84	ACR|2LIT|2MLV|3VULN|1DMG	1DMSP|2RCR|349VULN|5DUR|69MLV|7MBVNT|89LIT|9BPWR|aDMG
8	21664 48421	   	285.84	ACR|2LIT|2MLV|3VULN|1DMG	1DMSP|2RCR|39MLV|4MBVNT|5DUST|69LIT|789VULN|9BPWR|aDMG
9	51412 12721	   	285.84	ACR|2LIT|2MLV|3VULN|1DMG	1RCVC|2RCR|349VULN|5DUR|69MLV|7MBVNT|89LIT|9BPWR|aDMG
10	21415 12724	 * 	284.64	ACR|2LIT|4VULN|2MLV	1DMSP|2RCR|349aVULN|5LWND|69MLV|7MBVNT|89LIT|9BPWR
11	13216 63331	   	281.96	DCR|4VULN|1LIT|1MLV|1DMG	1245VULN|35FEWX|5BPWR|6BEXP|7RCR|8LIT|9MLV|aDMG
12	13351 13231	   	281.86	DCR|4VULN|1LIT|1MLV|1DMG	1268VULN|3LWND|4FEWX|5LIT|7RCR|9MLV|aDMG
13	13216 63333	 * 	281.83	DCR|4VULN|2MLV|1LIT	1245VULN|35FEWX|5BPWR|6BEXP|7RCR|8LIT|9aMLV
14	13341 13231	   	281.76	DCR|4VULN|1LIT|1MLV|1DMG	1268VULN|3LWND|4DUST|5LIT|7RCR|9MLV|aDMG
15	21412 12724	 * 	281.69	ACR|3LIT|2MLV|3VULN	1DMSP|2RCR|349VULN|5DUR|69MLV|7MBVNT|89aLIT|9BPWR
16	21664 48424	   	281.69	ACR|3LIT|2MLV|3VULN	1DMSP|2RCR|39MLV|4MBVNT|5DUST|69aLIT|789VULN|9BPWR
17	51412 12724	   	281.69	ACR|3LIT|2MLV|3VULN	1RCVC|2RCR|349VULN|5DUR|69MLV|7MBVNT|89aLIT|9BPWR
18	15312 15312	 * 	280.28	DCR|3LIT|2MLV|2VULN	1aVULN|2BELT|356LIT|4LWND|7RCR|8aMLV|9aLHND|aBPWR
19	15312 15342	   	280.28	DCR|3LIT|2MLV|2VULN	1aVULN|2BELT|356LIT|4LWND|7RCR|8aMLV|9aBEXP|aBPWR
20	15336 21533	   	280.27	DCR|2LIT|3VULN|1MLV|1DMG	145VULN|29BELT|35LIT|5BPWR|6DMG|7MLV|8RCVC|aRCR
21	13363 21226	   	278.83	DCR|4VULN|2MLV|1LIT	1257VULN|3LWND|47VENICY|67MLV|7BPWR|8RCR|9DUR|aLIT
22	21415 12152	 * 	278.06	ACR|2MLV|3VULN|1LIT|2DMG	1DMSP|2RCR|349VULN|5LWND|69MLV|7MBVNT|89DMG|9BPWR|aLIT
23	21412 12152	   	277.91	ACR|2MLV|3VULN|1LIT|2DMG	1DMSP|2RCR|349VULN|5DUR|69MLV|7MBVNT|89DMG|9BPWR|aLIT
24	51412 12152	   	277.91	ACR|2MLV|3VULN|1LIT|2DMG	1RCVC|2RCR|349VULN|5DUR|69MLV|7MBVNT|89DMG|9BPWR|aLIT
25	42311 31423	 * 	277.02	DCR|3LIT|2VULN|1MLV|3DUR|2CDMG	1BELT|247DUR|348LIT|47BPWR|57CDMG|67VULN|9RCR|aMLV
26	13516 23423	 * 	276.99	DCR|5VULN|1LIT|1MLV	12456VULN|357LHND|5BPWR|8RCR|9LIT|aMLV
27	21652 23621	   	276.94	ACR|2LIT|2MLV|2VULN|1DMG|1ASPD	1DMSP|2RCR|39MLV|4ASPD|59VULN|6FEWX|7ZMB|89LIT|9BPWR|aDMG
28	21652 33621	   	276.94	ACR|2LIT|2MLV|2VULN|1DMG|1ASPD	1DMSP|2RCR|39MLV|4ASPD|59VULN|6LHND|7ZMB|89LIT|9BPWR|aDMG
29	15312 16332	   	274.88	DCR|3LIT|2MLV|2VULN	1aVULN|2BELT|356LIT|4LWND|7aBEXP|8aMLV|9RCR|aBPWR
30	13225 23621	   	274.64	DCR|2LIT|4VULN|1DMG	1259VULN|39FEWX|4CGEN|6RCR|7BEXP|89LIT|9BPWR|aDMG
