0	Index      	 *	Score 	Summary	Detail	
1	14112 13353	 * 	324.26	DCR|2LIT|2MLV|2VULN|2DMG|1ASPD	18MLV|28DMG|3MULARM|4ASPD|58VULN|6RMIN|7RCR|8BPWR|9aLIT
2	14122 13343	 * 	309.56	DCR|2MLV|3VULN|1LIT|2DMG	18MLV|28DMG|3MULARM|4TLV|589VULN|6RMIN|7RCR|8BPWR|aLIT
3	14122 13353	   	309.56	DCR|2MLV|3VULN|1LIT|2DMG	18MLV|28DMG|3MULARM|4TLV|58aVULN|6RMIN|7RCR|8BPWR|9LIT
4	22433 24532	   	302.21	DCR|2LIT|2MLV|2VULN|1DMG|1CDMG	1LHND|2CDMG|3aVULN|4aMLV|5CGEN|6aLIT|7DMG|8RCR|9LWND|aBPWR
5	14443 33111	 * 	301.98	DCR|3LIT|2MLV|2VULN|1DMG	17MLV|2DMG|3NUKE|4RPLT|578LIT|67VULN|7BPWR|9DUR|aRCR
6	22431 42222	   	296.98	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	1LHND|2CDMG|3aVULN|4aMLV|5FEWX|6aDMG|7RCR|8LIT|9CGEN|aBPWR
7	22431 42262	   	296.83	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	1LHND|2CDMG|3aVULN|4aMLV|5FEWX|6aDMG|7RCR|8LIT|9ERES|aBPWR
8	22435 42222	   	296.83	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	1LHND|2CDMG|3aVULN|4aMLV|5DUST|6aDMG|7RCR|8LIT|9CGEN|aBPWR
9	14113 63343	   	296.63	DCR|2MLV|3VULN|1LIT|1DMG|1ASPD	18MLV|2DMG|38MULARM|4ASPD|5TLV|689VULN|7RCR|8BPWR|aLIT
10	14113 63353	   	296.63	DCR|2MLV|3VULN|1LIT|1DMG|1ASPD	18MLV|2DMG|38MULARM|4ASPD|5TLV|68aVULN|7RCR|8BPWR|9LIT
11	14111 63343	   	296.48	DCR|2MLV|3VULN|1LIT|1DMG|1ASPD	18MLV|2DMG|38MULARM|4ASPD|5ERES|689VULN|7RCR|8BPWR|aLIT
12	14111 63353	   	296.48	DCR|2MLV|3VULN|1LIT|1DMG|1ASPD	18MLV|2DMG|38MULARM|4ASPD|5ERES|68aVULN|7RCR|8BPWR|9LIT
