0	Index      	 *	Score 	Summary	Detail	
1	31432 35133	 * 	310.60	DCR|5VULN|1LIT|1MLV|1NUKE|1CDMG	1MLV|23459VULN|6LIT|7CDMG|8RCR|aNUKE
2	31353 32636	 * 	308.07	DCR|2LIT|3VULN|1MLV|2ASPD|1DMG	1MLV|24aVULN|38ASPD|57LIT|6DMG|9RCR
3	31423 32636	   	308.07	DCR|2LIT|3VULN|1MLV|2ASPD|1DMG	1MLV|23aVULN|48ASPD|57LIT|6DMG|9RCR
4	31216 56123	 * 	305.24	DCR|3LIT|2MLV|3VULN	17MLV|279VULN|3DUST|4LWND|567LIT|7BPWR|8BEXP|aRCR
5	31432 35126	 * 	299.46	DCR|4VULN|2MLV|1LIT|1CDMG	1aMLV|2345VULN|6LIT|7CDMG|8RCR|9RPLT
6	31353 35126	   	297.73	DCR|2LIT|2MLV|2VULN|1DMG|1ASPD	1aMLV|24VULN|3ASPD|59LIT|6DMG|7RCR|8CGEN
7	31353 35226	   	297.73	DCR|2LIT|2MLV|2VULN|1DMG|1ASPD	1aMLV|24VULN|3ASPD|59LIT|6DMG|7RCR|8RMIN
8	31423 35126	   	297.73	DCR|2LIT|2MLV|2VULN|1DMG|1ASPD	1aMLV|23VULN|4ASPD|59LIT|6DMG|7RCR|8CGEN
9	31423 35226	   	297.73	DCR|2LIT|2MLV|2VULN|1DMG|1ASPD	1aMLV|23VULN|4ASPD|59LIT|6DMG|7RCR|8RMIN
10	41131 35613	 * 	297.45	DCR|2LIT|2MLV|3ASPD|1VULN|1DMG|1CDMG	168ASPD|2VULN|38LIT|4CDMG|5LSRHEA|78MLV|8BPWR|9RCR|aDMG
11	41161 35232	   	296.47	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	19ASPD|24VULN|39LIT|5ZMB|6DMG|7RCR|89DUST|9BPWR|aMLV
12	44111 35332	   	296.47	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	19ASPD|24DUST|39LIT|5ZMB|6DMG|7RCR|89VULN|9BPWR|aMLV
13	31353 32624	 * 	295.58	DCR|2LIT|2VULN|3ASPD|1MLV|1DMG	1MLV|24VULN|389ASPD|57LIT|6DMG|aRCR
