0	Index      	 *	Score 	Summary	Detail	
1	12236 12321	 * 	315.99	DCR|2LIT|4VULN|2MLV	19MLV|29DUST|3FEWX|456aVULN|7RCR|89LIT|9BPWR
2	12236 12323	 * 	313.19	DCR|3LIT|2MLV|3VULN	19MLV|29DUST|3FEWX|456VULN|7RCR|89aLIT|9BPWR
3	12236 12322	   	300.85	DCR|2LIT|2MLV|3VULN|1ASPD	19MLV|29DUST|3FEWX|456VULN|7RCR|89LIT|9BPWR|aASPD
4	14623 33324	 * 	298.76	DCR|2LIT|3MLV|2VULN|3CDMG	16aMLV|24aCDMG|34VULN|46aBPWR|56TLV|7RCR|8aLIT|9MBVNT
5	14662 33324	   	298.61	DCR|2LIT|3MLV|2VULN|3CDMG	14aMLV|25aCDMG|35VULN|5aBPWR|6CGEN|7RCR|8aLIT|9MBVNT
6	14623 33335	   	293.59	DCR|2MLV|3VULN|1LIT|2CDMG	16MLV|24CDMG|349VULN|46BPWR|56TLV|7RCR|8LIT|aZMB
7	12232 12321	   	287.25	DCR|2LIT|2MLV|3VULN	19MLV|29DUST|35FEWX|46aVULN|7RCR|89LIT|9BPWR
8	12235 12321	   	287.25	DCR|2LIT|2MLV|3VULN	19MLV|29DUST|3FEWX|46aVULN|5RCVC|7RCR|89LIT|9BPWR
9	12236 12326	   	287.25	DCR|2LIT|2MLV|3VULN	19MLV|29DUST|3FEWX|456VULN|7RCR|89LIT|9BPWR|aLHND
10	12236 32321	   	287.25	DCR|2LIT|2MLV|3VULN	19MLV|29DUST|3FEWX|45aVULN|6DMSP|7RCR|89LIT|9BPWR
11	12236 12325	   	287.10	DCR|2LIT|2MLV|3VULN	19MLV|29DUST|3FEWX|456VULN|7RCR|89LIT|9BPWR|aERES
