0	Index      	 *	Score 	Summary	Detail	
1	11413 24621	 * 	327.58	DCR|2LIT|2MLV|3VULN|1FLTARM|1SELL	1aLIT|28aVULN|3FEWX|4SELL|5FLTARM|6RCR|7BELT|9aMLV|aBPWR
2	11233 23621	 * 	324.53	DCR|2LIT|2MLV|2VULN|1FLTARM|2CDMG	1aLIT|28VULN|3aCDMG|4DUST|5FLTARM|6RCR|7BELT|9aMLV|aBPWR
3	11233 55342	 * 	313.21	DCR|2LIT|3VULN|1FLTARM|1MLV|1CDMG	17LIT|26aVULN|3CDMG|4DUST|5FLTARM|8MLV|9RCR
4	11521 12351	   	307.11	DCR|2LIT|2MLV|2VULN|1FLTARM|1CDMG	18LIT|28VULN|3DMSP|4FLTARM|5RCVC|6CDMG|78MLV|8BPWR|9RCR|aCGEN
5	11521 12352	   	307.11	DCR|2LIT|2MLV|2VULN|1FLTARM|1CDMG	18LIT|28VULN|3DMSP|4FLTARM|5RCVC|6CDMG|78MLV|8BPWR|9RCR|aRPLT
6	11523 12351	   	307.11	DCR|2LIT|2MLV|2VULN|1FLTARM|1CDMG	18LIT|28VULN|35DMSP|4FLTARM|6CDMG|78MLV|8BPWR|9RCR|aCGEN
7	11523 12352	   	307.11	DCR|2LIT|2MLV|2VULN|1FLTARM|1CDMG	18LIT|28VULN|35DMSP|4FLTARM|6CDMG|78MLV|8BPWR|9RCR|aRPLT
8	11521 12353	   	306.96	DCR|2LIT|2MLV|2VULN|1FLTARM|1CDMG	18LIT|28VULN|3DMSP|4FLTARM|5RCVC|6CDMG|78MLV|8BPWR|9RCR|aBASICY
9	11521 12354	   	306.96	DCR|2LIT|2MLV|2VULN|1FLTARM|1CDMG	18LIT|28VULN|3DMSP|4FLTARM|5RCVC|6CDMG|78MLV|8BPWR|9RCR|aERES
10	11521 12355	   	306.96	DCR|2LIT|2MLV|2VULN|1FLTARM|1CDMG	18LIT|28VULN|3DMSP|4FLTARM|5RCVC|6CDMG|78MLV|8BPWR|9RCR|aDUR
11	11521 12356	   	306.96	DCR|2LIT|2MLV|2VULN|1FLTARM|1CDMG	18LIT|28VULN|3DMSP|4FLTARM|5RCVC|6CDMG|78MLV|8BPWR|9RCR|aDUST
12	11523 12353	   	306.96	DCR|2LIT|2MLV|2VULN|1FLTARM|1CDMG	18LIT|28VULN|35DMSP|4FLTARM|6CDMG|78MLV|8BPWR|9RCR|aBASICY
13	11523 12354	   	306.96	DCR|2LIT|2MLV|2VULN|1FLTARM|1CDMG	18LIT|28VULN|35DMSP|4FLTARM|6CDMG|78MLV|8BPWR|9RCR|aERES
14	11523 12355	   	306.96	DCR|2LIT|2MLV|2VULN|1FLTARM|1CDMG	18LIT|28VULN|35DMSP|4FLTARM|6CDMG|78MLV|8BPWR|9RCR|aDUR
15	11523 12356	   	306.96	DCR|2LIT|2MLV|2VULN|1FLTARM|1CDMG	18LIT|28VULN|35DMSP|4FLTARM|6CDMG|78MLV|8BPWR|9RCR|aDUST
16	12332 22641	 * 	302.80	DCR|3LIT|2MLV|2DMG|1VULN|1ASPD	189LIT|2CANARM|38MLV|4VULN|5RMIN|6ASPD|78DMG|8BPWR|aRCR
17	11525 31621	 * 	301.72	DCR|2LIT|2MLV|2FLTARM|1VULN|1CDMG	1aLIT|2VULN|3DMSP|4aFLTARM|5BELT|6RCR|7DUR|8CDMG|9aMLV|aBPWR
18	11313 55342	   	299.41	DCR|2LIT|3VULN|1FLTARM|1MLV|1SELL	17LIT|26aVULN|3LWND|4SELL|5FLTARM|8MLV|9RCR
