0	Index      	 *	Score 	Summary	Detail	
1	35122 42116	 * 	303.23	DCR|3LIT|2VULN|1MLV|2ASPD|1DMG	1aASPD|25VULN|34aLIT|6MLV|7DMG|8aCANARM|9RCR|aBPWR
2	35111 12345	 * 	288.82	DCR|3LIT|2VULN|2DMG|2ASPD	17ASPD|2aVULN|378LIT|4BEXP|5BLASTR|67DMG|7BPWR|9RCR
3	35121 42116	 * 	288.47	DCR|3LIT|3ASPD|1VULN|1MLV|1DMG	15aASPD|2VULN|34aLIT|6MLV|7DMG|8aCANARM|9RCR|aBPWR
4	35122 23252	   	284.96	DCR|3LIT|2VULN|1MLV|2ASPD	19ASPD|25VULN|347LIT|6LWND|8RCR|aMLV
5	35122 53252	   	284.96	DCR|3LIT|2VULN|1MLV|2ASPD	19ASPD|25VULN|347LIT|6LHND|8RCR|aMLV
6	35253 23252	   	284.96	DCR|3LIT|2VULN|1MLV|2ASPD	19ASPD|23VULN|457LIT|6LWND|8RCR|aMLV
7	35122 33252	   	284.86	DCR|3LIT|2VULN|1MLV|2ASPD	19ASPD|25VULN|347LIT|6DUR|8RCR|aMLV
8	35253 33252	   	284.86	DCR|3LIT|2VULN|1MLV|2ASPD	19ASPD|23VULN|457LIT|6DUR|8RCR|aMLV
9	41532 63112	 * 	281.83	DCR|3MLV|3VULN|1LIT|1CDMG	178LHND|278MLV|3ERES|4CGEN|578VULN|6RCR|78BPWR|9CDMG|aLIT
10	66322 63112	   	281.83	DCR|3MLV|3VULN|1LIT|1CDMG	178MLV|278CGEN|3ERES|4LHND|578VULN|6RCR|78BPWR|9CDMG|aLIT
11	15123 24236	   	278.17	DCR|3LIT|2VULN|2DMG|1CDMG	15FEWX|26DMG|346LIT|6BPWR|7aVULN|8RCR|9CDMG
12	65211 26232	   	277.63	DCR|2MLV|3VULN|1LIT|1DMG	14MLV|236VULN|5DMG|7LHND|8RCVC|9RCR|aLIT
13	65211 21632	   	277.48	DCR|2MLV|3VULN|1LIT|1DMG	14MLV|236VULN|5DMG|7TLV|8ERES|9RCR|aLIT
14	35122 23236	 * 	276.21	DCR|3LIT|3VULN|1CDMG|1ASPD	1ASPD|25aVULN|347LIT|6LWND|8RCR|9CDMG
15	35122 53236	   	276.21	DCR|3LIT|3VULN|1CDMG|1ASPD	1ASPD|25aVULN|347LIT|6LHND|8RCR|9CDMG
16	35253 23236	   	276.21	DCR|3LIT|3VULN|1CDMG|1ASPD	1ASPD|23aVULN|457LIT|6LWND|8RCR|9CDMG
17	63212 36143	 * 	275.98	DCR|2LIT|2MLV|2VULN|2CDMG	17MLV|2DUR|37VULN|4BELT|57LIT|6AART|7BPWR|89CDMG|aRCR
18	35252 12116	 * 	275.98	DCR|2LIT|3VULN|2ASPD|1DMG	1aASPD|235VULN|4aLIT|6CGEN|7DMG|8aCANARM|9RCR|aBPWR
19	25212 53451	   	275.57	DCR|2MLV|3VULN|1LIT|1CDMG	1ZMB|235VULN|49MLV|6MBVNT|7CDMG|8LIT|aRCR
20	65211 21224	   	274.93	DCR|2MLV|3VULN|1LIT|1DMG	14MLV|236VULN|5DMG|7TLV|8FEWX|9LIT|aRCR
21	65211 21324	   	274.93	DCR|2MLV|3VULN|1LIT|1DMG	14MLV|236VULN|5DMG|7TLV|8LWND|9LIT|aRCR
22	41241 13353	   	274.21	DCR|3LIT|2VULN|1MLV|1ASPD	1LHND|2MLV|39VULN|48aLIT|5MULARM|6ASPD|7RCR
23	35122 42114	   	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|25VULN|34LIT|6MLV|7DMG|8CANARM|9RCR|aLHND
24	35122 42115	   	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|25VULN|34LIT|6MLV|7DMG|8CANARM|9RCR|aRCVC
25	65212 22351	 * 	273.28	DCR|4VULN|2MLV|1LIT	14MLV|2389VULN|5DUR|6DLOT|7LIT|aRCR
26	35122 42111	   	273.28	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|25VULN|34LIT|6MLV|7DMG|8CANARM|9RCR|aDUST
27	35122 42112	   	273.28	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|25VULN|34LIT|6MLV|7DMG|8CANARM|9RCR|aERES
28	35253 42111	   	273.28	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|23VULN|45LIT|6MLV|7DMG|8CANARM|9RCR|aDUST
29	35253 42112	   	273.28	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|23VULN|45LIT|6MLV|7DMG|8CANARM|9RCR|aERES
