0	Index      	 *	Score 	Summary	Detail	
1	21224 35223	 * 	328.51	DCR|3LIT|2MLV|2VULN|2DMG	168LIT|2LWND|38DMG|49VULN|5DUST|78MLV|8BPWR|aRCR
2	21232 42223	 * 	315.25	DCR|3LIT|3VULN|2DMG|1MLV	168LIT|2LWND|38DMG|4LHND|5MLV|789VULN|8BPWR|aRCR
3	21266 42223	   	315.25	DCR|3LIT|3VULN|2DMG|1MLV	168LIT|2LWND|38DMG|4MLV|5BEXP|789VULN|8BPWR|aRCR
4	21212 42223	   	315.15	DCR|3LIT|3VULN|2DMG|1MLV	168LIT|2LWND|38DMG|4DUST|5MLV|789VULN|8BPWR|aRCR
5	21262 22223	   	315.15	DCR|3LIT|3VULN|2DMG|1MLV	158LIT|2LWND|38DMG|4MLV|6DUST|789VULN|8BPWR|aRCR
6	21262 52223	   	315.15	DCR|3LIT|3VULN|2DMG|1MLV	159LIT|2LWND|39DMG|4MLV|6DUR|789VULN|9BPWR|aRCR
7	21263 42223	   	315.15	DCR|3LIT|3VULN|2DMG|1MLV	168LIT|2LWND|38DMG|4MLV|5DUST|789VULN|8BPWR|aRCR
8	42523 21531	 * 	310.34	DCR|3LIT|2MLV|3VULN	1LEGI|24aVULN|37MLV|569LIT|8RCR
9	21265 32411	   	309.54	DCR|2LIT|2MLV|3VULN|1DMG	19LIT|29LWND|3DMG|48MLV|579VULN|6RPLT|9BPWR|aRCR
10	42323 55211	 * 	308.00	DCR|2LIT|2MLV|3VULN|2ASPD	1LEGI|248VULN|38ASPD|5aLIT|6BEXP|78MLV|8BPWR|9RCR
11	42324 15211	   	308.00	DCR|2LIT|2MLV|3VULN|2ASPD	1LEGI|248VULN|38ASPD|5LWND|6aLIT|78MLV|8BPWR|9RCR
12	42322 15211	   	307.85	DCR|2LIT|2MLV|3VULN|2ASPD	1LEGI|248VULN|38ASPD|5DUST|6aLIT|78MLV|8BPWR|9RCR
13	42622 15211	   	307.79	DCR|3LIT|2MLV|3VULN	1LEGI|248VULN|3RMIN|5DUST|68aLIT|78MLV|8BPWR|9RCR
