0	Index      	 *	Score 	Summary	Detail	
1	21411 22433	 * 	305.16	橙橙2易伤1等级2时间1暴击	17敌人爆炸2挖青3等级47时间57易伤6a核7序列升级8掉矿9暴击
2	21364 22433	 * 	295.38	橙橙2矿等1易伤2时间1暴击	17敌人爆炸2挖青3易伤47时间57矿等6a核7序列升级8掉矿9暴击
3	21461 33114	   	292.71	橙橙2易伤1等级1攻速	1敌人爆炸2挖青3等级45易伤6攻速7双倍秒伤8a核9最后敌人
4	21461 33124	   	292.61	橙橙2易伤1等级1攻速	1敌人爆炸2挖青3等级45易伤6攻速7双倍秒伤8a核9基地爆炸
5	31461 33114	   	292.61	橙橙2易伤1等级1攻速	1基地爆炸2挖青3等级45易伤6攻速7双倍秒伤8a核9最后敌人
6	21411 22113	   	291.61	橙橙2易伤1等级2时间	17敌人爆炸2挖青3等级47时间57易伤6a核7序列升级89立即金币
7	21411 22133	   	291.51	橙橙2易伤1等级2时间	17敌人爆炸2挖青3等级47时间57易伤6a核7序列升级8立即金币9火球减费
8	21421 22433	   	290.31	橙橙2易伤1等级1暴击	17敌人爆炸2挖青3等级47低血量敌人57易伤6a核7序列升级8掉矿9暴击
9	43123 13266	   	283.31	橙橙2易伤1技能2随机技能	18多重对愈2平台38随机技能4时间5低血量敌人68易伤7a核8序列升级9技能
10	21364 22113	   	281.83	橙橙2矿等1易伤2时间	17敌人爆炸2挖青3易伤47时间57矿等6a核7序列升级89立即金币
11	21364 22133	   	281.73	橙橙2矿等1易伤2时间	17敌人爆炸2挖青3易伤47时间57矿等6a核7序列升级8立即金币9火球减费
12	14512 61333	   	280.32	橙橙2矿等1易伤1暴击	1暴雪减费2立即金币34矿等5掉矿6易伤7a核8赏金邻近9暴击
13	21421 22113	   	276.76	橙橙2易伤1等级	17敌人爆炸2挖青3等级47低血量敌人57易伤6a核7序列升级89立即金币
14	21421 22213	   	276.76	橙橙2易伤1等级	17敌人爆炸2挖青3等级478低血量敌人57易伤6a核7序列升级9立即金币
15	21421 22133	   	276.66	橙橙2易伤1等级	17敌人爆炸2挖青3等级47低血量敌人57易伤6a核7序列升级8立即金币9火球减费
16	21421 22233	   	276.66	橙橙2易伤1等级	17敌人爆炸2挖青3等级478低血量敌人57易伤6a核7序列升级9火球减费
17	21462 23233	 * 	276.20	橙橙2等级1易伤1暴击	1敌人爆炸2挖青37等级4易伤5技能点6a核8挖尘9暴击
18	31462 23633	   	276.20	橙橙2等级1易伤1暴击	1基地爆炸2挖青37等级4易伤5技能点6a核8敌人爆炸9暴击
19	31462 23233	   	276.10	橙橙2等级1易伤1暴击	1基地爆炸2挖青37等级4易伤5技能点6a核8挖尘9暴击
